Sample temperature (C),Heat flow (mW)
70.098,-0.07931
70.097,-0.07941
70.1,-0.07946
70.104,-0.07956
70.103,-0.07974
70.112,-0.07981
70.124,-0.07987
70.136,-0.07992
70.157,-0.07998
70.178,-0.08004
70.204,-0.08012
70.231,-0.08031
70.256,-0.08054
70.29,-0.08058
70.318,-0.08095
70.358,-0.0812
70.392,-0.08162
70.43,-0.0823
70.47,-0.08299
70.508,-0.08395
70.546,-0.08494
70.588,-0.08642
70.632,-0.08819
70.676,-0.09004
70.717,-0.09191
70.761,-0.09433
70.805,-0.09711
70.849,-0.10017
70.903,-0.10352
70.944,-0.10714
70.989,-0.11103
71.033,-0.11538
71.086,-0.12023
71.13,-0.12505
71.18,-0.13007
71.229,-0.13534
71.272,-0.14089
71.322,-0.14669
71.374,-0.15273
71.417,-0.159
71.468,-0.16563
71.519,-0.17263
71.565,-0.17965
71.615,-0.18702
71.667,-0.19448
71.713,-0.20196
71.761,-0.20949
71.811,-0.21705
71.862,-0.22436
71.912,-0.23157
71.965,-0.23871
72.01,-0.24574
72.063,-0.25269
72.114,-0.25963
72.159,-0.26657
72.215,-0.27361
72.265,-0.28087
72.311,-0.28826
72.363,-0.29554
72.412,-0.30285
72.464,-0.30996
72.515,-0.31697
72.566,-0.32391
72.607,-0.33078
72.662,-0.33756
72.712,-0.34427
72.762,-0.35089
72.814,-0.35743
72.86,-0.3639
72.912,-0.37029
72.959,-0.3766
73.016,-0.38283
73.063,-0.389
73.114,-0.39509
73.162,-0.40112
73.21,-0.40709
73.264,-0.41292
73.313,-0.41858
73.362,-0.42426
73.41,-0.42982
73.46,-0.43541
73.514,-0.44088
73.561,-0.44637
73.61,-0.45175
73.663,-0.45713
73.712,-0.4624
73.761,-0.46776
73.812,-0.47311
73.863,-0.4784
73.911,-0.48356
73.96,-0.48856
74.013,-0.49365
74.061,-0.49871
74.112,-0.50374
74.165,-0.50879
74.211,-0.51388
74.262,-0.51879
74.31,-0.52362
74.363,-0.52848
74.412,-0.53338
74.466,-0.53814
74.511,-0.54283
74.561,-0.54749
74.613,-0.55212
74.661,-0.55664
74.712,-0.56106
74.763,-0.56548
74.811,-0.56981
74.864,-0.57422
74.91,-0.57855
74.966,-0.58277
75.015,-0.58707
75.063,-0.59131
75.114,-0.59544
75.166,-0.59965
75.217,-0.60378
75.264,-0.60779
75.315,-0.61187
75.364,-0.61594
75.412,-0.61997
75.464,-0.62396
75.512,-0.62793
75.566,-0.63186
75.611,-0.63576
75.662,-0.63963
75.714,-0.64342
75.764,-0.64712
75.818,-0.6509
75.864,-0.65468
75.91,-0.65839
75.963,-0.66202
76.015,-0.66566
76.064,-0.66918
76.111,-0.6727
76.162,-0.67626
76.214,-0.67975
76.265,-0.68331
76.314,-0.68687
76.36,-0.69041
76.416,-0.69398
76.466,-0.6976
76.514,-0.7011
76.564,-0.70456
76.614,-0.70798
76.662,-0.71132
76.713,-0.71455
76.765,-0.71787
76.81,-0.72124
76.864,-0.72467
76.917,-0.72798
76.961,-0.73122
77.014,-0.73442
77.062,-0.73759
77.117,-0.74073
77.167,-0.74384
77.216,-0.74698
77.264,-0.75023
77.314,-0.75343
77.362,-0.75654
77.416,-0.75971
77.46,-0.76288
77.517,-0.76602
77.565,-0.76908
77.617,-0.77206
77.668,-0.77509
77.715,-0.77799
77.766,-0.78084
77.812,-0.78361
77.866,-0.78623
77.916,-0.78887
77.961,-0.79158
78.015,-0.79415
78.065,-0.79665
78.116,-0.7992
78.164,-0.80176
78.214,-0.80431
78.268,-0.80679
78.311,-0.8092
78.363,-0.81167
78.415,-0.81421
78.466,-0.8168
78.513,-0.81928
78.564,-0.82178
78.613,-0.82432
78.664,-0.82681
78.716,-0.82932
78.769,-0.83177
78.812,-0.83425
78.863,-0.83667
78.914,-0.83916
78.966,-0.84161
79.015,-0.84398
79.064,-0.84643
79.114,-0.84882
79.165,-0.85114
79.215,-0.85352
79.266,-0.85591
79.319,-0.85828
79.364,-0.86065
79.414,-0.86296
79.465,-0.86522
79.518,-0.86753
79.57,-0.86986
79.612,-0.87217
79.665,-0.87447
79.713,-0.8768
79.766,-0.87915
79.814,-0.88146
79.864,-0.88379
79.913,-0.88605
79.962,-0.88832
80.014,-0.8906
80.064,-0.89286
80.116,-0.89512
80.167,-0.8973
80.213,-0.8995
80.263,-0.90171
80.315,-0.90386
80.368,-0.90597
80.419,-0.90811
80.463,-0.91031
80.515,-0.91241
80.564,-0.91453
80.619,-0.91671
80.668,-0.91878
80.716,-0.92086
80.761,-0.92299
80.813,-0.92506
80.866,-0.92714
80.915,-0.92911
80.967,-0.93108
81.014,-0.93309
81.067,-0.93505
81.118,-0.93703
81.168,-0.93892
81.217,-0.94078
81.269,-0.94263
81.316,-0.94449
81.363,-0.94629
81.414,-0.94801
81.468,-0.94972
81.514,-0.95143
81.563,-0.95316
81.621,-0.95489
81.668,-0.95668
81.718,-0.95847
81.763,-0.96024
81.819,-0.962
81.865,-0.96377
81.912,-0.96559
81.968,-0.96731
82.017,-0.96904
82.065,-0.9708
82.119,-0.97252
82.166,-0.97431
82.216,-0.9761
82.266,-0.97784
82.318,-0.97951
82.367,-0.98124
82.414,-0.98298
82.469,-0.98467
82.513,-0.98628
82.569,-0.98792
82.616,-0.98951
82.666,-0.99113
82.716,-0.99264
82.767,-0.99405
82.817,-0.99541
82.867,-0.99679
82.917,-0.99813
82.966,-0.99945
83.017,-1.00083
83.066,-1.00225
83.116,-1.00364
83.165,-1.00509
83.212,-1.00652
83.266,-1.00789
83.321,-1.00926
83.37,-1.01064
83.412,-1.01198
83.464,-1.0133
83.515,-1.01464
83.564,-1.01607
83.62,-1.01751
83.67,-1.01893
83.717,-1.02034
83.764,-1.02173
83.817,-1.02314
83.866,-1.02459
83.916,-1.02599
83.965,-1.02744
84.016,-1.02891
84.062,-1.0304
84.115,-1.03182
84.166,-1.03322
84.213,-1.03462
84.265,-1.03604
84.315,-1.03747
84.36,-1.03888
84.415,-1.04024
84.466,-1.04162
84.513,-1.04292
84.56,-1.04418
84.615,-1.04542
84.666,-1.04665
84.715,-1.04787
84.766,-1.04907
84.814,-1.05026
84.86,-1.05145
84.913,-1.05272
84.969,-1.05402
85.011,-1.05525
85.066,-1.05654
85.113,-1.05791
85.164,-1.05933
85.215,-1.06066
85.265,-1.06185
85.318,-1.06305
85.361,-1.0643
85.411,-1.06552
85.468,-1.06687
85.513,-1.06824
85.565,-1.06968
85.615,-1.07118
85.667,-1.07275
85.713,-1.07411
85.766,-1.07522
85.818,-1.07622
85.864,-1.07708
85.915,-1.07768
85.961,-1.0782
86.015,-1.07892
86.065,-1.07985
86.115,-1.08089
86.167,-1.08198
86.213,-1.08303
86.268,-1.08403
86.315,-1.08497
86.365,-1.08586
86.413,-1.08675
86.465,-1.08764
86.517,-1.08852
86.564,-1.08939
86.613,-1.09025
86.667,-1.09111
86.712,-1.09198
86.763,-1.09287
86.812,-1.09376
86.864,-1.09462
86.913,-1.09543
86.962,-1.09626
87.012,-1.09719
87.062,-1.09813
87.115,-1.09909
87.163,-1.10005
87.21,-1.10102
87.265,-1.102
87.312,-1.10298
87.366,-1.10397
87.414,-1.10496
87.463,-1.10596
87.515,-1.10694
87.563,-1.10791
87.613,-1.10887
87.663,-1.10982
87.717,-1.11074
87.765,-1.11165
87.812,-1.11254
87.864,-1.11341
87.917,-1.11427
87.967,-1.11511
88.012,-1.11595
88.063,-1.11678
88.113,-1.11761
88.164,-1.11844
88.213,-1.11927
88.263,-1.1201
88.313,-1.12093
88.364,-1.12177
88.412,-1.1226
88.461,-1.12344
88.508,-1.12428
