Sample temperature (C),Heat flow (mW)
70.1,-0.07976
70.098,-0.07992
70.101,-0.08005
70.101,-0.08024
70.104,-0.08032
70.107,-0.08038
70.118,-0.08044
70.128,-0.08051
70.137,-0.08058
70.152,-0.08066
70.177,-0.08074
70.205,-0.08084
70.233,-0.08095
70.261,-0.08107
70.287,-0.08119
70.325,-0.0813
70.36,-0.0816
70.392,-0.08215
70.428,-0.08272
70.469,-0.08355
70.507,-0.08441
70.552,-0.08575
70.588,-0.08739
70.632,-0.08909
70.678,-0.09083
70.717,-0.09312
70.762,-0.09575
70.808,-0.09868
70.853,-0.1019
70.904,-0.1054
70.942,-0.10919
70.992,-0.11327
71.042,-0.11764
71.084,-0.1223
71.134,-0.12725
71.179,-0.13249
71.228,-0.13801
71.273,-0.14396
71.323,-0.15036
71.374,-0.15669
71.426,-0.16332
71.466,-0.17032
71.521,-0.17737
71.572,-0.18471
71.616,-0.19205
71.669,-0.19973
71.712,-0.2075
71.765,-0.21527
71.812,-0.22299
71.863,-0.23062
71.913,-0.23816
71.961,-0.2456
72.013,-0.25295
72.061,-0.26019
72.112,-0.26742
72.165,-0.27474
72.21,-0.2822
72.264,-0.28986
72.313,-0.2977
72.361,-0.30539
72.412,-0.31282
72.466,-0.32027
72.512,-0.32777
72.564,-0.3349
72.61,-0.34177
72.665,-0.34871
72.712,-0.3556
72.765,-0.36239
72.813,-0.36908
72.861,-0.37557
72.912,-0.38183
72.96,-0.38819
73.015,-0.39451
73.066,-0.40066
73.111,-0.40661
73.165,-0.41265
73.216,-0.41858
73.264,-0.42435
73.312,-0.43015
73.361,-0.43579
73.41,-0.44137
73.464,-0.44694
73.514,-0.45247
73.565,-0.45802
73.615,-0.46361
73.66,-0.46908
73.715,-0.47464
73.765,-0.48017
73.817,-0.48564
73.866,-0.49105
73.914,-0.4964
73.965,-0.50176
74.016,-0.50718
74.067,-0.51247
74.115,-0.51787
74.163,-0.52315
74.211,-0.52828
74.26,-0.53351
74.314,-0.53883
74.366,-0.54424
74.417,-0.54948
74.463,-0.55456
74.513,-0.55949
74.559,-0.56445
74.615,-0.56918
74.667,-0.57381
74.715,-0.57837
74.765,-0.58278
74.814,-0.58694
74.862,-0.59099
74.914,-0.59495
74.964,-0.59898
75.013,-0.60296
75.061,-0.60703
75.117,-0.61104
75.169,-0.61499
75.213,-0.61912
75.265,-0.6232
75.314,-0.62731
75.362,-0.63127
75.416,-0.63524
75.466,-0.63926
75.514,-0.64321
75.564,-0.64718
75.612,-0.65101
75.666,-0.65484
75.719,-0.65871
75.764,-0.6625
75.814,-0.6663
75.867,-0.67001
75.916,-0.67381
75.963,-0.67767
76.013,-0.68162
76.066,-0.6855
76.114,-0.68927
76.16,-0.6931
76.215,-0.69696
76.268,-0.70082
76.315,-0.70454
76.365,-0.70829
76.412,-0.71198
76.463,-0.7157
76.514,-0.71931
76.565,-0.72286
76.614,-0.72633
76.663,-0.72969
76.713,-0.73313
76.762,-0.73657
76.813,-0.73991
76.867,-0.74314
76.917,-0.74645
76.967,-0.74974
77.019,-0.75301
77.067,-0.75624
77.117,-0.75944
77.166,-0.76267
77.214,-0.76595
77.268,-0.76909
77.316,-0.77218
77.369,-0.77523
77.416,-0.77827
77.466,-0.78128
77.518,-0.78427
77.565,-0.78721
77.617,-0.79003
77.669,-0.79282
77.717,-0.7956
77.767,-0.79836
77.814,-0.8011
77.869,-0.80381
77.916,-0.80654
77.961,-0.80931
78.016,-0.81203
78.067,-0.81476
78.113,-0.81742
78.167,-0.82016
78.216,-0.8229
78.266,-0.82561
78.315,-0.8283
78.363,-0.83095
78.42,-0.83358
78.467,-0.83624
78.512,-0.83895
78.567,-0.84158
78.613,-0.84424
78.671,-0.84677
78.719,-0.84931
78.768,-0.85189
78.815,-0.85436
78.867,-0.8568
78.916,-0.85923
78.967,-0.86168
79.014,-0.86423
79.068,-0.86678
79.113,-0.86931
79.166,-0.87181
79.22,-0.87428
79.269,-0.87672
79.316,-0.87912
79.365,-0.88143
79.419,-0.88366
79.466,-0.88574
79.515,-0.8878
79.566,-0.88984
79.615,-0.89185
79.667,-0.89385
79.715,-0.89586
79.769,-0.89793
79.816,-0.90003
79.865,-0.9022
79.917,-0.90438
79.966,-0.90654
80.015,-0.9087
80.061,-0.91083
80.121,-0.91296
80.166,-0.91507
80.217,-0.91717
80.27,-0.91926
80.312,-0.9213
80.368,-0.92327
80.417,-0.92531
80.464,-0.92732
80.518,-0.92926
80.57,-0.93123
80.619,-0.93316
80.666,-0.93511
80.715,-0.93702
80.765,-0.93894
80.817,-0.94078
80.867,-0.94263
80.919,-0.94453
80.964,-0.94636
81.015,-0.94817
81.066,-0.94996
81.118,-0.95178
81.166,-0.95363
81.22,-0.95544
81.268,-0.9573
81.314,-0.95917
81.365,-0.96103
81.419,-0.96287
81.47,-0.96474
81.517,-0.96663
81.564,-0.96845
81.616,-0.97027
81.671,-0.97212
81.718,-0.97393
81.762,-0.9758
81.819,-0.97763
81.863,-0.97941
81.918,-0.98124
81.965,-0.98305
82.017,-0.98482
82.067,-0.98661
82.117,-0.98834
82.167,-0.99005
82.216,-0.99174
82.266,-0.99342
82.319,-0.9951
82.368,-0.99676
82.417,-0.99841
82.468,-1.00005
82.517,-1.00166
82.564,-1.00326
82.613,-1.00484
82.665,-1.0064
82.721,-1.00799
82.771,-1.00962
82.817,-1.01116
82.871,-1.01271
82.917,-1.0143
82.967,-1.01584
83.017,-1.01745
83.066,-1.01905
83.117,-1.02064
83.166,-1.02219
83.216,-1.02368
83.268,-1.02521
83.316,-1.02674
83.369,-1.02823
83.415,-1.02966
83.465,-1.03106
83.517,-1.03238
83.565,-1.03366
83.618,-1.03493
83.669,-1.03619
83.716,-1.0375
83.769,-1.03882
83.82,-1.04012
83.869,-1.04146
83.919,-1.04278
83.967,-1.04405
84.011,-1.04537
84.066,-1.04671
84.117,-1.04804
84.169,-1.04936
84.216,-1.05067
84.266,-1.05197
84.316,-1.05324
84.366,-1.05451
84.419,-1.05576
84.463,-1.05695
84.516,-1.05809
84.569,-1.0593
84.613,-1.06048
84.666,-1.06162
