Sample temperature (C),Heat flow (mW)
70.096,-0.07861
70.095,-0.07858
70.101,-0.07856
70.102,-0.07855
70.105,-0.07854
70.108,-0.07861
70.116,-0.07876
70.134,-0.07881
70.155,-0.07882
70.176,-0.07883
70.196,-0.07884
70.228,-0.07885
70.257,-0.07886
70.284,-0.07887
70.323,-0.0789
70.355,-0.07912
70.39,-0.0796
70.426,-0.08009
70.464,-0.08085
70.503,-0.08165
70.55,-0.08292
70.588,-0.0845
70.629,-0.08615
70.67,-0.08783
70.718,-0.09008
70.765,-0.0927
70.801,-0.09562
70.853,-0.09885
70.893,-0.10239
70.937,-0.10624
70.984,-0.1104
71.031,-0.11486
71.082,-0.11963
71.125,-0.12471
71.175,-0.13007
71.224,-0.13589
71.271,-0.14216
71.324,-0.14837
71.366,-0.15487
71.416,-0.16175
71.465,-0.16866
71.514,-0.17595
71.567,-0.18336
71.614,-0.1908
71.661,-0.19823
71.712,-0.20563
71.762,-0.21307
71.812,-0.22055
71.86,-0.22779
71.911,-0.23486
71.958,-0.24179
72.006,-0.24871
72.061,-0.25564
72.112,-0.26264
72.16,-0.26979
72.213,-0.27714
72.257,-0.2846
72.314,-0.29187
72.359,-0.29915
72.41,-0.30632
72.459,-0.31351
72.507,-0.32046
72.559,-0.32719
72.606,-0.33372
72.657,-0.34035
72.707,-0.34688
72.755,-0.35317
72.811,-0.35948
72.859,-0.36583
72.913,-0.372
72.961,-0.37809
73.011,-0.38418
73.058,-0.3904
73.107,-0.3966
73.16,-0.40273
73.208,-0.4088
73.259,-0.4148
73.305,-0.42073
73.356,-0.42658
73.411,-0.43236
73.459,-0.43816
73.508,-0.44401
73.559,-0.44971
73.605,-0.45551
73.661,-0.46129
73.71,-0.46704
73.756,-0.47277
73.81,-0.47838
73.858,-0.48374
73.91,-0.489
73.963,-0.4942
74.011,-0.49926
74.062,-0.50415
74.113,-0.50908
74.157,-0.51376
74.212,-0.51829
74.26,-0.52291
74.307,-0.52752
74.358,-0.53218
74.409,-0.5369
74.46,-0.54144
74.509,-0.546
74.56,-0.55063
74.611,-0.55512
74.658,-0.55961
74.71,-0.56416
74.761,-0.56854
74.811,-0.57291
74.863,-0.57732
74.913,-0.58164
74.958,-0.58605
75.008,-0.59045
75.061,-0.59481
75.113,-0.59913
75.161,-0.6034
75.211,-0.60769
75.26,-0.61208
75.311,-0.61645
75.364,-0.6208
75.41,-0.62506
75.459,-0.62924
75.513,-0.63344
75.561,-0.63758
75.609,-0.64175
75.658,-0.64578
75.709,-0.64974
75.762,-0.65367
75.81,-0.65763
75.862,-0.66165
75.916,-0.66551
75.962,-0.6693
76.007,-0.67304
76.061,-0.67675
76.112,-0.68042
76.161,-0.68405
76.21,-0.68766
76.261,-0.69118
76.309,-0.69456
76.36,-0.69795
76.411,-0.70139
76.461,-0.70472
76.515,-0.70799
76.562,-0.71127
76.611,-0.71459
76.66,-0.71783
76.712,-0.7211
76.76,-0.7243
76.808,-0.72758
76.862,-0.73081
76.911,-0.73395
76.96,-0.73711
77.012,-0.74019
77.059,-0.74331
77.118,-0.74635
77.163,-0.74942
77.211,-0.75241
77.263,-0.75547
77.309,-0.75853
77.362,-0.76155
77.412,-0.76453
77.461,-0.76748
77.514,-0.77041
77.56,-0.77336
77.612,-0.77643
77.661,-0.77944
77.71,-0.78236
77.766,-0.78535
77.815,-0.78829
77.862,-0.79115
77.91,-0.79409
77.962,-0.79698
78.011,-0.79974
78.063,-0.80251
78.111,-0.80528
78.165,-0.80789
78.211,-0.81051
78.261,-0.81306
78.311,-0.81559
78.367,-0.81811
78.412,-0.82061
78.462,-0.82311
78.511,-0.82554
78.564,-0.8279
78.61,-0.8303
78.662,-0.83275
78.712,-0.83524
78.758,-0.83768
78.813,-0.84014
78.864,-0.84254
78.912,-0.84502
78.959,-0.84751
79.013,-0.84993
79.063,-0.85228
79.111,-0.8547
79.16,-0.85712
79.215,-0.85953
79.262,-0.86192
79.31,-0.8643
79.359,-0.86665
79.414,-0.86898
79.463,-0.8713
79.51,-0.87359
79.561,-0.87588
79.607,-0.87814
79.66,-0.8804
79.714,-0.88265
79.761,-0.88486
79.812,-0.887
79.861,-0.8892
79.912,-0.8914
79.961,-0.8936
80.013,-0.89582
80.061,-0.89808
80.113,-0.90026
80.162,-0.90244
80.212,-0.90465
80.263,-0.90681
80.313,-0.90899
80.362,-0.91111
80.411,-0.91325
80.46,-0.91534
80.51,-0.91745
80.565,-0.9195
80.612,-0.92152
80.661,-0.92354
80.713,-0.92554
80.762,-0.92755
80.814,-0.92954
80.864,-0.93152
80.913,-0.93346
80.962,-0.93532
81.014,-0.93722
81.062,-0.93907
81.113,-0.94096
81.165,-0.9428
81.21,-0.94466
81.259,-0.94644
81.313,-0.94818
81.361,-0.94993
81.418,-0.95173
81.466,-0.95348
81.515,-0.95525
81.567,-0.95692
81.613,-0.95861
81.663,-0.96038
81.713,-0.96217
81.761,-0.96392
81.812,-0.96562
81.864,-0.96734
81.913,-0.96904
81.966,-0.97075
82.013,-0.9724
82.062,-0.97405
82.112,-0.97576
82.162,-0.97743
82.216,-0.97905
82.263,-0.98071
82.312,-0.98234
82.362,-0.98391
82.412,-0.98554
82.462,-0.98717
82.515,-0.98879
82.561,-0.99041
82.611,-0.99204
82.669,-0.99372
82.713,-0.99536
82.765,-0.99702
82.813,-0.9986
82.864,-1.00019
82.911,-1.00181
82.962,-1.00337
83.015,-1.00493
83.064,-1.00652
83.113,-1.00805
83.161,-1.00955
83.216,-1.01104
83.263,-1.01252
83.309,-1.014
83.362,-1.01547
83.412,-1.01693
83.463,-1.01839
83.514,-1.01985
83.565,-1.02129
83.614,-1.02276
83.659,-1.02425
83.714,-1.02568
83.762,-1.02712
83.814,-1.02858
83.864,-1.02997
83.911,-1.03135
83.961,-1.03271
84.011,-1.03406
84.06,-1.03539
84.113,-1.03669
84.16,-1.03799
84.213,-1.03927
84.264,-1.04056
84.313,-1.0418
84.364,-1.04309
84.411,-1.04438
84.464,-1.04567
84.514,-1.04692
84.564,-1.04812
84.613,-1.04938
84.663,-1.05064
84.71,-1.05187
84.761,-1.05308
84.811,-1.05438
84.862,-1.05564
84.914,-1.05688
84.961,-1.05812
85.009,-1.05934
85.061,-1.06057
85.117,-1.06175
85.166,-1.06289
85.216,-1.06407
85.263,-1.06526
85.312,-1.06643
85.366,-1.06756
85.415,-1.06865
85.462,-1.06977
85.514,-1.0709
85.561,-1.07202
85.611,-1.07313
85.665,-1.07424
85.709,-1.07535
85.759,-1.07645
85.814,-1.07755
85.863,-1.07865
85.913,-1.07974
85.965,-1.08083
86.011,-1.08191
86.064,-1.08299
86.111,-1.08405
86.164,-1.08511
86.211,-1.08616
86.259,-1.08719
86.312,-1.08823
86.365,-1.08925
86.41,-1.09026
86.46,-1.09127
86.514,-1.09227
86.561,-1.09327
86.608,-1.09426
86.658,-1.09525
86.712,-1.09624
86.76,-1.09722
86.813,-1.0982
86.861,-1.09917
86.909,-1.10014
86.958,-1.10111
87.01,-1.10207
87.061,-1.10303
87.113,-1.10398
87.159,-1.10493
87.211,-1.10588
87.26,-1.10682
87.313,-1.10775
87.361,-1.10868
87.412,-1.1096
87.461,-1.11052
87.512,-1.11144
87.563,-1.11236
87.608,-1.11327
87.661,-1.11418
87.712,-1.11509
87.76,-1.11599
87.811,-1.11689
87.861,-1.11779
87.911,-1.11868
87.96,-1.11956
88.009,-1.12044
88.06,-1.12131
88.111,-1.12217
88.162,-1.12302
88.213,-1.12387
88.258,-1.1247
88.309,-1.12554
88.36,-1.12637
88.413,-1.1272
88.46,-1.12803
88.509,-1.12886
88.565,-1.12969
88.608,-1.1305
88.664,-1.13132
88.709,-1.13212
88.76,-1.13292
88.811,-1.13371
88.862,-1.1345
88.907,-1.13529
88.961,-1.13607
89.008,-1.13685
89.06,-1.13762
89.107,-1.1384
89.161,-1.13917
89.206,-1.13994
89.258,-1.14071
89.311,-1.14148
89.357,-1.14225
89.411,-1.14301
89.459,-1.14376
89.512,-1.14451
89.561,-1.14525
89.605,-1.14598
89.66,-1.1467
89.707,-1.14741
89.759,-1.14812
89.813,-1.14882
89.86,-1.1495
89.909,-1.15018
89.957,-1.15086
90.011,-1.15154
90.058,-1.15222
90.107,-1.15291
90.159,-1.1536
90.204,-1.1543
90.257,-1.155
90.308,-1.15572
90.36,-1.15643
90.408,-1.15715
90.455,-1.15787
90.511,-1.15859
90.556,-1.1593
90.607,-1.16001
90.661,-1.16071
90.703,-1.1614
90.757,-1.16208
90.812,-1.16275
90.858,-1.16342
