Sample temperature (C),Heat flow (mW)
70.1,-0.07946
70.101,-0.07961
70.101,-0.07967
70.101,-0.07971
70.101,-0.07974
70.108,-0.07978
70.111,-0.07982
70.123,-0.07987
70.14,-0.08
70.154,-0.08025
70.176,-0.08038
70.208,-0.08048
70.231,-0.08058
70.258,-0.08069
70.291,-0.08082
70.322,-0.08098
70.359,-0.08131
70.397,-0.08187
70.432,-0.08245
70.468,-0.08326
70.512,-0.08409
70.55,-0.08519
70.593,-0.08634
70.632,-0.08798
70.673,-0.08974
70.724,-0.09153
70.763,-0.09388
70.81,-0.09658
70.851,-0.0996
70.9,-0.10293
70.94,-0.10657
70.987,-0.11053
71.039,-0.11479
71.084,-0.11937
71.138,-0.12423
71.179,-0.12939
71.226,-0.13499
71.274,-0.14108
71.326,-0.1471
71.374,-0.15344
71.422,-0.16017
71.469,-0.16694
71.517,-0.17398
71.567,-0.181
71.617,-0.18835
71.667,-0.19579
71.715,-0.20326
71.759,-0.21073
71.813,-0.21826
71.863,-0.22585
71.916,-0.23322
71.967,-0.24048
72.015,-0.24763
72.061,-0.25467
72.112,-0.26161
72.163,-0.26855
72.217,-0.27555
72.263,-0.28274
72.312,-0.29014
72.362,-0.29756
72.413,-0.30501
72.463,-0.31238
72.511,-0.31961
72.562,-0.32687
72.614,-0.3339
72.662,-0.34091
72.716,-0.34797
72.763,-0.35479
72.814,-0.36148
72.865,-0.36809
72.91,-0.37451
72.961,-0.38074
73.014,-0.38706
73.064,-0.39335
73.113,-0.39947
73.16,-0.4054
73.211,-0.41134
73.262,-0.41712
73.315,-0.42302
73.362,-0.42879
73.413,-0.43439
73.462,-0.44009
73.512,-0.44566
73.563,-0.45107
73.613,-0.45657
73.664,-0.46205
73.71,-0.46741
73.766,-0.47262
73.81,-0.47793
73.865,-0.48321
73.916,-0.48838
73.96,-0.4934
74.011,-0.4985
74.062,-0.50359
74.116,-0.50863
74.161,-0.51363
74.212,-0.51859
74.262,-0.5235
74.314,-0.52829
74.362,-0.53295
74.412,-0.5377
74.467,-0.54244
74.509,-0.54715
74.563,-0.55183
74.617,-0.5564
74.664,-0.56084
74.715,-0.56536
74.764,-0.56987
74.812,-0.57435
74.866,-0.57878
74.913,-0.58317
74.964,-0.58752
75.014,-0.59184
75.065,-0.59611
75.116,-0.60036
75.161,-0.60457
75.217,-0.60876
75.266,-0.61291
75.316,-0.61698
75.364,-0.62097
75.411,-0.62496
75.462,-0.62889
75.518,-0.63283
75.561,-0.63663
75.614,-0.64043
75.666,-0.64433
75.715,-0.64823
75.763,-0.65204
75.816,-0.65574
75.862,-0.65952
75.914,-0.6633
75.965,-0.66712
76.016,-0.67098
76.067,-0.67471
76.113,-0.67837
76.166,-0.68201
76.216,-0.68561
76.264,-0.68919
76.317,-0.69275
76.366,-0.69628
76.418,-0.69979
76.464,-0.70322
76.517,-0.70656
76.563,-0.70997
76.615,-0.71338
76.665,-0.71671
76.714,-0.71995
76.766,-0.72326
76.818,-0.72663
76.862,-0.73005
76.917,-0.73334
76.966,-0.73659
77.015,-0.73981
77.065,-0.743
77.112,-0.74617
77.168,-0.74932
77.211,-0.75244
77.266,-0.75556
