Sample temperature (C),Heat flow (mW)
70.097,-0.07922
70.094,-0.07931
70.098,-0.07934
70.097,-0.07937
70.098,-0.07939
70.106,-0.07941
70.109,-0.07944
70.12,-0.07946
70.133,-0.07949
70.151,-0.07953
70.174,-0.07956
70.198,-0.07961
70.227,-0.07965
70.257,-0.0797
70.288,-0.07974
70.323,-0.07992
70.356,-0.08032
70.391,-0.08057
70.428,-0.08101
70.468,-0.08191
70.509,-0.0829
70.547,-0.08388
70.586,-0.08536
70.63,-0.08696
70.669,-0.0886
70.719,-0.0908
70.76,-0.09336
70.807,-0.09622
70.849,-0.09938
70.899,-0.10285
70.943,-0.10661
70.99,-0.11068
71.035,-0.11505
71.082,-0.11974
71.129,-0.12472
71.18,-0.13
71.225,-0.13557
71.271,-0.14158
71.32,-0.14803
71.366,-0.15457
71.417,-0.16141
71.47,-0.16829
71.514,-0.17543
71.564,-0.18257
71.612,-0.19003
71.663,-0.19757
71.715,-0.2051
71.761,-0.21266
71.808,-0.22023
71.862,-0.22757
71.915,-0.23479
71.957,-0.24191
72.012,-0.24891
72.061,-0.2559
72.108,-0.2629
72.162,-0.27
72.215,-0.27732
72.262,-0.28486
72.31,-0.29227
72.355,-0.29957
72.411,-0.30689
72.459,-0.314
72.509,-0.32101
72.562,-0.32795
72.61,-0.33481
72.66,-0.34161
72.709,-0.34832
72.758,-0.35485
72.812,-0.36118
72.857,-0.36759
72.914,-0.37396
72.959,-0.38025
73.012,-0.38645
73.059,-0.39256
73.111,-0.3986
73.161,-0.40455
73.211,-0.41044
73.26,-0.41626
73.311,-0.42202
73.363,-0.42764
73.409,-0.43306
73.459,-0.43842
73.51,-0.44379
73.563,-0.44913
73.611,-0.45443
73.663,-0.45965
73.705,-0.46486
73.762,-0.4702
73.809,-0.47561
73.86,-0.48108
73.913,-0.48633
73.961,-0.49149
74.012,-0.49658
74.06,-0.50171
74.112,-0.5069
74.162,-0.5119
74.21,-0.51683
74.262,-0.52167
74.305,-0.52639
74.354,-0.53126
74.41,-0.53619
74.461,-0.54105
74.513,-0.54591
74.56,-0.5506
74.614,-0.55514
74.657,-0.55966
74.711,-0.56419
74.765,-0.56865
74.812,-0.57316
74.861,-0.57768
74.91,-0.58216
74.963,-0.58662
75.011,-0.59104
75.066,-0.59544
75.11,-0.59979
75.158,-0.60411
75.213,-0.60838
75.266,-0.61261
75.308,-0.61678
75.363,-0.6209
75.409,-0.62497
75.459,-0.62899
75.513,-0.63302
75.562,-0.63714
75.611,-0.64129
75.656,-0.64546
75.715,-0.64954
75.763,-0.65353
75.813,-0.65737
75.863,-0.66116
75.912,-0.66485
75.962,-0.66842
76.011,-0.67202
76.065,-0.67547
76.114,-0.67886
76.165,-0.68222
76.211,-0.68551
76.258,-0.68872
76.316,-0.69203
76.361,-0.69536
76.415,-0.69867
76.464,-0.70201
76.507,-0.70539
76.559,-0.70862
76.61,-0.71186
76.66,-0.71522
76.719,-0.71852
76.761,-0.72171
76.81,-0.72499
76.866,-0.72821
76.915,-0.73134
76.964,-0.73449
77.01,-0.73758
77.06,-0.7407
77.112,-0.74375
77.161,-0.74684
77.213,-0.74986
77.262,-0.7529
77.315,-0.75587
77.359,-0.75891
77.415,-0.76194
77.465,-0.76496
77.516,-0.76796
77.564,-0.77099
77.616,-0.77405
77.662,-0.77702
77.71,-0.78
77.766,-0.78301
77.814,-0.78594
77.863,-0.78887
77.909,-0.79184
77.96,-0.79473
78.012,-0.79759
78.064,-0.80044
78.112,-0.80327
78.163,-0.8061
78.21,-0.8089
78.265,-0.81169
78.314,-0.81446
78.364,-0.81721
78.414,-0.81992
78.459,-0.82261
78.514,-0.82527
78.564,-0.82791
78.612,-0.83052
78.666,-0.83311
78.71,-0.83574
78.764,-0.83843
78.814,-0.841
78.862,-0.84357
78.917,-0.84618
78.963,-0.84873
79.012,-0.85133
79.064,-0.85392
79.113,-0.85645
79.165,-0.8589
79.213,-0.86143
79.262,-0.86392
79.315,-0.86629
79.364,-0.86862
79.416,-0.87094
79.465,-0.87324
79.513,-0.8755
79.563,-0.87765
79.614,-0.87978
79.666,-0.88186
79.712,-0.88393
79.765,-0.88601
79.811,-0.88814
79.866,-0.89026
79.916,-0.89234
79.964,-0.89445
80.011,-0.89658
80.062,-0.89867
80.114,-0.90082
80.164,-0.90299
80.213,-0.90513
80.263,-0.90727
80.314,-0.90939
80.363,-0.91149
80.413,-0.91358
80.463,-0.91565
80.512,-0.91771
80.558,-0.91975
80.613,-0.92177
80.665,-0.92377
80.712,-0.92572
80.763,-0.9276
80.815,-0.92955
80.863,-0.93149
80.912,-0.93344
80.963,-0.93534
81.019,-0.93718
81.065,-0.93908
81.112,-0.94096
81.164,-0.94278
81.214,-0.94466
81.266,-0.94654
81.313,-0.94842
81.367,-0.95028
81.411,-0.95216
81.466,-0.95409
81.516,-0.95598
81.565,-0.95783
81.617,-0.95971
81.662,-0.96158
81.719,-0.96344
81.763,-0.96527
81.816,-0.96704
81.866,-0.96878
81.912,-0.97051
81.964,-0.97223
82.013,-0.97397
82.061,-0.97577
82.115,-0.97747
82.166,-0.97914
82.218,-0.98078
82.264,-0.98241
82.314,-0.98402
82.363,-0.98562
82.413,-0.98722
82.466,-0.98881
82.515,-0.99035
82.565,-0.99179
82.612,-0.99323
82.665,-0.99469
82.715,-0.99614
82.764,-0.99754
82.813,-0.99896
82.861,-1.00041
82.917,-1.00189
82.966,-1.00327
83.013,-1.00466
83.062,-1.00609
83.114,-1.00744
83.162,-1.00881
83.214,-1.01023
83.262,-1.0116
83.318,-1.013
83.364,-1.01436
83.414,-1.01575
83.464,-1.01709
83.519,-1.01849
83.567,-1.01989
83.612,-1.02128
83.668,-1.02266
83.712,-1.02403
83.768,-1.0254
83.818,-1.02675
83.868,-1.0281
83.913,-1.02944
83.961,-1.03077
84.016,-1.0321
84.062,-1.03343
84.111,-1.03475
84.165,-1.03607
84.212,-1.03739
84.262,-1.0387
84.312,-1.04
84.362,-1.04129
84.411,-1.04257
84.462,-1.04385
84.512,-1.04511
84.562,-1.04638
84.612,-1.04764
84.665,-1.0489
84.712,-1.05016
84.765,-1.05141
84.813,-1.05266
84.866,-1.05391
84.915,-1.05514
84.965,-1.05638
85.015,-1.05761
85.063,-1.05884
85.114,-1.06006
85.163,-1.06128
85.213,-1.06248
85.263,-1.06366
85.313,-1.06484
85.366,-1.06599
85.414,-1.06714
85.464,-1.06827
85.514,-1.06939
85.561,-1.07051
85.613,-1.07161
85.66,-1.0727
85.713,-1.07379
85.76,-1.07486
85.81,-1.07593
85.861,-1.07699
85.914,-1.07808
85.963,-1.07921
86.014,-1.08036
86.064,-1.08149
86.115,-1.08258
86.163,-1.08364
86.212,-1.08465
86.261,-1.08567
86.314,-1.08671
86.364,-1.08781
86.409,-1.08891
86.464,-1.09001
86.51,-1.09112
86.565,-1.09221
86.617,-1.09329
86.66,-1.09436
86.71,-1.09542
86.758,-1.09646
86.815,-1.09749
86.863,-1.0985
86.912,-1.0995
86.961,-1.10048
87.008,-1.10145
87.061,-1.1024
87.112,-1.10335
87.159,-1.10429
87.213,-1.10522
87.263,-1.10616
87.311,-1.1071
87.364,-1.10803
87.415,-1.10896
87.46,-1.1099
87.507,-1.11084
87.562,-1.11179
87.611,-1.11273
