Sample temperature (C),Heat flow (mW)
70.099,-0.07829
70.101,-0.07831
70.098,-0.07831
70.103,-0.07832
70.101,-0.07832
70.106,-0.0784
70.115,-0.07857
70.124,-0.07863
70.141,-0.07866
70.153,-0.07868
70.175,-0.07871
70.203,-0.07874
70.233,-0.07878
70.262,-0.07895
70.291,-0.0793
70.319,-0.07951
70.357,-0.07973
70.39,-0.08016
70.431,-0.08086
70.468,-0.08142
70.51,-0.0822
70.552,-0.08349
70.592,-0.08488
70.636,-0.08631
70.673,-0.08828
70.717,-0.09059
70.764,-0.09321
70.805,-0.09613
70.853,-0.09935
70.899,-0.10289
70.943,-0.10673
70.992,-0.11089
71.035,-0.11537
71.085,-0.12015
71.131,-0.12524
71.178,-0.13063
71.225,-0.1363
71.273,-0.14244
71.322,-0.14906
71.375,-0.15562
71.423,-0.16233
71.467,-0.16939
71.518,-0.17694
71.566,-0.18465
71.618,-0.19241
71.669,-0.20016
71.713,-0.20788
71.763,-0.21562
71.814,-0.22338
71.865,-0.23089
71.912,-0.23825
71.965,-0.24549
72.013,-0.25272
72.061,-0.25994
72.113,-0.2672
72.161,-0.2746
72.215,-0.28228
72.265,-0.28998
72.309,-0.29762
72.361,-0.30503
72.412,-0.31233
72.461,-0.31953
72.516,-0.32676
72.562,-0.33404
72.614,-0.34105
72.663,-0.34792
72.712,-0.35469
72.763,-0.36127
72.809,-0.36765
72.863,-0.37411
72.914,-0.38056
72.961,-0.38684
73.012,-0.39295
73.063,-0.39906
73.108,-0.40503
73.164,-0.41103
73.215,-0.4169
73.262,-0.4228
73.314,-0.42858
73.362,-0.43438
73.412,-0.44007
73.462,-0.44578
73.511,-0.45137
73.561,-0.45696
73.609,-0.46243
73.66,-0.46799
73.71,-0.47354
73.762,-0.47904
73.812,-0.4845
73.863,-0.48991
73.915,-0.49528
73.964,-0.50061
74.012,-0.50589
74.066,-0.51112
74.114,-0.51632
74.163,-0.52147
74.213,-0.52659
74.262,-0.53167
74.31,-0.53672
74.366,-0.54172
74.412,-0.54669
74.462,-0.55162
74.513,-0.55651
74.559,-0.56136
74.613,-0.56625
74.664,-0.57118
74.711,-0.57594
74.763,-0.58063
74.813,-0.58526
74.864,-0.58984
74.913,-0.59438
74.963,-0.59887
75.011,-0.60331
75.063,-0.60771
75.113,-0.61206
75.167,-0.61637
75.217,-0.62071
75.261,-0.6251
75.313,-0.62932
75.364,-0.63347
75.414,-0.63758
75.463,-0.64159
75.512,-0.64551
75.562,-0.64944
75.613,-0.65324
75.665,-0.65703
75.716,-0.66085
75.759,-0.66456
75.813,-0.66837
75.864,-0.67217
75.912,-0.67594
75.966,-0.67968
76.017,-0.68338
76.068,-0.68706
76.112,-0.69064
76.16,-0.69408
76.214,-0.6975
76.263,-0.70093
76.316,-0.70435
76.361,-0.70775
76.414,-0.71116
76.462,-0.7146
76.511,-0.71789
76.565,-0.72117
76.616,-0.72455
76.661,-0.72794
76.715,-0.7313
76.764,-0.73465
76.815,-0.73802
76.864,-0.74144
76.916,-0.74474
76.965,-0.74804
77.016,-0.75137
77.064,-0.75464
77.115,-0.75793
77.164,-0.7611
77.213,-0.76424
77.262,-0.76736
77.313,-0.77047
77.367,-0.77356
77.413,-0.77659
77.464,-0.77954
77.513,-0.78256
77.561,-0.78552
77.614,-0.7884
77.665,-0.79135
77.714,-0.79429
77.763,-0.79721
77.817,-0.80017
77.868,-0.80317
77.918,-0.80609
77.964,-0.80909
78.015,-0.81206
78.064,-0.81496
78.118,-0.81779
78.167,-0.82065
78.217,-0.82339
78.264,-0.82615
78.311,-0.82897
78.372,-0.83161
78.415,-0.83412
78.469,-0.83671
78.517,-0.83926
78.564,-0.84167
78.618,-0.84404
78.667,-0.84641
78.716,-0.84879
78.767,-0.85117
78.816,-0.85352
78.865,-0.85585
78.917,-0.85815
78.966,-0.8604
79.016,-0.8627
79.064,-0.86505
79.116,-0.86735
79.166,-0.86973
79.212,-0.87213
79.269,-0.87446
79.316,-0.87672
79.367,-0.87904
79.409,-0.88135
79.466,-0.88365
79.517,-0.8859
79.566,-0.88809
79.615,-0.8903
79.667,-0.89248
79.716,-0.89468
79.766,-0.89681
79.814,-0.89894
79.864,-0.9011
79.913,-0.90322
79.962,-0.90535
80.014,-0.90743
80.064,-0.90956
80.116,-0.91168
80.165,-0.91379
80.216,-0.91589
80.268,-0.91802
80.314,-0.92021
80.368,-0.9223
80.416,-0.92435
80.465,-0.92639
80.517,-0.92846
80.564,-0.93062
80.617,-0.93274
80.663,-0.9348
80.717,-0.93691
80.768,-0.939
80.813,-0.94108
80.865,-0.94313
80.918,-0.94517
80.965,-0.9472
81.016,-0.94921
81.065,-0.95114
81.112,-0.95306
81.165,-0.95497
81.213,-0.95687
81.267,-0.95876
81.315,-0.9606
81.365,-0.96237
81.415,-0.96414
81.467,-0.96586
81.519,-0.9676
81.569,-0.96928
81.612,-0.97103
81.667,-0.97279
81.714,-0.97459
81.766,-0.97642
81.813,-0.97817
81.863,-0.97988
81.916,-0.98158
81.967,-0.98329
82.018,-0.98503
82.064,-0.9867
82.116,-0.98836
82.166,-0.99
82.212,-0.9916
82.268,-0.99316
82.32,-0.99473
82.362,-0.99626
82.417,-0.99782
82.463,-0.99931
82.516,-1.00078
82.565,-1.00223
