Time (s),Temperaturee (°C)
0.0,32.2
0.012,32.4
0.025,32.0
0.037,34.9
0.05,54.7
0.062,68.2
0.075,78.5
0.087,87.6
0.1,95.5
0.112,102.1
0.125,108.2
0.137,113.7
0.15,119.1
0.162,123.6
0.175,128.6
0.187,133.0
0.2,136.6
0.212,144.3
0.225,147.9
0.237,151.4
0.25,154.4
0.262,157.9
0.275,160.8
0.287,164.0
0.3,166.7
0.312,169.7
0.325,172.5
0.337,174.8
0.35,177.6
0.362,180.2
0.375,182.4
0.387,185.0
0.4,187.3
0.412,189.5
0.425,191.8
0.437,193.9
0.45,196.5
0.462,198.4
0.475,200.7
0.487,202.6
0.5,204.5
0.512,206.6
0.525,208.6
0.537,210.3
0.55,212.3
0.562,214.2
0.575,216.1
0.587,218.1
0.6,219.7
0.612,221.4
0.625,223.2
0.637,225.0
0.65,226.5
0.662,228.1
0.675,229.9
0.687,231.5
0.7,233.2
0.712,234.8
0.725,236.3
0.737,238.0
0.75,239.5
0.762,241.3
0.775,242.6
0.787,244.2
0.8,245.5
0.812,246.9
0.825,248.3
0.837,249.8
0.85,251.2
0.862,252.7
0.875,254.1
0.887,255.7
0.9,256.9
0.912,258.5
0.925,259.7
0.937,261.4
0.95,262.7
0.962,263.9
0.975,265.2
0.987,266.5
1.0,268.0
1.012,269.2
1.025,270.7
1.037,266.1
1.05,254.1
1.062,245.9
1.075,239.5
1.087,233.7
1.1,229.1
1.112,224.8
1.125,220.6
1.137,217.0
1.15,213.8
1.162,210.6
1.175,207.5
1.187,204.7
1.2,202.1
1.212,199.5
1.225,197.4
1.237,194.7
1.25,192.7
1.262,190.6
1.275,188.7
1.287,186.6
1.3,184.8
1.312,183.0
1.325,181.8
1.337,179.8
1.35,178.2
1.362,176.7
1.375,175.2
1.387,173.9
1.4,172.3
1.412,170.9
1.425,169.7
1.437,168.5
1.45,167.3
1.462,165.8
1.475,164.8
1.487,163.8
1.5,162.7
1.512,161.8
1.525,159.7
1.537,158.9
1.55,157.8
1.562,156.9
1.575,155.7
1.587,154.8
1.6,154.0
1.612,153.0
1.625,152.1
1.637,151.3
1.65,150.4
1.662,149.5
1.675,148.7
1.687,148.0
1.7,147.1
1.712,146.4
1.725,145.7
1.737,144.6
1.75,144.2
1.762,143.3
1.775,142.8
1.787,142.1
1.8,141.3
1.812,140.8
1.825,140.1
1.837,139.4
1.85,139.1
1.862,138.3
1.875,137.7
1.887,137.2
1.9,136.6
1.912,135.7
1.925,135.4
1.937,134.9
1.95,134.3
1.962,133.6
1.975,133.3
1.987,133.0
2.0,132.3
2.012,131.5
2.025,131.0
2.037,130.7
2.05,130.5
2.062,129.6
2.075,129.4
2.087,128.7
2.1,128.1
2.112,127.7
2.125,127.3
2.137,127.1
2.15,126.6
2.162,126.1
2.175,125.8
2.187,125.2
2.2,125.0
2.212,124.5
2.225,124.1
2.237,123.6
2.25,123.5
2.262,122.5
2.275,122.4
2.287,122.0
2.3,121.6
2.312,121.2
2.325,120.9
2.337,120.6
2.35,120.4
2.362,119.7
2.375,119.4
2.387,119.4
2.4,118.7
2.412,118.3
2.425,118.0
2.437,117.9
2.45,117.3
2.462,116.9
2.475,116.6
2.487,116.4
2.5,115.8
2.512,115.7
2.525,115.3
2.537,115.0
2.55,114.9
2.562,114.7
2.575,114.0
2.587,114.0
2.6,113.3
2.612,113.1
2.625,112.8
2.637,112.4
2.65,112.3
2.662,112.1
2.675,112.0
2.687,111.4
2.7,111.5
2.712,110.9
2.725,110.6
2.737,110.2
2.75,110.0
2.762,109.3
2.775,109.2
2.787,109.0
2.8,108.8
2.812,108.6
2.825,108.2
2.837,107.9
2.85,107.9
2.862,107.4
2.875,107.1
2.887,107.0
2.9,106.6
2.912,106.6
2.925,106.2
2.937,106.1
2.95,105.8
2.962,106.1
2.975,105.3
2.987,105.0
3.0,104.9
3.012,104.5
3.025,104.5
3.037,104.1
3.05,104.0
3.062,103.8
3.075,103.5
3.087,103.4
3.1,103.2
3.112,103.2
3.125,102.8
3.137,102.6
3.15,102.2
3.162,102.1
3.175,102.0
3.187,101.9
3.2,101.5
3.212,101.3
3.225,100.8
3.237,100.8
3.25,100.6
3.262,100.6
3.275,100.6
3.287,100.3
3.3,99.8
3.312,99.6
3.325,99.5
3.337,99.2
3.35,99.4
3.362,99.1
3.375,98.7
3.387,98.5
3.4,98.5
3.412,98.3
3.425,98.2
3.437,97.8
3.45,97.6
3.462,97.6
3.475,97.4
3.487,97.3
3.5,96.9
3.512,96.9
3.525,96.8
3.537,96.4
3.55,96.4
3.562,95.9
3.575,95.8
3.587,95.7
3.6,95.4
3.612,95.3
3.625,95.2
3.637,95.2
3.65,95.0
3.662,94.8
3.675,94.8
3.687,94.5
3.7,94.5
3.712,94.1
3.725,94.0
3.737,93.7
3.75,93.8
3.762,93.7
3.775,93.3
3.787,93.2
3.8,93.2
3.812,93.1
3.825,92.7
3.837,92.4
3.85,92.4
3.862,92.7
3.875,92.3
3.887,92.3
3.9,92.1
3.912,91.7
3.925,91.7
3.937,91.4
3.95,91.4
3.962,91.5
