Time (s),Temperaturee (°C)
0.0,31.1
0.012,31.1
0.025,31.1
0.037,36.0
0.05,61.0
0.062,77.3
0.075,89.2
0.087,99.2
0.1,107.8
0.112,114.9
0.125,121.6
0.137,127.5
0.15,133.0
0.162,138.4
0.175,143.2
0.187,147.6
0.2,151.8
0.212,156.1
0.225,160.5
0.237,164.0
0.25,167.6
0.262,171.2
0.275,174.7
0.287,177.9
0.3,181.0
0.312,184.2
0.325,187.4
0.337,190.1
0.35,193.1
0.362,196.1
0.375,199.0
0.387,201.5
0.4,204.2
0.412,207.0
0.425,209.3
0.437,211.9
0.45,214.5
0.462,216.8
0.475,219.3
0.487,221.8
0.5,224.1
0.512,226.4
0.525,228.9
0.537,230.9
0.55,233.2
0.562,235.2
0.575,237.4
0.587,239.6
0.6,241.5
0.612,243.6
0.625,245.7
0.637,247.7
0.65,249.8
0.662,251.9
0.675,253.8
0.687,255.8
0.7,257.6
0.712,259.5
0.725,261.3
0.737,263.2
0.75,265.2
0.762,266.7
0.775,268.7
0.787,270.5
0.8,272.2
0.812,273.9
0.825,275.5
0.837,277.2
0.85,279.0
0.862,282.2
0.875,283.7
0.887,285.3
0.9,287.1
0.912,288.7
0.925,290.5
0.937,291.9
0.95,293.5
0.962,295.1
0.975,296.8
0.987,298.4
1.0,299.9
1.012,301.5
1.025,303.1
1.037,297.4
1.05,282.6
1.062,272.4
1.075,264.8
1.087,258.6
1.1,253.1
1.112,248.5
1.125,244.3
1.137,240.5
1.15,237.0
1.162,233.7
1.175,230.7
1.187,227.9
1.2,225.2
1.212,222.8
1.225,220.2
1.237,218.1
1.25,216.0
1.262,213.7
1.275,211.8
1.287,209.8
1.3,207.9
1.312,206.3
1.325,204.5
1.337,202.9
1.35,201.1
1.362,199.7
1.375,198.0
1.387,196.5
1.4,195.0
1.412,194.0
1.425,192.6
1.437,191.2
1.45,189.8
1.462,188.4
1.475,187.5
1.487,186.2
1.5,185.5
1.512,183.8
1.525,182.8
1.537,181.7
1.55,180.7
1.562,179.7
1.575,178.7
1.587,177.7
1.6,176.7
1.612,175.8
1.625,174.9
1.637,173.9
1.65,173.2
1.662,172.6
1.675,171.6
1.687,170.5
1.7,169.8
1.712,168.9
1.725,168.2
1.737,167.4
1.75,166.8
1.762,166.1
1.775,164.9
1.787,164.5
1.8,163.9
1.812,162.9
1.825,162.1
1.837,161.7
1.85,160.5
1.862,160.2
1.875,159.4
1.887,159.0
1.9,158.4
1.912,157.8
1.925,157.1
1.937,156.9
1.95,156.0
1.962,155.4
1.975,154.9
1.987,154.1
2.0,153.5
2.012,152.9
2.025,152.3
2.037,151.8
2.05,151.3
2.062,150.7
2.075,150.1
2.087,149.8
2.1,149.2
2.112,148.5
2.125,148.0
2.137,147.6
2.15,147.2
2.162,146.7
2.175,145.6
2.187,144.9
2.2,144.5
2.212,144.2
2.225,143.5
2.237,143.3
2.25,142.7
2.262,142.3
2.275,142.3
2.287,141.5
2.3,141.2
2.312,140.9
2.325,139.9
2.337,139.8
2.35,139.4
2.362,138.9
2.375,138.6
2.387,138.1
2.4,137.7
2.412,137.3
2.425,137.0
2.437,136.7
2.45,136.3
2.462,135.8
2.475,135.5
2.487,135.2
2.5,134.9
2.512,134.3
2.525,134.1
2.537,133.7
2.55,132.9
2.562,132.9
2.575,132.5
2.587,132.2
2.6,132.0
2.612,131.4
2.625,131.5
2.637,130.6
2.65,130.4
2.662,130.3
2.675,129.9
2.687,129.6
2.7,129.2
2.712,129.2
2.725,128.8
2.737,128.3
2.75,127.8
2.762,128.2
2.775,127.4
2.787,127.3
2.8,126.6
2.812,126.4
2.825,126.1
2.837,125.8
2.85,125.6
2.862,125.2
2.875,125.0
2.887,124.6
2.9,124.4
2.912,124.1
2.925,123.9
2.937,124.0
2.95,123.2
2.962,122.9
2.975,123.0
2.987,122.5
3.0,122.2
3.012,121.8
3.025,121.8
3.037,121.5
3.05,121.3
3.062,120.8
3.075,120.9
3.087,120.4
3.1,120.2
3.112,119.8
3.125,119.5
3.137,119.4
3.15,119.2
3.162,119.2
3.175,118.5
3.187,118.3
3.2,118.3
3.212,117.9
3.225,117.7
3.237,117.4
3.25,117.1
3.262,117.0
3.275,116.8
3.287,116.5
3.3,116.1
3.312,116.0
3.325,115.8
3.337,115.6
3.35,115.5
3.362,115.3
3.375,114.9
3.387,114.8
3.4,114.6
3.412,114.4
3.425,114.4
3.437,114.1
3.45,113.6
3.462,113.4
3.475,113.6
3.487,113.0
3.5,112.5
3.512,112.4
3.525,112.5
3.537,112.0
3.55,111.9
3.562,111.9
3.575,111.5
3.587,111.4
3.6,111.3
3.612,110.8
3.625,110.5
3.637,110.3
3.65,110.5
3.662,110.1
3.675,109.9
3.687,109.9
3.7,109.9
3.712,109.2
3.725,109.1
3.737,109.0
3.75,108.7
3.762,108.6
3.775,108.6
3.787,108.3
3.8,108.3
3.812,107.9
3.825,107.8
3.837,107.8
3.85,107.1
3.862,107.3
3.875,107.0
3.887,106.9
3.9,106.6
3.912,106.3
3.925,106.3
3.937,106.1
3.95,106.1
3.962,105.8
3.975,105.7
3.987,105.5
4.0,105.3
4.012,105.3
4.025,105.1
4.037,104.9
4.05,104.6
4.062,104.5
4.075,104.3
4.087,104.3
4.1,104.1
4.112,104.0
4.125,103.8
4.137,103.7
4.15,103.4
4.162,103.3
4.175,103.2
4.187,103.2
4.2,103.0
4.212,102.7
4.225,102.8
4.237,102.4
4.25,102.6
4.262,102.3
4.275,102.1
4.287,102.0
4.3,102.0
4.312,101.9
4.325,101.3
4.337,101.5
4.35,101.3
4.362,101.1
4.375,101.1
4.387,101.0
4.4,101.1
4.412,100.6
4.425,100.6
4.437,100.3
4.45,100.2
4.462,100.1
4.475,99.8
4.487,99.8
4.5,99.6
4.512,99.6
4.525,99.4
4.537,99.4
4.55,99.2
4.562,99.2
4.575,98.8
4.587,98.8
4.6,98.7
4.612,98.6
4.625,98.5
4.637,98.3
4.65,98.2
4.662,97.8
4.675,97.8
4.687,97.4
4.7,97.4
4.712,97.3
4.725,97.3
4.737,97.2
4.75,96.9
4.762,96.8
4.775,96.6
4.787,96.6
4.8,96.4
4.812,96.6
4.825,96.3
4.837,96.0
4.85,96.2
4.862,95.8
4.875,96.0
4.887,95.7
4.9,96.0
4.912,95.8
4.925,95.5
4.937,95.3
4.95,95.4
4.962,95.0
4.975,94.9
4.987,95.3
5.0,94.8
5.012,94.9
5.025,94.4
5.037,94.4
5.05,94.5
5.062,94.4
5.075,94.1
5.087,94.1
5.1,94.0
5.112,93.7
5.125,94.0
5.137,93.5
5.15,94.0
5.162,93.6
5.175,93.1
5.187,93.2
5.2,93.0
5.212,93.2
5.225,92.8
5.237,92.8
5.25,92.7
5.262,92.8
5.275,92.3
5.287,92.5
5.3,92.1
5.312,92.1
5.325,91.9
5.337,92.0
5.35,92.0
