Time (s),Temperaturee (°C)
0.0,30.9
0.012,31.1
0.025,31.3
0.037,35.4
0.05,51.1
0.062,62.3
0.075,70.5
0.087,76.5
0.1,82.5
0.112,87.7
0.125,92.0
0.137,96.4
0.15,100.8
0.162,104.1
0.175,107.5
0.187,110.5
0.2,113.6
0.212,116.6
0.225,119.4
0.237,122.0
0.25,125.0
0.262,127.3
0.275,129.7
0.287,132.2
0.3,134.3
0.312,136.4
0.325,140.8
0.337,142.9
0.35,144.9
0.362,146.8
0.375,148.6
0.387,150.3
0.4,152.4
0.412,154.0
0.425,155.8
0.437,157.7
0.45,159.3
0.462,160.8
0.475,162.4
0.487,164.1
0.5,165.7
0.512,167.0
0.525,168.6
0.537,170.1
0.55,171.7
0.562,173.2
0.575,174.7
0.587,176.1
0.6,177.5
0.612,178.9
0.625,180.4
0.637,181.8
0.65,183.0
0.662,184.3
0.675,185.7
0.687,186.7
0.7,188.1
0.712,189.3
0.725,190.6
0.737,191.9
0.75,193.1
0.762,194.2
0.775,195.4
0.787,196.7
0.8,197.8
0.812,199.1
0.825,200.0
0.837,201.2
0.85,202.3
0.862,203.6
0.875,204.6
0.887,205.8
0.9,206.7
0.912,207.8
0.925,209.0
0.937,209.8
0.95,210.9
0.962,211.9
0.975,212.9
0.987,213.9
1.0,214.8
1.012,215.7
1.025,216.8
1.037,211.6
1.05,202.0
1.062,195.0
1.075,190.0
1.087,185.8
1.1,182.1
1.112,178.7
1.125,175.9
1.137,173.3
1.15,170.6
1.162,168.5
1.175,166.6
1.187,164.5
1.2,162.6
1.212,161.0
1.225,159.2
1.237,157.7
1.25,156.0
1.262,154.6
1.275,153.2
1.287,151.8
1.3,150.5
1.312,149.6
1.325,148.0
1.337,147.1
1.35,145.9
1.362,144.6
1.375,143.9
1.387,142.6
1.4,141.4
1.412,140.6
1.425,139.7
1.437,138.9
1.45,137.7
1.462,137.1
1.475,136.1
1.487,135.2
1.5,134.4
1.512,133.8
1.525,132.9
1.537,132.4
1.55,131.5
1.562,131.0
1.575,130.0
1.587,129.2
1.6,128.5
1.612,127.9
1.625,127.4
1.637,126.1
1.65,125.5
1.662,124.9
1.675,124.2
1.687,123.9
1.7,123.1
1.712,122.5
1.725,121.9
1.737,121.7
1.75,121.1
1.762,120.5
1.775,120.0
1.787,119.5
1.8,118.8
1.812,118.4
1.825,118.0
1.837,117.5
1.85,117.3
1.862,116.5
1.875,116.3
1.887,115.8
1.9,115.3
1.912,115.0
1.925,114.2
1.937,113.8
1.95,113.4
