Time (min),Temperature (°C),Heat Flow (W/g)
0,25.09,-0.0305648117
0,25.09,-0.0301805878
0,25.09,-0.0298524704
0.01,25.1,-0.0295413227
0.01,25.1,-0.0292575245
0.01,25.11,-0.0289249306
0.01,25.11,-0.0285947495
0.01,25.12,-0.0283250790
0.01,25.12,-0.0280728016
0.01,25.13,-0.0278567390
0.02,25.13,-0.0276820889
0.02,25.14,-0.0274444008
0.02,25.14,-0.0271493893
0.02,25.15,-0.0268851089
0.02,25.15,-0.0266698742
0.03,25.16,-0.0265225601
0.03,25.16,-0.0264009762
0.03,25.17,-0.0262648735
0.03,25.18,-0.0261365547
0.03,25.18,-0.0260407257
0.03,25.19,-0.0259791870
0.03,25.2,-0.0259437714
0.04,25.21,-0.0259258366
0.04,25.21,-0.0259024868
0.04,25.22,-0.0258994904
0.04,25.23,-0.0259025307
0.04,25.24,-0.0259151669
0.05,25.25,-0.0259922390
0.05,25.26,-0.0260633602
0.05,25.26,-0.0261253815
0.05,25.27,-0.0261713505
0.05,25.28,-0.0262111874
0.05,25.29,-0.0262377110
0.05,25.3,-0.0262735596
0.06,25.31,-0.0263296146
0.06,25.32,-0.0263995934
0.06,25.33,-0.0264892979
0.06,25.34,-0.0266218567
0.06,25.35,-0.0268451481
0.07,25.36,-0.0271705894
0.07,25.37,-0.0276264324
0.07,25.38,-0.0281885433
0.07,25.39,-0.0288608227
0.07,25.4,-0.0296831837
0.07,25.41,-0.0305715084
0.08,25.42,-0.0315335178
0.08,25.43,-0.0326028481
0.08,25.44,-0.0334733925
0.08,25.46,-0.0343581467
0.08,25.47,-0.0352669182
0.08,25.48,-0.0363998108
0.08,25.49,-0.0374221382
0.09,25.5,-0.0384977074
0.09,25.51,-0.0397497101
0.09,25.53,-0.0405628548
0.09,25.54,-0.0414483185
0.09,25.55,-0.0423409004
0.09,25.56,-0.0432912521
0.1,25.57,-0.0442227135
0.1,25.58,-0.0449518547
0.1,25.6,-0.0456024818
0.1,25.61,-0.0465169716
0.1,25.62,-0.0473306389
0.11,25.63,-0.0481678391
0.11,25.65,-0.0490563736
0.11,25.66,-0.0498544579
0.11,25.67,-0.0505486679
0.11,25.68,-0.0515697899
0.11,25.7,-0.0525064354
0.12,25.71,-0.0532223282
0.12,25.72,-0.0541125870
0.12,25.73,-0.0548464012
0.12,25.75,-0.0557770538
0.12,25.76,-0.0565720787
0.12,25.77,-0.0573627663
0.13,25.79,-0.0580397835
0.13,25.8,-0.0589367638
0.13,25.81,-0.0597192307
0.13,25.82,-0.0604751282
0.13,25.84,-0.0610666771
