Temperaturee (°C),Heat flow (W/g)
°C,W/g
70.0110,0.0128782
70.0105,0.0128806
70.0109,0.0128846
70.0107,0.0128890
70.0108,0.0128929
70.0105,0.0128957
70.0108,0.0128970
70.0108,0.0128991
70.0109,0.0129023
70.0115,0.0129031
70.0118,0.0129020
70.0116,0.0128999
70.0113,0.0128990
70.0112,0.0128980
70.0125,0.0128998
70.0130,0.0129024
70.0133,0.0129053
70.0131,0.0129067
70.0140,0.0129089
70.0150,0.0129149
70.0149,0.0129234
70.0158,0.0129328
70.0174,0.0129445
70.0183,0.0129842
70.0193,0.0130810
70.0202,0.0132409
70.0215,0.0135374
70.0237,0.0139513
70.0252,0.0145623
70.0269,0.0155377
70.0303,0.0168638
70.0323,0.0184395
70.0348,0.0204249
70.0376,0.0224755
70.0404,0.0246299
70.0433,0.0271206
70.0465,0.0293677
70.0500,0.0311591
70.0536,0.0326790
70.0577,0.0345473
70.0617,0.0366552
70.0669,0.0385354
70.0716,0.0405366
70.0762,0.0425780
70.0811,0.0444522
70.0861,0.0465475
70.0918,0.0486997
70.0970,0.0506167
70.1038,0.0522668
70.1098,0.0537564
70.1169,0.0555435
70.1227,0.0572252
70.1296,0.0590812
70.1369,0.0610272
70.1451,0.0624731
70.1523,0.0640745
70.1605,0.0656698
70.1683,0.0673321
70.1759,0.0687497
70.1853,0.0700112
70.1938,0.0710747
70.2018,0.0723955
70.2115,0.0734890
70.2206,0.0747462
70.2291,0.0758754
70.2394,0.0767967
70.2487,0.0776388
70.2589,0.0785688
70.2680,0.0794065
70.2788,0.0799714
70.2891,0.0802607
70.2989,0.0804022
70.3091,0.0810712
70.3194,0.0812640
70.3312,0.0813613
70.3421,0.0811382
70.3534,0.0809336
70.3638,0.0811313
70.3757,0.0805731
70.3865,0.0806571
70.3985,0.0806217
70.4097,0.0804584
70.4206,0.0801414
70.4342,0.0798232
70.4459,0.0793967
70.4566,0.0789305
70.4691,0.0779022
70.4802,0.0772461
70.4926,0.0761713
70.5058,0.0751694
70.5177,0.0742729
70.5300,0.0737381
70.5421,0.0731929
70.5551,0.0727784
70.5683,0.0721921
70.5803,0.0713402
70.5929,0.0703552
70.6058,0.0694843
70.6185,0.0685210
70.6317,0.0674638
70.6451,0.0662772
70.6575,0.0650392
70.6696,0.0637669
70.6826,0.0624291
70.6957,0.0609213
70.7087,0.0590292
70.7230,0.0571650
70.7354,0.0555916
70.7487,0.0544112
70.7622,0.0529453
70.7762,0.0516683
70.7889,0.0502570
70.8027,0.0488812
70.8165,0.0477828
70.8301,0.0465900
70.8443,0.0455763
70.8575,0.0442794
70.8713,0.0431826
70.8857,0.0423551
70.8987,0.0410108
70.9121,0.0396815
70.9259,0.0384090
70.9400,0.0371536
70.9537,0.0353896
70.9680,0.0339955
70.9824,0.0324559
70.9966,0.0315139
71.0108,0.0303151
71.0253,0.0292975
71.0389,0.0287661
71.0536,0.0276216
71.0671,0.0264309
71.0811,0.0253855
71.0965,0.0243388
71.1109,0.0231350
71.1248,0.0221278
71.1400,0.0205808
71.1541,0.0195602
71.1691,0.0185458
71.1840,0.0174329
71.1987,0.0163933
71.2126,0.0154379
71.2272,0.0144314
71.2416,0.0133946
71.2559,0.0123360
71.2718,0.0110036
71.2863,0.0100716
71.3007,8.74590e-3
71.3168,7.41067e-3
71.3312,6.54213e-3
71.3458,5.92376e-3
71.3605,4.92202e-3
71.3764,3.94744e-3
71.3907,3.32383e-3
71.4056,2.25305e-3
71.4207,1.24149e-3
71.4364,2.30357e-4
71.4504,-7.15471e-4
71.4661,-1.99076e-3
71.4813,-3.06419e-3
