Time (min),Temperature (°C),Heat Flow (W/g)
0.29,27.2,-0.1226467285
0.29,27.22,-0.1233813095
0.29,27.24,-0.1239234314
0.29,27.25,-0.1243096695
0.3,27.27,-0.1246141052
0.3,27.28,-0.1252350998
0.3,27.3,-0.1258095627
0.3,27.31,-0.1261925201
0.3,27.33,-0.1265308228
0.3,27.34,-0.1268712845
0.3,27.36,-0.1271955566
0.31,27.38,-0.1275345764
0.31,27.39,-0.1280293427
0.31,27.41,-0.1285463867
0.31,27.42,-0.1290596313
0.31,27.44,-0.1295913239
0.31,27.45,-0.1299080048
0.32,27.47,-0.1305825500
0.32,27.48,-0.1309527740
0.32,27.5,-0.1312362976
0.32,27.52,-0.1316954041
0.32,27.53,-0.1320344238
0.33,27.55,-0.1323994751
0.33,27.56,-0.1327158203
0.33,27.58,-0.1331062622
0.33,27.59,-0.1336391296
0.33,27.61,-0.1339762268
0.33,27.63,-0.1344060669
0.34,27.64,-0.1349922180
0.34,27.66,-0.1352666931
0.34,27.67,-0.1355984650
0.34,27.69,-0.1359626770
0.34,27.71,-0.1362780151
0.34,27.72,-0.1365405731
0.35,27.74,-0.1370487823
0.35,27.75,-0.1372515411
0.35,27.77,-0.1375857391
0.35,27.78,-0.1377722778
0.35,27.8,-0.1380335693
0.35,27.82,-0.1383568268
0.35,27.83,-0.1386634674
0.36,27.85,-0.1389985046
0.36,27.86,-0.1393758087
0.36,27.88,-0.1397064819
0.36,27.89,-0.1401338043
0.36,27.91,-0.1404250793
0.36,27.93,-0.1407342072
0.37,27.94,-0.1410299072
0.37,27.96,-0.1412472992
0.37,27.97,-0.1416407013
0.37,27.99,-0.1419368896
0.37,28.01,-0.1422347870
0.38,28.02,-0.1425949097
0.38,28.04,-0.1429625702
0.38,28.05,-0.1431633453
0.38,28.07,-0.1435117950
0.38,28.08,-0.1436958160
0.38,28.1,-0.1439064026
0.39,28.12,-0.1440959625
0.39,28.13,-0.1443341217
0.39,28.15,-0.1445354156
0.39,28.16,-0.1447390442
0.39,28.18,-0.1449331512
0.39,28.2,-0.1451555328
0.4,28.21,-0.1454335632
0.4,28.23,-0.1456553040
0.4,28.24,-0.1460070648
0.4,28.26,-0.1462615662
0.4,28.28,-0.1464462433
0.4,28.29,-0.1467762909
0.4,28.31,-0.1470928192
0.41,28.32,-0.1473504181
0.41,28.34,-0.1475821838
0.41,28.36,-0.1477706604
0.41,28.37,-0.1478669586
0.41,28.39,-0.1480729065
0.41,28.4,-0.1482510071
