Time (min),Temperature (°C),Heat Flow (W/g)
34.63,154.97,-0.0058388152
34.63,154.97,-0.0058396158
34.63,154.97,-0.0058404899
34.63,154.97,-0.0058428068
34.63,154.97,-0.0058441267
34.64,154.97,-0.0058458180
34.64,154.97,-0.0058478718
34.64,154.97,-0.0058495188
34.64,154.97,-0.0058507700
34.64,154.97,-0.0058502927
34.64,154.97,-0.0058506236
34.64,154.97,-0.0058505220
34.65,154.97,-0.0058511939
34.65,154.97,-0.0058517203
34.65,154.97,-0.0058532677
34.65,154.97,-0.0058535275
34.65,154.97,-0.0058540230
34.66,154.97,-0.0058549070
34.66,154.97,-0.0058568811
34.66,154.97,-0.0058583674
34.66,154.97,-0.0058591166
34.66,154.97,-0.0058595514
34.66,154.97,-0.0058609681
34.66,154.97,-0.0058627706
34.67,154.97,-0.0058638196
34.67,154.97,-0.0058645906
34.67,154.97,-0.0058653135
34.67,154.97,-0.0058652267
34.67,154.97,-0.0058653865
34.68,154.97,-0.0058655457
34.68,154.97,-0.0058651447
34.68,154.97,-0.0058639913
34.68,154.97,-0.0058620343
34.68,154.97,-0.0058600454
34.68,154.97,-0.0058580937
34.69,154.97,-0.0058558669
34.69,154.97,-0.0058545423
34.69,154.97,-0.0058536439
34.69,154.97,-0.0058537750
34.69,154.97,-0.0058541589
34.69,154.97,-0.0058555498
34.69,154.97,-0.0058566794
34.7,154.97,-0.0058571029
34.7,154.97,-0.0058582821
34.7,154.97,-0.0058583465
34.7,154.97,-0.0058570218
34.7,154.97,-0.0058564000
34.71,154.97,-0.0058558483
34.71,154.97,-0.0058565240
34.71,154.97,-0.0058558388
34.71,154.97,-0.0058565927
34.71,154.97,-0.0058568630
34.71,154.97,-0.0058576822
34.71,154.97,-0.0058580880
34.72,154.97,-0.0058590169
34.72,154.97,-0.0058597980
34.72,154.97,-0.0058599081
34.72,154.97,-0.0058598166
34.72,154.97,-0.0058596740
34.73,154.97,-0.0058593197
34.73,154.97,-0.0058583169
34.73,154.97,-0.0058574557
34.73,154.97,-0.0058559446
34.73,154.97,-0.0058552332
34.73,154.97,-0.0058544226
34.74,154.97,-0.0058531089
34.74,154.97,-0.0058507328
34.74,154.97,-0.0058483210
34.74,154.97,-0.0058466506
34.74,154.97,-0.0058463821
34.74,154.97,-0.0058468456
34.74,154.97,-0.0058479686
34.75,154.97,-0.0058479524
34.75,154.97,-0.0058488011
34.75,154.97,-0.0058492899
34.75,154.97,-0.0058498640
34.75,154.97,-0.0058501315
34.76,154.97,-0.0058495188
34.76,154.97,-0.0058479228
34.76,154.97,-0.0058462625
34.76,154.97,-0.0058452716
34.76,154.97,-0.0058458886
34.76,154.97,-0.0058469200
34.76,154.97,-0.0058478179
34.77,154.97,-0.0058493505
34.77,154.97,-0.0058505516
34.77,154.97,-0.0058511419
34.77,154.97,-0.0058507977
34.77,154.97,-0.0058512726
34.78,154.97,-0.0058511887
34.78,154.97,-0.0058512135
34.78,154.97,-0.0058513875
34.78,154.97,-0.0058513169
34.78,154.97,-0.0058501053
34.78,154.97,-0.0058484559
34.79,154.97,-0.0058470116
34.79,154.97,-0.0058450646
34.79,154.97,-0.0058421459
34.79,154.97,-0.0058393283
34.79,154.97,-0.0058375406
34.79,154.97,-0.0058366885
34.79,154.97,-0.0058371849
34.8,154.97,-0.0058386841
34.8,154.97,-0.0058401546
34.8,154.97,-0.0058402152
34.8,154.97,-0.0058406668
34.8,154.97,-0.0058401008
34.81,154.97,-0.0058400149
34.81,154.97,-0.0058385110
34.81,154.97,-0.0058378563
34.81,154.97,-0.0058369589
34.81,154.97,-0.0058363500
34.81,154.97,-0.0058358283
34.81,154.97,-0.0058354836
34.82,154.97,-0.0058345332
34.82,154.97,-0.0058336678
34.82,154.97,-0.0058333869
34.82,154.97,-0.0058326559
34.82,154.97,-0.0058312054
34.83,154.97,-0.0058304787
34.83,154.97,-0.0058288813
34.83,154.97,-0.0058271208
34.83,154.97,-0.0058262267
34.83,154.97,-0.0058261576
34.83,154.97,-0.0058272700
34.84,154.97,-0.0058285675
34.84,154.97,-0.0058307776
34.84,154.97,-0.0058324075
34.84,154.97,-0.0058332491
34.84,154.97,-0.0058340135
34.84,154.97,-0.0058348274
34.84,154.97,-0.0058356228
34.85,154.97,-0.0058356795
34.85,154.97,-0.0058366237
34.85,154.97,-0.0058385553
34.85,154.97,-0.0058417144
34.85,154.97,-0.0058445616
34.86,154.97,-0.0058470759
34.86,154.97,-0.0058488994
34.86,154.97,-0.0058491597
34.86,154.97,-0.0058490138
34.86,154.97,-0.0058480964
34.86,154.97,-0.0058464446
34.86,154.97,-0.0058440204
34.87,154.97,-0.0058415155
34.87,154.97,-0.0058408284
34.87,154.97,-0.0058403730
34.87,154.97,-0.0058404388
34.87,154.97,-0.0058413587
34.88,154.97,-0.0058428087
34.88,154.97,-0.0058450580
34.88,154.97,-0.0058467422
34.88,154.97,-0.0058490453
34.88,154.97,-0.0058515863
34.88,154.97,-0.0058530312
34.89,154.97,-0.0058533640
34.89,154.97,-0.0058533087
34.89,154.97,-0.0058533549
34.89,154.97,-0.0058551311
34.89,154.97,-0.0058564935
34.89,154.97,-0.0058580799
34.89,154.97,-0.0058592014
34.9,154.97,-0.0058614144
34.9,154.97,-0.0058638368
34.9,154.97,-0.0058654828
34.9,154.97,-0.0058659263
34.9,154.97,-0.0058655343
34.91,154.97,-0.0058645287
34.91,154.97,-0.0058637400
34.91,154.97,-0.0058631215
34.91,154.97,-0.0058619313
34.91,154.97,-0.0058603053
34.91,154.97,-0.0058585911
34.91,154.97,-0.0058570886
34.92,154.97,-0.0058561888
34.92,154.97,-0.0058556800
34.92,154.97,-0.0058552299
34.92,154.97,-0.0058559732
34.92,154.97,-0.0058564305
34.93,154.97,-0.0058579507
34.93,154.97,-0.0058581991
34.93,154.97,-0.0058590393
34.93,154.97,-0.0058598685
34.93,154.97,-0.0058608255
34.93,154.97,-0.0058618608
34.94,154.97,-0.0058626032
34.94,154.97,-0.0058635335
34.94,154.97,-0.0058647542
34.94,154.97,-0.0058658485
34.94,154.97,-0.0058674917
34.94,154.97,-0.0058687186
34.94,154.97,-0.0058683720
34.95,154.97,-0.0058685012
34.95,154.97,-0.0058685613
34.95,154.97,-0.0058678746
34.95,154.97,-0.0058681149
34.95,154.97,-0.0058677368
34.96,154.97,-0.0058674870
34.96,154.97,-0.0058674784
34.96,154.97,-0.0058670335
34.96,154.97,-0.0058677630
34.96,154.97,-0.0058687034
34.96,154.97,-0.0058697457
34.96,154.97,-0.0058701286
34.97,154.97,-0.0058714647
34.97,154.97,-0.0058718901
34.97,154.97,-0.0058731847
34.97,154.97,-0.0058740845
34.97,154.97,-0.0058741870
34.98,154.97,-0.0058737211
34.98,154.97,-0.0058737226
34.98,154.97,-0.0058738461
34.98,154.97,-0.0058732948
34.98,154.97,-0.0058724799
34.98,154.97,-0.0058713255
34.99,154.97,-0.0058692894
34.99,154.97,-0.0058671036
34.99,154.97,-0.0058645244
34.99,154.97,-0.0058628187
34.99,154.97,-0.0058632770
34.99,154.97,-0.0058629055
34.99,154.97,-0.0058622112
35,154.97,-0.0058616943
35,154.97,-0.0058615694
35,154.97,-0.0058613148
35,154.97,-0.0058626084
35,154.97,-0.0058639412
35.01,154.97,-0.0058645205
35.01,154.97,-0.0058656039
35.01,154.97,-0.0058670335
35.01,154.97,-0.0058685913
35.01,154.97,-0.0058693829
35.01,154.97,-0.0058687773
35.01,154.97,-0.0058692880
35.02,154.97,-0.0058697176
35.02,154.97,-0.0058696542
35.02,154.97,-0.0058693285
35.02,154.97,-0.0058694391
35.02,154.97,-0.0058698506
35.03,154.97,-0.0058695688
35.03,154.97,-0.0058695521
35.03,154.97,-0.0058687282
35.03,154.97,-0.0058676295
35.03,154.97,-0.0058671265
35.03,154.97,-0.0058688169
35.04,154.97,-0.0058699250
35.04,154.97,-0.0058706298
35.04,154.97,-0.0058714771
35.04,154.97,-0.0058725195
35.04,154.97,-0.0058738952
35.04,154.97,-0.0058754549
35.04,154.97,-0.0058768139
35.05,154.97,-0.0058769312
35.05,154.97,-0.0058773794
35.05,154.97,-0.0058774171
35.05,154.97,-0.0058765721
35.05,154.97,-0.0058750167
35.06,154.97,-0.0058729720
35.06,154.97,-0.0058703847
35.06,154.97,-0.0058689256
35.06,154.97,-0.0058670774
35.06,154.97,-0.0058652964
35.06,154.97,-0.0058648081
35.06,154.97,-0.0058655977
35.07,154.97,-0.0058671613
35.07,154.97,-0.0058700328
35.07,154.97,-0.0058722129
35.07,154.97,-0.0058736219
35.07,154.97,-0.0058742886
35.08,154.97,-0.0058753390
35.08,154.97,-0.0058750744
35.08,154.97,-0.0058740926
35.08,154.97,-0.0058725777
35.08,154.97,-0.0058706875
35.08,154.97,-0.0058697481
35.09,154.97,-0.0058686547
35.09,154.97,-0.0058685288
35.09,154.97,-0.0058686543
35.09,154.97,-0.0058683701
35.09,154.97,-0.0058683748
35.09,154.97,-0.0058678322
35.09,154.97,-0.0058689713
35.1,154.97,-0.0058690634
35.1,154.97,-0.0058691387
35.1,154.97,-0.0058685193
35.1,154.97,-0.0058676424
35.1,154.97,-0.0058658099
35.11,154.97,-0.0058657317
35.11,154.97,-0.0058648109
35.11,154.97,-0.0058640413
35.11,154.97,-0.0058627648
35.11,154.97,-0.0058612905
35.11,154.97,-0.0058604178
35.11,154.97,-0.0058590512
35.12,154.97,-0.0058576918
35.12,154.97,-0.0058573217
35.12,154.97,-0.0058566489
35.12,154.97,-0.0058562284
35.12,154.97,-0.0058559370
35.13,154.97,-0.0058555579
35.13,154.97,-0.0058558092
35.13,154.97,-0.0058564277
35.13,154.97,-0.0058571095
35.13,154.97,-0.0058587351
35.13,154.97,-0.0058591623
35.14,154.97,-0.0058601799
35.14,154.97,-0.0058612552
35.14,154.97,-0.0058616681
35.14,154.97,-0.0058631444
35.14,154.97,-0.0058622479
35.14,154.97,-0.0058614516
35.14,154.97,-0.0058602133
35.15,154.97,-0.0058581920
35.15,154.97,-0.0058563671
35.15,154.97,-0.0058555074
35.15,154.97,-0.0058555593
35.15,154.97,-0.0058562312
35.16,154.97,-0.0058561349
35.16,154.97,-0.0058568654
35.16,154.97,-0.0058586173
35.16,154.97,-0.0058606248
35.16,154.97,-0.0058600893
35.16,154.97,-0.0058602509
35.16,154.97,-0.0058600092
35.17,154.97,-0.0058587551
35.17,154.97,-0.0058583984
35.17,154.97,-0.0058587675
35.17,154.97,-0.0058598814
35.17,154.97,-0.0058606572
35.18,154.97,-0.0058622789
35.18,154.97,-0.0058639202
35.18,154.97,-0.0058650169
35.18,154.97,-0.0058652358
35.18,154.97,-0.0058645906
35.18,154.97,-0.0058638768
35.19,154.97,-0.0058641024
35.19,154.97,-0.0058644943
35.19,154.97,-0.0058647518
35.19,154.97,-0.0058646340
35.19,154.97,-0.0058654027
35.19,154.97,-0.0058673196
35.19,154.97,-0.0058687587
35.2,154.97,-0.0058698974
35.2,154.97,-0.0058701701
35.2,154.97,-0.0058706665
35.2,154.97,-0.0058714943
35.2,154.97,-0.0058721528
35.21,154.97,-0.0058727665
35.21,154.97,-0.0058713388
35.21,154.97,-0.0058697767
35.21,154.97,-0.0058685517
35.21,154.97,-0.0058683743
35.21,154.97,-0.0058695278
35.21,154.97,-0.0058700857
35.22,154.97,-0.0058704324
35.22,154.97,-0.0058708839
35.22,154.97,-0.0058716111
35.22,154.97,-0.0058724785
35.22,154.97,-0.0058755937
35.23,154.97,-0.0058765993
35.23,154.97,-0.0058769860
35.23,154.97,-0.0058768454
35.23,154.97,-0.0058768973
35.23,154.97,-0.0058775353
35.23,154.97,-0.0058776960
35.24,154.97,-0.0058777547
35.24,154.97,-0.0058779573
35.24,154.97,-0.0058782315
35.24,154.97,-0.0058782682
35.24,154.97,-0.0058786898
35.24,154.97,-0.0058772864
35.24,154.97,-0.0058760109
35.25,154.97,-0.0058751049
35.25,154.97,-0.0058742218
35.25,154.97,-0.0058729854
35.25,154.97,-0.0058731718
35.25,154.97,-0.0058728628
35.26,154.97,-0.0058730021
35.26,154.97,-0.0058742452
35.26,154.97,-0.0058754053
35.26,154.97,-0.0058768611
35.26,154.97,-0.0058775873
35.26,154.97,-0.0058770547
35.26,154.97,-0.0058758788
35.27,154.97,-0.0058755093
35.27,154.97,-0.0058752160
35.27,154.97,-0.0058749042
35.27,154.97,-0.0058748121
35.27,154.97,-0.0058761783
35.28,154.97,-0.0058767400
35.28,154.97,-0.0058791790
35.28,154.97,-0.0058823881
35.28,154.97,-0.0058839951
35.28,154.97,-0.0058850040
35.28,154.97,-0.0058852086
35.29,154.97,-0.0058840008
35.29,154.97,-0.0058828297
35.29,154.97,-0.0058817487
35.29,154.97,-0.0058810272
35.29,154.97,-0.0058802924
35.29,154.97,-0.0058787222
35.29,154.97,-0.0058776679
35.3,154.97,-0.0058763204
35.3,154.97,-0.0058751831
35.3,154.97,-0.0058741236
35.3,154.97,-0.0058737931
35.3,154.97,-0.0058745723
35.31,154.97,-0.0058749762
35.31,154.97,-0.0058750510
35.31,154.97,-0.0058755608
35.31,154.97,-0.0058757000
35.31,154.97,-0.0058761945
35.31,154.97,-0.0058756189
35.31,154.97,-0.0058744478
35.32,154.97,-0.0058738441
35.32,154.97,-0.0058727951
35.32,154.97,-0.0058726211
35.32,154.97,-0.0058735528
35.32,154.97,-0.0058739681
35.33,154.97,-0.0058732848
35.33,154.97,-0.0058721385
35.33,154.97,-0.0058713479
35.33,154.97,-0.0058695250
35.33,154.97,-0.0058684287
35.33,154.97,-0.0058667521
35.34,154.97,-0.0058650837
35.34,154.97,-0.0058629026
35.34,154.97,-0.0058615503
35.34,154.97,-0.0058613210
35.34,154.97,-0.0058618331
35.34,154.97,-0.0058629789
35.34,154.97,-0.0058650103
35.35,154.97,-0.0058665366
35.35,154.97,-0.0058684301
35.35,154.97,-0.0058702831
35.35,154.97,-0.0058721156
35.35,154.97,-0.0058729315
35.36,154.97,-0.0058741598
35.36,154.97,-0.0058754315
35.36,154.97,-0.0058767667
35.36,154.97,-0.0058771987
35.36,154.97,-0.0058772378
35.36,154.97,-0.0058763695
35.36,154.97,-0.0058761482
35.37,154.97,-0.0058747730
35.37,154.97,-0.0058745084
35.37,154.97,-0.0058747368
35.37,154.97,-0.0058736744
35.37,154.97,-0.0058727188
35.38,154.97,-0.0058716869
35.38,154.97,-0.0058709030
35.38,154.97,-0.0058699265
35.38,154.97,-0.0058691859
35.38,154.97,-0.0058680034
35.38,154.97,-0.0058676548
35.39,154.97,-0.0058679109
35.39,154.97,-0.0058687778
35.39,154.97,-0.0058709931
35.39,154.97,-0.0058727250
35.39,154.97,-0.0058753257
35.39,154.97,-0.0058769813
35.39,154.97,-0.0058785348
35.4,154.97,-0.0058807211
35.4,154.97,-0.0058806014
35.4,154.97,-0.0058802195
35.4,154.97,-0.0058784785
35.4,154.97,-0.0058771558
35.41,154.97,-0.0058759375
35.41,154.97,-0.0058743081
35.41,154.97,-0.0058734021
35.41,154.97,-0.0058734827
35.41,154.97,-0.0058741207
35.41,154.97,-0.0058753157
35.41,154.97,-0.0058772163
35.42,154.97,-0.0058791113
35.42,154.97,-0.0058819494
35.42,154.97,-0.0058829489
35.42,154.97,-0.0058832197
35.42,154.97,-0.0058833151
35.43,154.97,-0.0058828478
35.43,154.97,-0.0058825207
35.43,154.97,-0.0058825393
35.43,154.97,-0.0058823228
35.43,154.97,-0.0058823433
35.43,154.97,-0.0058831615
35.44,154.97,-0.0058842373
35.44,154.97,-0.0058857384
35.44,154.97,-0.0058865619
35.44,154.97,-0.0058870149
35.44,154.97,-0.0058858457
35.44,154.97,-0.0058854656
35.44,154.97,-0.0058849459
35.45,154.97,-0.0058849144
35.45,154.97,-0.0058853827
35.45,154.97,-0.0058860269
35.45,154.97,-0.0058853836
35.45,154.97,-0.0058853335
35.46,154.97,-0.0058867493
35.46,154.97,-0.0058875852
35.46,154.97,-0.0058878441
35.46,154.97,-0.0058883443
35.46,154.97,-0.0058881989
35.46,154.97,-0.0058892040
35.46,154.97,-0.0058894291
35.47,154.97,-0.0058897052
35.47,154.97,-0.0058893628
35.47,154.97,-0.0058903031
35.47,154.97,-0.0058907495
35.47,154.97,-0.0058924456
35.48,154.97,-0.0058933573
35.48,154.97,-0.0058935905
35.48,154.97,-0.0058922610
35.48,154.97,-0.0058902102
35.48,154.97,-0.0058873248
35.48,154.97,-0.0058840432
35.49,154.97,-0.0058804164
35.49,154.97,-0.0058785791
35.49,154.97,-0.0058773165
35.49,154.97,-0.0058765659
35.49,154.97,-0.0058772912
35.49,154.97,-0.0058785233
35.49,154.97,-0.0058799458
35.5,154.97,-0.0058817420
35.5,154.97,-0.0058830357
35.5,154.97,-0.0058849311
35.5,154.97,-0.0058869586
35.5,154.97,-0.0058885489
35.51,154.97,-0.0058905501
35.51,154.97,-0.0058928380
35.51,154.97,-0.0058938618
35.51,154.97,-0.0058944793
35.51,154.97,-0.0058957353
35.51,154.97,-0.0058961124
35.51,154.97,-0.0058965364
35.52,154.97,-0.0058973575
35.52,154.97,-0.0058982615
35.52,154.97,-0.0058980880
35.52,154.97,-0.0058983173
35.52,154.97,-0.0058989515
35.53,154.97,-0.0059010391
35.53,154.97,-0.0059021745
35.53,154.97,-0.0059030094
35.53,154.97,-0.0059030280
35.53,154.97,-0.0059038701
35.53,154.97,-0.0059040923
35.54,154.97,-0.0059029617
35.54,154.97,-0.0059021659
35.54,154.97,-0.0059016876
35.54,154.97,-0.0059014277
35.54,154.97,-0.0059018240
35.54,154.97,-0.0059024143
35.54,154.97,-0.0059041724
35.55,154.97,-0.0059063611
35.55,154.97,-0.0059082284
35.55,154.97,-0.0059100280
35.55,154.97,-0.0059109430
35.55,154.97,-0.0059111214
35.56,154.97,-0.0059102778
35.56,154.97,-0.0059105940
35.56,154.97,-0.0059091706
35.56,154.97,-0.0059073601
35.56,154.97,-0.0059069824
35.56,154.97,-0.0059072800
35.56,154.97,-0.0059069500
35.57,154.97,-0.0059066548
35.57,154.97,-0.0059058461
35.57,154.97,-0.0059050651
35.57,154.97,-0.0059034729
35.57,154.97,-0.0059027252
35.58,154.97,-0.0059010782
35.58,154.97,-0.0058994350
35.58,154.97,-0.0058973594
35.58,154.97,-0.0058966832
35.58,154.97,-0.0058961916
35.58,154.97,-0.0058963218
35.59,154.97,-0.0058965425
35.59,154.97,-0.0058981328
35.59,154.97,-0.0058995638
35.59,154.97,-0.0059023862
35.59,154.97,-0.0059050593
35.59,154.97,-0.0059073539
35.59,154.97,-0.0059087172
35.6,154.97,-0.0059091554
35.6,154.97,-0.0059098554
35.6,154.97,-0.0059098248
35.6,154.97,-0.0059089050
35.6,154.97,-0.0059080143
35.61,154.97,-0.0059075322
35.61,154.97,-0.0059084735
35.61,154.97,-0.0059096837
35.61,154.97,-0.0059111605
35.61,154.97,-0.0059122205
35.61,154.97,-0.0059122810
35.61,154.97,-0.0059121728
35.62,154.97,-0.0059107013
35.62,154.97,-0.0059100456
35.62,154.97,-0.0059082298
35.62,154.97,-0.0059062662
35.62,154.97,-0.0059036584
35.63,154.97,-0.0059016733
35.63,154.97,-0.0059006515
35.63,154.97,-0.0059016471
35.63,154.97,-0.0059025726
35.63,154.97,-0.0059051127
35.63,154.97,-0.0059074073
35.64,154.97,-0.0059099555
35.64,154.97,-0.0059122286
35.64,154.97,-0.0059143763
35.64,154.97,-0.0059160752
35.64,154.97,-0.0059169378
35.64,154.97,-0.0059181089
35.64,154.97,-0.0059181089
35.65,154.97,-0.0059180107
35.65,154.97,-0.0059169402
35.65,154.97,-0.0059162059
35.65,154.97,-0.0059151673
35.65,154.97,-0.0059138584
35.66,154.97,-0.0059124284
35.66,154.97,-0.0059121008
35.66,154.97,-0.0059116039
35.66,154.97,-0.0059121213
35.66,154.97,-0.0059132905
35.66,154.97,-0.0059140263
35.66,154.97,-0.0059145956
35.67,154.97,-0.0059154725
35.67,154.97,-0.0059160662
35.67,154.97,-0.0059167800
35.67,154.97,-0.0059157414
35.67,154.97,-0.0059145775
35.68,154.97,-0.0059145870
35.68,154.97,-0.0059137807
35.68,154.97,-0.0059128637
35.68,154.97,-0.0059127522
35.68,154.97,-0.0059130731
35.68,154.97,-0.0059137926
35.69,154.97,-0.0059143662
35.69,154.97,-0.0059163408
35.69,154.97,-0.0059178534
35.69,154.97,-0.0059189692
35.69,154.97,-0.0059200845
35.69,154.97,-0.0059213195
35.69,154.97,-0.0059217591
35.7,154.97,-0.0059205275
35.7,154.97,-0.0059191427
35.7,154.97,-0.0059191222
35.7,154.97,-0.0059202952
35.7,154.97,-0.0059208627
35.71,154.97,-0.0059217358
35.71,154.97,-0.0059224234
35.71,154.97,-0.0059230900
35.71,154.97,-0.0059239616
35.71,154.97,-0.0059248209
35.71,154.97,-0.0059253159
35.71,154.97,-0.0059255323
35.72,154.97,-0.0059250445
35.72,154.97,-0.0059251008
35.72,154.97,-0.0059233260
35.72,154.97,-0.0059220529
35.72,154.97,-0.0059212728
35.73,154.97,-0.0059210339
35.73,154.97,-0.0059217143
35.73,154.97,-0.0059226403
35.73,154.97,-0.0059227209
35.73,154.97,-0.0059238491
35.73,154.97,-0.0059246178
35.74,154.97,-0.0059264026
35.74,154.97,-0.0059271231
35.74,154.97,-0.0059266706
35.74,154.97,-0.0059259291
35.74,154.97,-0.0059256744
35.74,154.97,-0.0059255986
35.74,154.97,-0.0059255919
35.75,154.97,-0.0059245834
35.75,154.97,-0.0059238000
35.75,154.97,-0.0059232359
35.75,154.97,-0.0059232569
35.75,154.97,-0.0059234896
35.76,154.97,-0.0059237804
35.76,154.97,-0.0059239311
35.76,154.97,-0.0059236875
35.76,154.97,-0.0059242578
35.76,154.97,-0.0059250197
35.76,154.97,-0.0059262486
35.76,154.97,-0.0059269128
35.77,154.97,-0.0059278760
35.77,154.97,-0.0059290204
35.77,154.97,-0.0059308653
35.77,154.97,-0.0059325643
35.77,154.97,-0.0059336915
35.78,154.97,-0.0059345059
35.78,154.97,-0.0059343948
35.78,154.97,-0.0059346380
35.78,154.97,-0.0059343257
35.78,154.97,-0.0059329586
35.78,154.97,-0.0059337783
35.79,154.97,-0.0059340105
35.79,154.97,-0.0059351940
35.79,154.97,-0.0059358568
35.79,154.97,-0.0059361076
35.79,154.97,-0.0059364796
35.79,154.97,-0.0059373455
35.79,154.97,-0.0059363537
35.8,154.97,-0.0059357224
35.8,154.97,-0.0059356880
35.8,154.97,-0.0059353781
35.8,154.97,-0.0059358311
35.8,154.97,-0.0059357829
35.81,154.97,-0.0059360137
35.81,154.97,-0.0059349742
35.81,154.97,-0.0059328527
35.81,154.97,-0.0059303203
35.81,154.97,-0.0059266095
35.81,154.97,-0.0059237294
35.81,154.97,-0.0059218869
35.82,154.97,-0.0059199815
35.82,154.97,-0.0059199572
35.82,154.97,-0.0059205670
35.82,154.97,-0.0059213729
35.82,154.97,-0.0059229002
35.83,154.97,-0.0059237456
35.83,154.97,-0.0059236169
35.83,154.97,-0.0059232230
35.83,154.97,-0.0059230590
35.83,154.97,-0.0059222169
35.83,154.97,-0.0059226508
35.84,154.97,-0.0059231372
35.84,154.97,-0.0059232078
35.84,154.97,-0.0059237528
35.84,154.97,-0.0059234986
35.84,154.97,-0.0059229956
35.84,154.97,-0.0059226489
35.84,154.97,-0.0059218926
35.85,154.97,-0.0059205770
35.85,154.97,-0.0059200568
35.85,154.97,-0.0059190354
35.85,154.97,-0.0059189310
35.85,154.97,-0.0059193563
35.86,154.97,-0.0059199138
35.86,154.97,-0.0059195251
35.86,154.97,-0.0059187903
35.86,154.97,-0.0059174271
35.86,154.97,-0.0059166479
35.86,154.97,-0.0059165053
35.86,154.97,-0.0059170518
35.87,154.97,-0.0059183321
35.87,154.97,-0.0059204621
35.87,154.97,-0.0059231410
35.87,154.97,-0.0059259195
35.87,154.97,-0.0059286494
35.88,154.97,-0.0059304748
35.88,154.97,-0.0059320407
35.88,154.97,-0.0059327774
35.88,154.97,-0.0059304118
35.88,154.97,-0.0059287486
35.88,154.97,-0.0059264364
35.89,154.97,-0.0059239001
35.89,154.97,-0.0059212303
35.89,154.97,-0.0059184122
35.89,154.97,-0.0059159656
35.89,154.97,-0.0059144101
35.89,154.97,-0.0059141455
35.89,154.97,-0.0059142809
35.9,154.97,-0.0059148049
35.9,154.97,-0.0059153838
35.9,154.97,-0.0059158907
35.9,154.97,-0.0059171596
35.9,154.97,-0.0059174891
35.91,154.97,-0.0059181676
35.91,154.97,-0.0059180698
35.91,154.97,-0.0059176621
35.91,154.97,-0.0059194646
35.91,154.97,-0.0059201493
35.91,154.97,-0.0059214578
35.91,154.97,-0.0059230332
35.92,154.97,-0.0059246798
35.92,154.97,-0.0059253898
35.92,154.97,-0.0059252348
35.92,154.97,-0.0059246082
35.92,154.97,-0.0059232731
35.93,154.97,-0.0059222403
35.93,154.97,-0.0059219890
35.93,154.97,-0.0059230819
35.93,154.97,-0.0059232254
35.93,154.97,-0.0059222445
35.93,154.97,-0.0059214411
35.94,154.97,-0.0059216757
35.94,154.97,-0.0059215465
35.94,154.97,-0.0059213614
35.94,154.97,-0.0059204588
35.94,154.97,-0.0059189458
35.94,154.97,-0.0059177241
35.94,154.97,-0.0059172144
35.95,154.97,-0.0059175000
35.95,154.97,-0.0059173627
35.95,154.97,-0.0059185629
35.95,154.97,-0.0059189229
35.95,154.97,-0.0059186225
35.96,154.97,-0.0059183311
35.96,154.97,-0.0059169784
35.96,154.97,-0.0059158449
35.96,154.97,-0.0059151568
35.96,154.97,-0.0059131889
35.96,154.97,-0.0059119473
35.96,154.97,-0.0059105706
35.97,154.97,-0.0059093914
35.97,154.97,-0.0059098148
35.97,154.97,-0.0059111686
35.97,154.97,-0.0059110923
35.97,154.97,-0.0059121027
35.98,154.97,-0.0059126964
35.98,154.97,-0.0059136505
35.98,154.97,-0.0059147873
35.98,154.97,-0.0059162321
35.98,154.97,-0.0059175348
35.98,154.97,-0.0059194303
35.99,154.97,-0.0059216676
35.99,154.97,-0.0059231873
35.99,154.97,-0.0059247570
35.99,154.97,-0.0059255157
35.99,154.97,-0.0059254622
35.99,154.97,-0.0059249730
35.99,154.97,-0.0059252257
36,154.97,-0.0059248366
36,154.97,-0.0059241877
36,154.97,-0.0059241962
36,154.97,-0.0059248123
36,154.97,-0.0059248471
36.01,154.97,-0.0059242153
36.01,154.97,-0.0059238086
36.01,154.97,-0.0059231339
36.01,154.97,-0.0059218264
36.01,154.97,-0.0059205832
36.01,154.97,-0.0059203377
36.01,154.97,-0.0059190011
36.02,154.97,-0.0059182096
36.02,154.97,-0.0059163208
36.02,154.97,-0.0059153595
36.02,154.97,-0.0059155903
36.02,154.97,-0.0059151249
36.03,154.97,-0.0059146409
36.03,154.97,-0.0059148231
36.03,154.97,-0.0059159889
36.03,154.97,-0.0059169688
36.03,154.97,-0.0059183717
36.03,154.97,-0.0059194746
36.04,154.97,-0.0059206710
36.04,154.97,-0.0059213028
36.04,154.97,-0.0059226012
36.04,154.97,-0.0059234471
36.04,154.97,-0.0059232116
36.04,154.97,-0.0059234991
36.04,154.97,-0.0059228411
36.05,154.97,-0.0059220061
36.05,154.97,-0.0059213686
36.05,154.97,-0.0059213877
36.05,154.97,-0.0059217262
36.05,154.97,-0.0059210796
36.06,154.97,-0.0059191566
36.06,154.97,-0.0059187121
36.06,154.97,-0.0059181743
36.06,154.97,-0.0059176569
36.06,154.97,-0.0059176083
36.06,154.97,-0.0059176288
36.06,154.97,-0.0059176035
36.07,154.97,-0.0059185419
36.07,154.97,-0.0059193254
36.07,154.97,-0.0059202051
36.07,154.97,-0.0059202628
36.07,154.97,-0.0059198933
36.08,154.97,-0.0059204669
36.08,154.97,-0.0059217830
36.08,154.97,-0.0059223752
36.08,154.97,-0.0059223380
36.08,154.97,-0.0059225783
