Temperaturee (°C),Heat flow (W/g)
73.4552,-0.0679859
73.4711,-0.0681631
73.4871,-0.068253
73.5041,-0.0683522
73.52,-0.0684892
73.5365,-0.0685987
73.5533,-0.068728
73.569,-0.0689484
73.5862,-0.0691284
73.602,-0.0693559
73.6183,-0.0696797
73.6355,-0.0699688
73.6529,-0.0702911
73.6686,-0.070535
73.6857,-0.0707429
73.7021,-0.0708541
73.7182,-0.0709157
73.7347,-0.0709809
73.7515,-0.071127
73.7676,-0.0712097
73.7835,-0.0713279
73.8012,-0.0714919
73.8175,-0.0717006
73.8335,-0.071944
73.8496,-0.0721595
73.8673,-0.0723875
73.8833,-0.0725477
73.8997,-0.072701
73.9161,-0.0728539
73.9329,-0.0729924
73.9491,-0.0731171
73.9662,-0.0732384
73.9826,-0.0733711
73.9999,-0.0734937
74.0161,-0.073696
74.0328,-0.0738702
74.0495,-0.0739978
74.0657,-0.0740984
74.0822,-0.0742266
74.0986,-0.0743868
74.1152,-0.074489
74.132,-0.0745595
74.1481,-0.0746023
74.1653,-0.0746544
74.1819,-0.0747201
74.1971,-0.0748023
74.2134,-0.0748911
74.2303,-0.0749898
74.2461,-0.0750992
74.2638,-0.0752341
74.2796,-0.0753425
74.2973,-0.0754383
74.3133,-0.075535
74.3299,-0.0756263
74.3464,-0.0756999
74.3629,-0.0758301
74.3802,-0.0759584
74.3966,-0.0760893
74.4131,-0.0762147
74.4296,-0.0763182
74.4462,-0.0764287
74.4626,-0.076504
74.4791,-0.0765537
74.4955,-0.0766041
74.5121,-0.076642
74.5293,-0.076681
74.5459,-0.0767461
74.5622,-0.0768074
74.5791,-0.0768603
74.5954,-0.0769121
74.6117,-0.0769418
74.6285,-0.0769729
74.6455,-0.077012
74.6608,-0.0770577
74.6776,-0.0771256
74.6941,-0.0771877
74.7108,-0.0772245
74.7276,-0.077269
74.7437,-0.0773352
74.7608,-0.0773683
74.7774,-0.0774108
74.7936,-0.0774434
74.811,-0.0774605
74.827,-0.0774779
74.8435,-0.0775164
74.86,-0.0775657
74.8764,-0.0776354
74.8929,-0.0777038
74.9096,-0.0778025
74.9271,-0.0778698
74.9431,-0.0779243
74.9597,-0.0780188
74.9771,-0.0780712
74.993,-0.0781032
75.01,-0.0781177
75.0264,-0.0782086
75.0432,-0.0782218
75.059,-0.0782355
75.0758,-0.0782581
75.0918,-0.0782733
75.1089,-0.0782929
75.1257,-0.0783183
75.1423,-0.0783407
75.159,-0.0783712
75.1753,-0.0783879
75.192,-0.0784045
75.2091,-0.0784234
75.2262,-0.0784402
75.2417,-0.0784558
75.2589,-0.0784731
75.2754,-0.0784977
75.2923,-0.0785272
75.3086,-0.0785551
75.3256,-0.0785769
75.3417,-0.0785949
75.3579,-0.078614
75.3748,-0.0786333
75.3917,-0.0786596
75.4085,-0.0786796
75.4243,-0.0786993
75.4418,-0.0787181
75.4579,-0.0787378
75.475,-0.0787567
75.4907,-0.0787767
75.507,-0.078796
75.5236,-0.0788196
75.5409,-0.078847
75.5575,-0.0788909
75.5742,-0.0789437
75.591,-0.0790063
75.6079,-0.0790546
75.624,-0.0790995
75.6407,-0.0791232
75.6576,-0.0791794
75.6751,-0.0792226
75.6903,-0.0792607
75.7076,-0.0792997
75.7239,-0.0793182
75.7396,-0.0793356
75.7579,-0.0793633
75.7741,-0.079386
75.7899,-0.0794035
75.8063,-0.0794254
75.8232,-0.0794473
75.8404,-0.0794709
75.8565,-0.0795068
75.8732,-0.0795316
75.8902,-0.079555
75.9072,-0.0795762
75.9244,-0.0795971
75.9395,-0.0796167
75.9568,-0.0796341
75.9733,-0.0796515
75.9903,-0.0796715
76.0067,-0.0796902
76.0238,-0.0797097
76.0397,-0.0797292
76.0558,-0.0797498
76.0732,-0.079769
76.0901,-0.0797885
76.106,-0.0798063
76.122,-0.0798252
76.139,-0.0798446
76.156,-0.0798633
76.1722,-0.0798857
76.1896,-0.079909
76.2062,-0.0799285
76.2223,-0.0799483
76.2383,-0.0799671
76.2558,-0.0799857
76.2719,-0.0800042
76.2888,-0.0800227
76.3056,-0.0800408
76.3219,-0.0800574
76.3385,-0.0800739
76.3548,-0.0800906
76.3723,-0.0801076
76.3886,-0.0801256
76.4046,-0.0801425
76.4219,-0.0801606
76.4388,-0.080178
76.4551,-0.080195
76.4718,-0.0802126
76.4882,-0.0802325
76.5052,-0.0802518
76.5213,-0.0802694
76.538,-0.0802873
76.5545,-0.0803066
76.571,-0.0803267
76.5881,-0.0803462
76.6042,-0.0803676
76.6209,-0.0803886
76.6387,-0.0804093
76.6551,-0.0804294
76.6711,-0.0804512
76.689,-0.0804707
76.704,-0.0804895
76.7215,-0.0805072
76.7389,-0.0805239
76.7552,-0.080541
76.7708,-0.0805561
76.7884,-0.0805729
76.8042,-0.080589
76.8215,-0.0806045
76.8385,-0.0806217
76.8539,-0.0806375
76.8709,-0.0806514
76.8876,-0.0806664
76.9043,-0.0806809
76.9206,-0.0806951
76.9371,-0.0807097
76.9539,-0.0807219
76.9705,-0.080736
76.9871,-0.0807513
77.0034,-0.0807678
77.0201,-0.0807832
77.037,-0.0807979
77.0539,-0.0808121
77.0702,-0.0808275
77.0866,-0.0808438
77.1033,-0.0808601
77.1204,-0.0808763
77.1356,-0.0808919
77.1535,-0.0809062
77.17,-0.0809207
77.1871,-0.0809353
77.2035,-0.0809496
77.22,-0.0809658
77.2364,-0.0809799
77.2529,-0.0809952
77.2701,-0.081008
77.2861,-0.0810206
77.303,-0.081034
77.3196,-0.0810493
77.3366,-0.0810647
77.3522,-0.0810798
77.369,-0.0810948
77.3862,-0.0811083
77.4025,-0.0811225
77.419,-0.0811351
77.4362,-0.0811481
77.4519,-0.0811598
77.4688,-0.0811703
77.4859,-0.081183
77.5023,-0.0811944
77.5194,-0.0812058
77.5353,-0.0812183
77.5529,-0.0812288
77.5687,-0.0812393
77.585,-0.0812492
77.6021,-0.0812591
77.619,-0.0812693
77.6354,-0.0812775
77.6517,-0.081288
77.6688,-0.081297
77.6853,-0.0813065
77.7022,-0.0813163
77.7188,-0.0813281
77.7363,-0.0813402
77.7517,-0.0813527
77.7685,-0.0813664
77.7858,-0.0813801
77.8017,-0.0813926
77.8184,-0.0814048
77.8358,-0.0814182
77.8528,-0.0814288
77.8688,-0.0814403
77.8852,-0.0814511
77.9028,-0.0814612
77.9182,-0.0814706
77.9348,-0.0814809
77.9517,-0.0814937
77.9687,-0.0815061
77.9848,-0.0815162
78.0018,-0.0815282
78.0179,-0.0815403
78.0347,-0.0815503
78.0517,-0.081558
78.0673,-0.081566
78.0848,-0.0815723
78.1004,-0.0815789
78.1171,-0.0815861
78.1338,-0.081593
78.1504,-0.0816003
78.1685,-0.0816091
78.1835,-0.0816195
78.2001,-0.0816313
78.2172,-0.0816423
78.2336,-0.0816529
78.2507,-0.0816632
78.2677,-0.0816734
78.2848,-0.081684
78.3008,-0.0816933
78.3182,-0.081702
78.3344,-0.0817102
78.351,-0.0817178
78.3676,-0.0817229
78.3841,-0.0817306
78.4008,-0.0817369
78.4178,-0.081744
78.4334,-0.0817486
78.4504,-0.0817544
