Temperaturee (°C),Heat flow (W/g)
73.6551,-0.220791
73.6707,-0.221093
73.6881,-0.22143
73.7049,-0.221807
73.7221,-0.222299
73.7384,-0.222768
73.7541,-0.223229
73.7711,-0.223586
73.7869,-0.224057
73.8032,-0.224576
73.8202,-0.225026
73.8362,-0.225484
73.8537,-0.225926
73.8697,-0.226243
73.8867,-0.226457
73.9032,-0.226697
73.9192,-0.226984
73.936,-0.227225
73.9526,-0.227437
73.9692,-0.22764
73.9861,-0.227936
74.0025,-0.22831
74.019,-0.22862
74.035,-0.229006
74.0519,-0.229293
74.0684,-0.229494
74.0854,-0.229717
74.1019,-0.229937
74.1182,-0.230178
74.1343,-0.230397
74.1511,-0.230534
74.1679,-0.23073
74.1834,-0.231034
74.2007,-0.231374
74.2176,-0.231711
74.2331,-0.231946
74.251,-0.23211
74.2673,-0.232319
74.2842,-0.232544
74.3004,-0.2327
74.3171,-0.232894
74.3333,-0.233033
74.3506,-0.233277
74.3661,-0.233549
74.3828,-0.23382
74.3998,-0.234041
74.4169,-0.234173
74.4341,-0.234286
74.4498,-0.234492
74.4665,-0.234615
74.4824,-0.23468
74.4987,-0.23475
74.516,-0.23485
74.5325,-0.234965
74.5481,-0.235094
74.566,-0.235252
74.5823,-0.235382
74.599,-0.23548
74.6154,-0.235557
74.6309,-0.235665
74.6491,-0.235758
74.6653,-0.235875
74.6822,-0.235974
74.698,-0.236101
74.7153,-0.236223
74.7303,-0.236362
74.7474,-0.236476
74.7657,-0.236569
74.7804,-0.23665
74.7977,-0.236736
74.8145,-0.236849
74.8312,-0.236932
74.8475,-0.237055
74.864,-0.237223
74.8812,-0.237327
74.8966,-0.237457
74.9148,-0.237619
74.931,-0.237722
74.9476,-0.237803
74.9632,-0.237869
74.9812,-0.237934
74.9978,-0.237998
75.0135,-0.238058
75.0304,-0.238121
75.0473,-0.238188
75.0637,-0.238262
75.0809,-0.238332
75.0978,-0.238397
75.1134,-0.238465
75.1304,-0.238533
75.1468,-0.23869
75.1628,-0.238751
75.1793,-0.238874
75.1967,-0.238943
75.2134,-0.239017
75.2293,-0.239092
75.2457,-0.239189
75.2629,-0.239326
75.2804,-0.239399
75.2954,-0.239474
75.312,-0.239571
75.3295,-0.239643
75.3469,-0.239712
75.3627,-0.239852
75.3794,-0.23992
75.396,-0.240026
75.4122,-0.24009
75.4292,-0.240187
75.4455,-0.240253
75.4625,-0.240323
75.4786,-0.240396
75.4956,-0.24047
75.5117,-0.240542
75.5285,-0.240615
75.5446,-0.240682
75.5615,-0.240749
75.5786,-0.24083
75.5952,-0.240896
75.6118,-0.240961
75.6278,-0.241028
75.6444,-0.241096
75.6611,-0.241174
75.6779,-0.241248
75.6943,-0.241327
75.7118,-0.241404
75.7276,-0.241474
75.7446,-0.241538
75.7613,-0.241598
75.7783,-0.241658
75.7949,-0.241717
75.81,-0.241783
75.8278,-0.241855
75.8439,-0.241931
75.8603,-0.242003
75.8778,-0.242078
75.8933,-0.242154
75.9111,-0.24223
75.9281,-0.242303
75.9441,-0.24237
75.9602,-0.242441
75.9767,-0.242508
75.993,-0.24257
76.0104,-0.242631
76.027,-0.242695
76.043,-0.242757
76.0602,-0.242813
76.0768,-0.242866
76.0931,-0.24292
76.11,-0.242976
76.126,-0.243042
76.1417,-0.24311
76.1593,-0.243184
76.176,-0.243257
76.1927,-0.243332
76.209,-0.243404
76.2265,-0.243469
76.2428,-0.243538
76.2594,-0.243606
76.2759,-0.243666
76.2921,-0.243726
76.3091,-0.243778
76.3259,-0.243831
76.342,-0.243886
76.3585,-0.243949
76.3755,-0.244009
76.3914,-0.244061
76.4096,-0.244109
76.4263,-0.244168
76.4424,-0.24422
76.4587,-0.244275
76.4754,-0.244333
76.4916,-0.244393
76.5093,-0.244456
76.5253,-0.244526
76.542,-0.244596
76.559,-0.244656
76.5754,-0.24471
76.5919,-0.24477
76.6094,-0.244825
76.6255,-0.244875
76.6426,-0.24492
76.6585,-0.244962
76.6756,-0.245008
76.6918,-0.24506
76.7083,-0.245112
76.725,-0.245162
76.7414,-0.245213
76.7581,-0.245257
76.7754,-0.2453
76.7914,-0.245351
76.8078,-0.245403
76.8247,-0.245454
76.8407,-0.245505
76.8579,-0.245562
76.8745,-0.245617
76.8913,-0.245675
76.9076,-0.245733
76.9248,-0.245793
76.9416,-0.245848
76.9578,-0.245894
76.9745,-0.245943
76.9917,-0.245994
77.0071,-0.246044
77.0245,-0.246087
77.0399,-0.246132
77.0579,-0.246177
77.0743,-0.246216
77.0913,-0.246256
77.1077,-0.246303
77.1242,-0.246346
77.1408,-0.246383
77.157,-0.24642
77.1738,-0.24646
77.1917,-0.246496
77.2068,-0.246538
77.2239,-0.246586
77.2411,-0.246637
77.2574,-0.246689
77.2733,-0.246734
77.29,-0.246776
77.3077,-0.246819
77.3237,-0.246852
77.3405,-0.246884
77.3569,-0.246915
77.3734,-0.246954
77.3903,-0.246989
77.4072,-0.247028
77.4239,-0.247069
77.4401,-0.24712
77.4572,-0.247164
77.4741,-0.247208
77.4897,-0.247254
77.5067,-0.247301
77.5232,-0.247348
77.5398,-0.247387
77.557,-0.247428
77.5744,-0.247462
77.5905,-0.247494
77.6065,-0.247525
77.6229,-0.247554
77.6399,-0.247583
77.6561,-0.247612
77.6736,-0.247651
77.6903,-0.247695
77.7062,-0.247731
