Temperaturee (°C),Heat flow (W/g)
70.0113,0.0159951
70.0116,0.015996
70.0118,0.015996
70.0125,0.015997
70.0118,0.015999
70.0118,0.0160032
70.0116,0.0160096
70.0115,0.0160161
70.0115,0.0160214
70.011,0.0160266
70.011,0.0160294
70.0108,0.0160295
70.0122,0.0160261
70.012,0.0160232
70.0126,0.0160195
70.0125,0.0160156
70.0137,0.0160131
70.014,0.0160115
70.0143,0.01601
70.0143,0.0160111
70.0156,0.0160146
70.0157,0.0160203
70.0175,0.0160287
70.0184,0.0160479
70.0193,0.0160822
70.0218,0.016155
70.0224,0.0162701
70.0241,0.0164908
70.025,0.0168476
70.0276,0.0174134
70.0288,0.0183463
70.032,0.0194164
70.035,0.0208092
70.0379,0.0226533
70.0407,0.0246298
70.0428,0.0268184
70.0469,0.0290247
70.05,0.0312268
70.0537,0.0326468
70.0578,0.0344991
70.0628,0.036283
70.0666,0.0382033
70.0712,0.039847
70.0765,0.0420402
70.0812,0.0437548
70.0868,0.0455146
70.0927,0.0467952
70.0979,0.0483362
70.1034,0.0499843
70.1098,0.0510016
70.1166,0.0527981
70.1234,0.0542873
70.1299,0.0556738
70.1374,0.0571724
70.145,0.0587566
70.1525,0.0601856
70.1599,0.0615599
70.1677,0.0627535
70.1765,0.0641825
70.1848,0.0652135
70.1927,0.0661438
70.2016,0.0673663
70.211,0.0680442
70.2192,0.0691416
70.2298,0.069616
70.2383,0.0698548
70.2474,0.0702962
70.2574,0.0707463
70.2678,0.0709656
70.2774,0.0716408
70.2876,0.0720768
70.2984,0.0723227
70.309,0.0725129
70.3191,0.0726584
70.3297,0.0726244
70.3408,0.0725336
70.3522,0.071999
70.3627,0.071735
70.3756,0.0714411
70.3855,0.0710038
70.3968,0.0706662
70.4082,0.0705661
70.4191,0.0703985
70.4312,0.0702167
70.4422,0.0689058
70.4551,0.0680394
70.4673,0.0675109
70.4786,0.0667971
70.491,0.0662164
70.503,0.0657466
70.5149,0.0653086
70.5276,0.0646644
70.5403,0.0638398
70.5527,0.0630218
70.5647,0.0621952
70.5782,0.0613614
70.59,0.060349
70.6028,0.0592273
70.6151,0.0579284
70.6286,0.0566183
70.6416,0.0551435
70.6538,0.0537403
70.6671,0.0520065
70.6805,0.0500599
70.6936,0.0484417
70.7067,0.0467074
70.7197,0.0453351
70.733,0.0444034
70.7458,0.0427999
70.7594,0.0412526
70.7738,0.0400934
70.7861,0.0391214
70.7998,0.0380092
70.8137,0.0368515
70.8267,0.0357935
70.8414,0.0344922
70.8548,0.0331918
70.8675,0.0318361
70.882,0.0306856
70.8947,0.0290018
70.9094,0.0279064
70.9239,0.0265406
70.9373,0.0257756
70.9508,0.0244887
70.9659,0.0230394
70.9791,0.0221124
70.9934,0.0209322
71.007,0.0196607
71.0221,0.0184449
71.0355,0.0175364
71.0504,0.0161693
71.0652,0.0152644
71.0796,0.0142808
71.0934,0.0132369
71.1079,0.0123025
71.1223,0.0112455
71.137,0.00991925
71.1519,0.00872388
71.1666,0.00749923
71.181,0.00637741
71.1957,0.00549867
71.2102,0.00445296
71.2246,0.0035826
71.24,0.00256421
71.2546,0.00169199
71.2692,0.000518473
71.2833,-0.000703789
71.2983,-0.00178283
71.3139,-0.00238002
71.328,-0.00340743
71.3433,-0.00432821
71.3587,-0.00507622
71.3739,-0.00600376
71.3886,-0.00663257
71.4038,-0.00793356
71.4196,-0.00894477
71.4337,-0.010167
71.4496,-0.0114612
71.4636,-0.0123587
71.4792,-0.013171
71.4947,-0.0139436
71.5099,-0.0146937
71.5255,-0.0153939
71.5408,-0.0164072
71.556,-0.0171535
71.5707,-0.017773
71.586,-0.0188782
71.6017,-0.0197072
71.6173,-0.0208318
71.6324,-0.0214511
71.648,-0.0222905
71.6637,-0.0228576
71.6783,-0.0236184
71.6947,-0.0242106
71.7103,-0.0252004
71.7259,-0.0260913
71.7408,-0.0271215
71.7563,-0.0280752
71.7719,-0.0289868
71.788,-0.0298288
71.8033,-0.0306532
71.8198,-0.0315091
71.8352,-0.0321776
71.8506,-0.0330434
71.8668,-0.0334881
71.8826,-0.0339738
71.8984,-0.0345993
71.9132,-0.0351964
71.93,-0.0359057
71.9449,-0.0365711
71.9607,-0.0372931
71.9769,-0.0380642
71.993,-0.0386558
72.0094,-0.039571
72.0247,-0.0401894
72.041,-0.0407174
72.0563,-0.0411242
72.0722,-0.041798
72.0884,-0.0423778
72.1037,-0.0431853
72.1197,-0.0439186
72.1359,-0.0445196
72.1527,-0.0452733
72.1681,-0.0458171
72.184,-0.0467187
72.2005,-0.0473429
72.2158,-0.0477503
72.232,-0.0484345
72.2481,-0.0490872
72.264,-0.0496062
72.28,-0.049711
72.296,-0.0504411
72.3117,-0.0509909
72.3283,-0.0513727
72.3444,-0.0517817
72.3602,-0.0524437
72.3762,-0.0528478
72.392,-0.0534548
72.4082,-0.0541018
72.4247,-0.054647
72.4404,-0.0551786
72.4573,-0.0554275
72.4726,-0.0555687
72.4895,-0.0558876
72.5048,-0.0565798
72.5215,-0.0571005
72.5375,-0.0575222
72.5531,-0.0582532
72.5698,-0.058918
72.5858,-0.0594504
72.602,-0.0599525
72.6181,-0.0605622
72.6345,-0.0607799
72.6509,-0.0607997
72.6674,-0.0612347
72.6832,-0.061353
72.6995,-0.0618043
72.7156,-0.0620756
72.7323,-0.0625081
72.7485,-0.0629788
72.7645,-0.0635375
72.7812,-0.0640125
72.7971,-0.0645474
72.813,-0.0649385
72.8291,-0.0652182
72.8468,-0.06554
72.8623,-0.0658022
72.879,-0.0660549
72.8949,-0.0661592
72.9111,-0.0664387
72.9278,-0.0667192
72.9448,-0.0671642
72.9608,-0.0673927
72.9762,-0.0675602
72.9932,-0.0678721
73.0099,-0.0681409
73.0263,-0.0684075
73.0422,-0.0685892
73.0588,-0.0689134
73.0754,-0.0691868
73.0914,-0.0695709
73.108,-0.0700049
73.1241,-0.0704132
73.1393,-0.0707562
73.157,-0.0709013
73.174,-0.0710629
73.1905,-0.0712474
73.2061,-0.0715256
73.223,-0.0716726
73.2391,-0.0718367
73.2546,-0.0721376
73.272,-0.0724162
73.2883,-0.0726913
73.3041,-0.073055
73.3212,-0.0733605
73.3381,-0.0736052
73.3543,-0.0738187
73.3703,-0.0740225
73.3867,-0.0742094
73.4031,-0.0744026
73.4201,-0.0746083
73.4362,-0.0749201
73.4526,-0.075109
73.4692,-0.0752588
73.4864,-0.0753627
73.5026,-0.0755542
73.5187,-0.0757895
73.5356,-0.075943
73.5516,-0.0761037
73.5676,-0.0762797
73.5846,-0.0765125
73.6004,-0.0767522
73.6174,-0.0769779
73.6335,-0.0771867
73.651,-0.0774164
73.6671,-0.0775529
73.6839,-0.0776984
73.7001,-0.0778473
73.7171,-0.0779681
73.7333,-0.0780755
73.7498,-0.0781799
73.7661,-0.0782983
73.7828,-0.0784025
73.7993,-0.0785011
73.8155,-0.0786324
73.833,-0.0787758
73.8486,-0.0788951
73.8661,-0.0789669
73.8824,-0.0790795
73.8984,-0.0792121
73.9152,-0.0793527
73.931,-0.0795138
73.9474,-0.079637
73.9644,-0.0797593
73.981,-0.0798686
73.9984,-0.0799876
74.0148,-0.080082
74.0311,-0.0801961
74.0474,-0.0802765
74.0641,-0.0803398
74.08,-0.0804249
74.0965,-0.0805336
74.1135,-0.0806282
74.1291,-0.0807432
74.1463,-0.0808261
74.1637,-0.0808963
74.1794,-0.0809703
74.1961,-0.0810462
74.2117,-0.0811586
74.2287,-0.0812473
74.2444,-0.0813408
74.2623,-0.0814269
74.2789,-0.0815461
74.2954,-0.0816798
74.3116,-0.0817875
74.3273,-0.081861
74.3444,-0.0819093
74.3608,-0.081966
74.3777,-0.0820155
74.3945,-0.0820728
74.411,-0.0821525
74.4271,-0.0822233
74.4442,-0.0823086
74.4609,-0.0823995
74.4772,-0.0825172
74.495,-0.0826196
74.5106,-0.0827471
74.5272,-0.0828206
74.5441,-0.0829081
74.5595,-0.0829692
74.5765,-0.0830336
74.5937,-0.083084
74.6094,-0.0831274
74.6266,-0.0831757
74.6427,-0.0832365
74.6599,-0.0832737
74.6759,-0.0833094
74.6928,-0.0833468
74.7092,-0.0833778
74.7262,-0.0834119
74.7422,-0.0834412
74.7591,-0.0834868
74.7762,-0.0835484
74.7917,-0.0836018
74.8089,-0.0836575
74.8256,-0.0837179
74.8427,-0.0837707
74.8593,-0.0838339
74.8755,-0.0838945
74.8922,-0.0839314
74.9089,-0.0839621
74.9253,-0.0839909
74.9424,-0.0840197
74.959,-0.0840418
74.9749,-0.0840604
74.993,-0.0840761
75.0089,-0.0840927
75.0248,-0.0841091
75.0425,-0.0841263
75.0576,-0.0841453
75.0748,-0.0841634
75.0915,-0.0841891
75.1074,-0.0842128
75.1235,-0.0842359
75.1404,-0.0842635
75.1576,-0.0842825
75.1744,-0.0843013
75.1915,-0.0843214
75.2073,-0.0843423
75.2246,-0.0843623
75.2406,-0.0843821
75.2575,-0.0844022
75.2731,-0.0844222
75.2901,-0.0844421
75.3065,-0.0844635
75.3237,-0.0844902
75.3402,-0.0845237
75.3568,-0.0845988
75.3728,-0.0846813
75.3892,-0.0847633
75.4064,-0.0848461
75.424,-0.084899
75.4394,-0.0849257
75.4558,-0.0849483
75.4732,-0.0850157
75.4899,-0.0850668
75.5057,-0.0851221
75.5221,-0.085164
75.5392,-0.0851836
75.5559,-0.0852066
75.5726,-0.0852307
75.589,-0.0852593
75.6058,-0.0852833
75.6224,-0.085305
75.6396,-0.0853268
75.6558,-0.0853495
75.6726,-0.0853715
75.6896,-0.0853929
75.7058,-0.0854141
75.7225,-0.0854342
75.7389,-0.0854586
75.7543,-0.0854826
75.7718,-0.0855034
75.7889,-0.0855216
75.8053,-0.0855422
75.8211,-0.0855629
75.8382,-0.0855838
75.8558,-0.0856043
75.8708,-0.0856239
75.8877,-0.0856435
75.9048,-0.0856659
75.921,-0.0856863
75.9378,-0.0857058
75.9544,-0.085728
75.9706,-0.0857503
75.9875,-0.0857725
76.004,-0.0857948
76.0208,-0.0858184
76.037,-0.0858421
76.0537,-0.0858632
76.0702,-0.0858836
76.0873,-0.085905
76.1045,-0.0859263
76.1204,-0.0859502
76.1367,-0.0859735
76.1544,-0.0859961
76.1694,-0.0860166
76.1868,-0.0860391
76.2033,-0.0860603
76.2197,-0.0860839
76.2361,-0.0861059
76.254,-0.0861255
76.27,-0.0861462
76.2869,-0.086165
76.3034,-0.0861835
76.3201,-0.0862022
76.3359,-0.0862193
76.353,-0.0862369
76.3688,-0.0862559
76.3861,-0.086275
76.4026,-0.0862931
76.4191,-0.086312
76.4361,-0.0863303
76.4523,-0.0863504
76.4696,-0.0863701
76.4858,-0.08639
76.5033,-0.0864113
76.5199,-0.0864336
76.5361,-0.0864579
76.5521,-0.0864811
76.569,-0.0865049
76.5857,-0.086529
76.6029,-0.0865545
76.6199,-0.0865798
76.6363,-0.086604
76.6527,-0.0866251
76.6693,-0.0866448
76.6857,-0.0866611
76.703,-0.0866763
76.7187,-0.0866927
76.7358,-0.0867095
76.7516,-0.0867271
76.7683,-0.0867454
76.7856,-0.0867652
