Temperaturee (°C),Heat flow (W/g)
70.0101,-0.0114434
70.0088,-0.0113811
70.0095,-0.0113184
70.0097,-0.0112570
70.0099,-0.0111992
70.0103,-0.0111463
70.0094,-0.0110980
70.0097,-0.0110489
70.0096,-0.0110023
70.0099,-0.0109544
70.0101,-0.0109084
70.0105,-0.0108753
70.0102,-0.0108324
70.0108,-0.0107824
70.0100,-0.0107205
70.0114,-0.0106490
70.0108,-0.0105883
70.0121,-0.0105249
70.0119,-0.0104634
70.0131,-0.0104108
70.0129,-0.0103584
70.0144,-0.0102989
70.0156,-0.0102355
70.0159,-0.0101650
70.0179,-0.0100713
70.0190,-9.82149e-3
70.0199,-9.39625e-3
70.0213,-8.69507e-3
70.0243,-6.99582e-3
70.0263,-4.78298e-3
70.0282,-1.99052e-3
70.0303,1.67803e-3
70.0324,6.41009e-3
70.0344,0.0122996
70.0384,0.0197957
70.0420,0.0273353
70.0439,0.0333419
70.0477,0.0387556
70.0518,0.0440223
70.0550,0.0491551
70.0591,0.0545776
70.0636,0.0594888
70.0685,0.0631623
70.0729,0.0670023
70.0788,0.0718827
70.0835,0.0771428
70.0885,0.0820247
70.0946,0.0870199
70.1005,0.0923324
70.1072,0.0963131
70.1135,0.101016
70.1198,0.105694
70.1267,0.109876
70.1343,0.113943
70.1409,0.117380
70.1491,0.121655
70.1570,0.125139
70.1644,0.129511
70.1726,0.132637
70.1798,0.135072
70.1893,0.138034
70.1975,0.140457
70.2062,0.141733
70.2152,0.144199
70.2241,0.145920
70.2336,0.147510
70.2437,0.148574
70.2525,0.149773
70.2620,0.150884
70.2723,0.152401
70.2823,0.152825
70.2932,0.152776
70.3032,0.153714
70.3138,0.154261
70.3242,0.154180
70.3354,0.153177
70.3450,0.153324
70.3566,0.152208
70.3681,0.151273
70.3793,0.150128
70.3904,0.149033
70.4013,0.144332
70.4139,0.142427
70.4248,0.141729
70.4359,0.140567
70.4496,0.139340
70.4599,0.137975
70.4732,0.137131
70.4844,0.136024
70.4972,0.134991
70.5086,0.134058
70.5209,0.132667
70.5334,0.130802
70.5452,0.127935
70.5583,0.125027
70.5714,0.121990
70.5837,0.118643
70.5963,0.114927
70.6091,0.111240
70.6213,0.107474
70.6348,0.103534
70.6472,0.0983228
70.6608,0.0937612
70.6727,0.0887975
70.6863,0.0839270
70.6999,0.0797808
70.7136,0.0762346
70.7265,0.0735080
70.7401,0.0699532
70.7523,0.0668869
70.7660,0.0627284
70.7798,0.0588849
70.7931,0.0548330
70.8064,0.0520348
70.8205,0.0480110
70.8349,0.0439783
70.8472,0.0400538
70.8620,0.0367530
70.8752,0.0343918
70.8892,0.0314096
70.9037,0.0285574
70.9174,0.0255051
70.9317,0.0216107
70.9451,0.0180212
70.9597,0.0148408
70.9734,0.0113690
70.9871,7.91783e-3
71.0023,4.89556e-3
71.0160,1.03180e-3
71.0305,-1.99579e-3
71.0456,-4.94832e-3
71.0595,-7.62373e-3
71.0738,-0.0112780
71.0882,-0.0139639
71.1026,-0.0157108
71.1168,-0.0192275
71.1324,-0.0220613
71.1465,-0.0250225
71.1609,-0.0276859
71.1759,-0.0307711
71.1908,-0.0333738
71.2053,-0.0363900
71.2200,-0.0398678
71.2350,-0.0425319
71.2494,-0.0447815
71.2639,-0.0475800
71.2788,-0.0511223
