Temperaturee (°C),Heat flow (W/g)
70.0090,-3.50885e-3
70.0084,-3.48762e-3
70.0078,-3.46835e-3
70.0088,-3.45124e-3
70.0078,-3.43527e-3
70.0085,-3.41897e-3
70.0080,-3.40236e-3
70.0088,-3.38576e-3
70.0088,-3.36958e-3
70.0087,-3.35203e-3
70.0093,-3.33410e-3
70.0091,-3.31640e-3
70.0098,-3.29823e-3
70.0095,-3.28095e-3
70.0091,-3.26406e-3
70.0096,-3.24868e-3
70.0112,-3.23175e-3
70.0105,-3.21490e-3
70.0115,-3.19654e-3
70.0120,-3.17655e-3
70.0133,-3.15546e-3
70.0134,-3.13471e-3
70.0148,-3.11053e-3
70.0150,-3.05528e-3
70.0167,-2.94392e-3
70.0178,-2.79728e-3
70.0201,-2.57318e-3
70.0199,-2.07858e-3
70.0227,-1.30610e-3
70.0235,-1.16642e-4
70.0273,1.45874e-3
70.0290,2.90354e-3
70.0318,4.60663e-3
70.0335,6.88009e-3
70.0367,9.14915e-3
70.0393,0.0115247
70.0441,0.0137895
70.0472,0.0156420
70.0501,0.0178962
70.0542,0.0197143
70.0585,0.0210987
70.0628,0.0228482
70.0676,0.0244368
70.0722,0.0263416
70.0771,0.0280914
70.0820,0.0297517
70.0889,0.0313727
70.0947,0.0333035
70.0987,0.0352915
70.1066,0.0371125
70.1125,0.0389215
70.1185,0.0404281
70.1257,0.0420184
70.1329,0.0435038
70.1401,0.0448227
70.1469,0.0460032
70.1555,0.0471032
70.1636,0.0484469
70.1712,0.0499512
70.1804,0.0515775
70.1891,0.0528164
70.1980,0.0541230
70.2063,0.0551049
70.2147,0.0562913
70.2234,0.0571254
70.2338,0.0578057
70.2434,0.0584016
70.2529,0.0590341
70.2632,0.0598239
70.2734,0.0602100
70.2832,0.0605334
70.2933,0.0608146
70.3042,0.0610802
70.3143,0.0612129
70.3256,0.0613495
70.3366,0.0612364
70.3476,0.0610432
70.3583,0.0610058
70.3687,0.0609095
70.3805,0.0605799
70.3923,0.0603136
70.4035,0.0600040
70.4143,0.0596128
70.4272,0.0592027
70.4382,0.0579962
70.4497,0.0575668
70.4614,0.0569445
70.4747,0.0564811
70.4859,0.0557424
70.4980,0.0550675
70.5094,0.0544402
70.5223,0.0539584
70.5350,0.0534878
70.5472,0.0528805
70.5599,0.0519623
70.5730,0.0508861
70.5850,0.0497845
70.5988,0.0487084
70.6107,0.0475489
70.6232,0.0463675
70.6357,0.0450828
