Temperaturee (°C),Heat flow (W/g)
70.0107,0.0484357
70.0095,0.0484424
70.0098,0.0484508
70.011,0.0484543
70.01,0.0484637
70.011,0.0484701
70.0108,0.0484735
70.0104,0.048479
70.0104,0.0484913
70.0104,0.048505
70.0112,0.0485196
70.0106,0.0485281
70.0109,0.0485254
70.0116,0.0485258
70.0112,0.0485248
70.0119,0.0485161
70.0123,0.0485027
70.0133,0.048501
70.0132,0.048504
70.0143,0.0485025
70.0153,0.0485184
70.0157,0.0485358
70.0162,0.0485645
70.0174,0.0486027
70.0193,0.0487376
70.0196,0.0490416
70.0214,0.0492434
70.0225,0.0495463
70.0247,0.050111
70.0267,0.0510232
70.0278,0.0523809
70.0305,0.0551709
70.0332,0.0586386
70.0372,0.0634339
70.0388,0.0693619
70.0421,0.075581
70.0457,0.0834237
70.0491,0.0901079
70.0516,0.0956491
70.0567,0.101284
70.0599,0.105747
70.0647,0.110452
70.0696,0.114353
70.0747,0.119429
70.0796,0.123546
70.0842,0.128787
70.0906,0.13437
70.0967,0.139605
70.1019,0.144291
70.1084,0.148805
70.1156,0.153468
70.1219,0.158195
70.1283,0.162216
70.1351,0.166411
70.1425,0.169579
70.1496,0.172461
70.1579,0.175736
70.1657,0.179027
70.1745,0.183847
70.1828,0.187113
70.1908,0.188296
70.1999,0.191405
70.2085,0.194009
70.2168,0.1968
70.2264,0.200279
70.2369,0.200551
70.2457,0.20193
70.2552,0.202754
70.2647,0.203467
70.2751,0.203918
70.2858,0.205032
70.2944,0.205865
70.3062,0.207082
70.3163,0.207465
70.3269,0.206518
70.3378,0.205857
70.3484,0.205387
70.3591,0.204551
70.3713,0.203814
70.3817,0.202591
70.394,0.201532
70.4042,0.200612
70.4164,0.196236
70.4277,0.194954
70.4396,0.193122
70.4519,0.191746
70.464,0.190065
70.4748,0.188594
70.4876,0.187413
70.4993,0.186214
70.5113,0.1848
70.5241,0.182926
70.5366,0.180992
70.5485,0.179031
70.5619,0.176656
70.5743,0.17377
70.5869,0.171003
70.599,0.168069
70.6118,0.164678
70.6254,0.160284
70.6376,0.15441
