Wavenumber (cm-1),Intensity
902.523,0.0038352
903.487,0.00427369
904.451,0.00472958
905.415,0.00524268
906.38,0.00587257
907.344,0.00668237
908.308,0.00771596
909.272,0.00898365
910.237,0.0104686
911.201,0.0121559
912.165,0.0140679
913.129,0.0162867
914.093,0.0189409
915.058,0.0221563
916.022,0.0259908
916.986,0.0303847
917.95,0.0351516
918.915,0.0400137
919.879,0.0446614
920.843,0.048807
921.807,0.0522092
922.772,0.054666
923.736,0.055993
924.7,0.0560104
925.664,0.0545612
926.628,0.051561
927.593,0.0470627
928.557,0.0413054
929.521,0.0347174
930.485,0.0278594
931.45,0.0213218
932.414,0.0156044
933.378,0.0110161
934.342,0.00762888
935.307,0.00529937
936.271,0.00375327
937.235,0.00269726
938.199,0.00191195
939.164,0.00128844
940.128,8.06E-04
941.092,4.62E-04
942.056,2.27E-04
943.02,1.04E-04
943.985,4.29E-05
944.949,8.07E-06
945.913,-7.59E-06
946.877,1.55E-05
947.842,1.04E-04
948.806,2.74E-04
949.77,5.21E-04
950.734,8.16E-04
951.699,0.0011194
952.663,0.00138374
953.627,0.00157539
954.591,0.00168934
955.555,0.00175888
956.52,0.00184623
957.484,0.00201218
958.448,0.00227943
959.412,0.00261048
960.377,0.00291682
961.341,0.00309917
962.305,0.00309482
963.269,0.00290706
964.234,0.00260201
965.198,0.00227816
966.162,0.0020283
967.126,0.00191265
968.091,0.001947
969.055,0.00210415
970.019,0.00232289
970.983,0.00252674
971.947,0.00264899
972.912,0.00265963
973.876,0.00257898
974.84,0.00246753
975.804,0.00239228
976.769,0.00239202
977.733,0.00246127
978.697,0.00256452
979.661,0.00267057
980.626,0.00277841
981.59,0.00291736
982.554,0.00311991
983.518,0.00338855
984.482,0.0036808
985.447,0.00392295
986.411,0.0040437
987.375,0.00400624
988.339,0.00382249
989.304,0.00354444
990.268,0.00324378
991.232,0.00298923
992.196,0.00283268
993.161,0.00280263
994.125,0.00290277
995.089,0.00311202
996.053,0.00338547
997.018,0.00365952
997.982,0.00386216
998.946,0.00392971
999.91,0.00382436
1000.87,0.0035476
1001.84,0.00314265
1002.8,0.0026838
1003.77,0.00225865
1004.73,0.00195059
1005.7,0.00182714
1006.66,0.00193419
1007.62,0.00228883
1008.59,0.00286848
1009.55,0.00360053
1010.52,0.00436137
1011.48,0.00499942
1012.45,0.00537637
1013.41,0.00541462
1014.37,0.00512397
1015.34,0.00459471
1016.3,0.00395496
1017.27,0.00331601
1018.23,0.00273175
1019.19,0.0021949
1020.16,0.00166735
1021.12,0.00112659
1022.09,5.97E-04
1023.05,1.48E-04
1024.02,-1.49E-04
1024.98,-2.64E-04
1025.94,-2.32E-04
1026.91,-1.40E-04
1027.87,-7.30E-05
1028.84,-6.65E-05
1029.8,-9.47E-05
1030.77,-9.96E-05
1031.73,-4.25E-05
1032.69,6.47E-05
1033.66,1.77E-04
1034.62,2.26E-04
1035.59,1.87E-04
1036.55,8.50E-05
1037.52,-2.51E-05
1038.48,-8.91E-05
1039.44,-7.42E-05
1040.41,3.03E-05
1041.37,2.20E-04
1042.34,4.76E-04
1043.3,7.60E-04
1044.26,0.00101489
1045.23,0.00117626
1046.19,0.00120795
1047.16,0.00112543
1048.12,9.94E-04
1049.09,8.95E-04
1050.05,8.84E-04
