Wavenumber (cm-1),Intensity
898.666,6.11E-04
899.63,7.69E-04
900.594,0.00100163
901.558,0.00134184
902.523,0.00179657
903.487,0.00234328
904.451,0.00294234
905.415,0.0035592
906.38,0.00418466
907.344,0.00483852
908.308,0.00555958
909.272,0.00639284
910.237,0.0073904
911.201,0.00862606
912.165,0.0102101
913.129,0.0122809
914.093,0.0149628
915.058,0.0183071
916.022,0.0222457
916.986,0.0265868
917.95,0.0310543
918.915,0.0353475
919.879,0.0391875
920.843,0.0423328
921.807,0.0445737
922.772,0.0457296
923.736,0.0456692
924.7,0.0443509
925.664,0.0418572
926.628,0.0384001
927.593,0.0342879
928.557,0.0298638
929.521,0.0254446
930.485,0.0212745
931.45,0.0175078
932.414,0.0142138
933.378,0.0113976
934.342,0.00902529
935.307,0.00704555
936.271,0.00540311
937.235,0.00404427
938.199,0.00291993
939.164,0.00199022
940.128,0.00123149
941.092,6.40E-04
942.056,2.28E-04
943.02,4.54E-06
943.985,-2.70E-05
944.949,9.52E-05
945.913,3.17E-04
946.877,5.79E-04
947.842,8.24E-04
948.806,0.00100954
949.77,0.00111054
950.734,0.0011194
951.699,0.00105126
952.663,9.43E-04
953.627,8.44E-04
954.591,7.95E-04
955.555,8.10E-04
956.52,8.68E-04
957.484,9.29E-04
958.448,9.60E-04
959.412,9.49E-04
960.377,9.13E-04
961.341,8.83E-04
962.305,8.80E-04
963.269,9.09E-04
964.234,9.63E-04
965.198,0.00103612
966.162,0.00113361
967.126,0.00126375
968.091,0.00142643
969.055,0.00160232
970.019,0.00175549
970.983,0.00184917
971.947,0.00186564
972.912,0.00181646
973.876,0.00173633
974.84,0.00166341
975.804,0.00161859
976.769,0.00159817
977.733,0.00158584
978.697,0.00157698
979.661,0.00159826
980.626,0.00170485
981.59,0.00195177
982.554,0.00235313
983.518,0.00285532
984.482,0.00334569
985.447,0.00369708
986.411,0.00382478
987.375,0.0037232
988.339,0.00346136
989.304,0.00314183
990.268,0.00285028
991.232,0.00262491
992.196,0.00245866
993.161,0.002325
994.125,0.00220515
995.089,0.0021006
996.053,0.00202592
997.018,0.0019939
997.982,0.00200312
998.946,0.00203483
999.91,0.00205784
1000.87,0.00203739
1001.84,0.00194633
1002.8,0.00177851
1003.77,0.00155962
1004.73,0.0013496
1005.7,0.0012286
1006.66,0.00126957
1007.62,0.0015079
1008.59,0.0019245
1009.55,0.00245075
1010.52,0.00299257
1011.48,0.00345902
1012.45,0.00378119
1013.41,0.00391656
1014.37,0.00384535
1015.34,0.00356977
1016.3,0.00311883
1017.27,0.0025527
1018.23,0.00195493
1019.19,0.00141006
1020.16,9.76E-04
1021.12,6.67E-04
1022.09,4.61E-04
1023.05,3.21E-04
1024.02,2.21E-04
1024.98,1.57E-04
1025.94,1.34E-04
1026.91,1.47E-04
1027.87,1.72E-04
1028.84,1.75E-04
1029.8,1.28E-04
1030.77,3.53E-05
1031.73,-8.37E-05
1032.69,-1.81E-04
1033.66,-2.28E-04
1034.62,-2.31E-04
1035.59,-2.23E-04
1036.55,-2.36E-04
1037.52,-2.76E-04
1038.48,-3.15E-04
1039.44,-3.08E-04
1040.41,-2.27E-04
1041.37,-8.43E-05
1042.34,7.22E-05
1043.3,1.86E-04
1044.26,2.27E-04
1045.23,2.07E-04
1046.19,1.72E-04
1047.16,1.64E-04
1048.12,1.97E-04
1049.09,2.51E-04
1050.05,2.93E-04
1051.01,3.06E-04
1051.98,2.96E-04
1052.94,2.85E-04
1053.91,2.84E-04
1054.87,2.86E-04
1055.84,2.71E-04
1056.8,2.26E-04
1057.76,1.62E-04
1058.73,1.07E-04
1059.69,9.05E-05
1060.66,1.27E-04
1061.62,2.15E-04
1062.59,3.40E-04
1063.55,4.85E-04
1064.51,6.28E-04
1065.48,7.39E-04
1066.44,7.79E-04
1067.41,7.24E-04
1068.37,5.86E-04
1069.34,4.22E-04
1070.3,3.16E-04
1071.26,3.32E-04
1072.23,4.76E-04
1073.19,6.92E-04
1074.16,8.88E-04
1075.12,9.92E-04
1076.08,9.97E-04
1077.05,9.60E-04
1078.01,9.70E-04
1078.98,0.00108839
1079.94,0.00131444
1080.91,0.00158473
1081.87,0.00181408
1082.83,0.00194599
1083.8,0.00198243
1084.76,0.00197352
1085.73,0.00197778
1086.69,0.00202221
1087.66,0.00209016
1088.62,0.00214363
1089.58,0.00215946
1090.55,0.00215175
1091.51,0.00216298
1092.48,0.0022333
1093.44,0.00237337
1094.41,0.00256258
1095.37,0.00277171
1096.33,0.00299036
1097.3,0.00323587
1098.26,0.00353727
1099.23,0.00390731
1100.19,0.00432464
1101.15,0.00473971
1102.12,0.00510022
1103.08,0.00537924
1104.05,0.00558827
1105.01,0.00576864
1105.98,0.00596594
1106.94,0.0062024
1107.9,0.00646055
1108.87,0.00668841
1109.83,0.00682386
1110.8,0.00682582
1111.76,0.00669547
1112.73,0.00647553
1113.69,0.00622478
1114.65,0.00598784
1115.62,0.00577592
1116.58,0.0055741
1117.55,0.00536406
1118.51,0.00514598
1119.48,0.00494071
1120.44,0.00477308
1121.4,0.00465135
1122.37,0.0045609
1123.33,0.00447822
1124.3,0.00439362
1125.26,0.00432337
1126.22,0.00430172
1127.19,0.00435822
1128.15,0.00449757
1129.12,0.00469766
1130.08,0.00492714
1131.05,0.00516962
1132.01,0.00543708
1132.97,0.00576234
1133.94,0.00617515
1134.9,0.00667741
1135.87,0.00723217
1136.83,0.00777512
1137.8,0.00823888
1138.76,0.00857813
1139.72,0.00878219
1140.69,0.00887264
1141.65,0.0088952
1142.62,0.00891355
1143.58,0.00900821
1144.55,0.00927557
1145.51,0.00981752
1146.47,0.010722
1147.44,0.0120367
1148.4,0.0137489
1149.37,0.0157768
1150.33,0.01798
1151.29,0.0201845
1152.26,0.0222202
1153.22,0.0239616
1154.19,0.0253621
1155.15,0.0264699
1156.12,0.0274094
1157.08,0.0283346
1158.04,0.0293618
1159.01,0.030519
1159.97,0.0317315
1160.94,0.0328555
1161.9,0.0337389
1162.87,0.0342713
1163.83,0.0344015
1164.79,0.0341155
1165.76,0.0334071
1166.72,0.0322644
1167.69,0.0306883
1168.65,0.0287195
1169.62,0.0264491
1170.58,0.0239984
1171.54,0.0214825
1172.51,0.0189859
1173.47,0.0165654
1174.44,0.0142739
1175.4,0.012178
1176.36,0.0103536
1177.33,0.00885826
1178.29,0.00770571
1179.26,0.00685957
1180.22,0.00625138
1181.19,0.00580826
1182.15,0.00547344
1183.11,0.00520904
1184.08,0.00498773
1185.04,0.00478539
1186.01,0.00458395
1186.97,0.00438058
1187.94,0.00419235
1188.9,0.00404931
1189.86,0.00397917
1190.83,0.00399444
1191.79,0.00409101
1192.76,0.00425755
1193.72,0.00448708
1194.69,0.00478191
1195.65,0.00514962
1196.61,0.00559375
1197.58,0.00610606
1198.54,0.00666486
1199.51,0.00723864
1200.47,0.00779279
1201.43,0.00829545
1202.4,0.00872131
1203.36,0.00905516
1204.33,0.00929302
1205.29,0.00944247
1206.26,0.00952083
1207.22,0.00955268
1208.18,0.00956854
1209.15,0.0096045
1210.11,0.00970115
1211.08,0.00990131
1212.04,0.0102415
1213.01,0.0107446
1213.97,0.0114186
1214.93,0.0122638
1215.9,0.0132867
1216.86,0.0145093
1217.83,0.015967
1218.79,0.0176961
1219.76,0.0197194
1220.72,0.022043
1221.68,0.024665
1222.65,0.027593
1223.61,0.0308525
1224.58,0.0344799
1225.54,0.038498
1226.51,0.0428931
1227.47,0.047602
1228.43,0.052517
1229.4,0.0575018
1230.36,0.0624076
1231.33,0.0670893
1232.29,0.0714192
1233.25,0.075303
1234.22,0.078685
1235.18,0.0815445
1236.15,0.0838779
1237.11,0.0856815
1238.08,0.0869394
1239.04,0.0876235
1240,0.087705
1240.97,0.0871691
1241.93,0.0860296
1242.9,0.0843333
1243.86,0.0821512
1244.83,0.0795567
1245.79,0.0766046
1246.75,0.073326
1247.72,0.0697425
1248.68,0.0658921
1249.65,0.0618445
1250.61,0.0577005
1251.58,0.053572
1252.54,0.0495609
1253.5,0.0457448
1254.47,0.042175
1255.43,0.0388825
1256.4,0.0358872
1257.36,0.033209
1258.32,0.0308736
1259.29,0.028916
1260.25,0.0273721
1261.22,0.0262638
1262.18,0.025585
1263.15,0.0252976
1264.11,0.02534
1265.07,0.0256397
1266.04,0.0261264
1267,0.0267408
1267.97,0.0274353
1268.93,0.0281669
1269.9,0.0288848
1270.86,0.0295222
1271.82,0.0300025
1272.79,0.0302604
1273.75,0.0302606
1274.72,0.0300033
1275.68,0.029511
1276.65,0.0288122
1277.61,0.0279309
1278.57,0.0268914
1279.54,0.0257254
1280.5,0.0244787
1281.47,0.0232059
1282.43,0.0219588
1283.39,0.0207778
1284.36,0.0196895
1285.32,0.0187126
1286.29,0.0178632
1287.25,0.0171548
1288.22,0.0165905
1289.18,0.016156
1290.14,0.0158206
1291.11,0.0155495
1292.07,0.0153204
1293.04,0.0151328
1294,0.0150085
1294.97,0.0149812
1295.93,0.015085
1296.89,0.0153467
1297.86,0.0157832
1298.82,0.0164042
1299.79,0.017209
1300.75,0.0181797
1301.72,0.0192693
1302.68,0.0203968
1303.64,0.0214496
1304.61,0.0222984
1305.57,0.0228232
1306.54,0.0229448
1307.5,0.022648
1308.46,0.0219789
1309.43,0.0210193
1310.39,0.0198551
1311.36,0.0185638
1312.32,0.0172164
1313.29,0.0158804
1314.25,0.0146106
1315.21,0.0134316
1316.18,0.0123346
1317.14,0.011292
1318.11,0.0102817
1319.07,0.00930204
1320.04,0.0083686
1321,0.00749431
1321.96,0.00667727
1322.93,0.00590597
1323.89,0.00517448
1324.86,0.00449182
1325.82,0.0038777
1326.79,0.00334888
1327.75,0.00290682
1328.71,0.00253617
1329.68,0.00221511
1330.64,0.0019274
1331.61,0.00166782
1332.57,0.00143774
1333.53,0.00123798
1334.5,0.00106453
1335.46,9.10E-04
1336.43,7.64E-04
1337.39,6.21E-04
1338.36,4.77E-04
1339.32,3.35E-04
1340.28,2.05E-04
1341.25,9.93E-05
1342.21,2.35E-05
1343.18,-2.10E-05
1344.14,-3.46E-05
1345.11,-1.87E-05
1346.07,2.17E-05
1347.03,7.45E-05
1348,1.20E-04
1348.96,1.34E-04
1349.93,1.01E-04
1350.89,2.29E-05
1351.86,-7.41E-05
1352.82,-1.53E-04
1353.78,-1.78E-04
1354.75,-1.41E-04
1355.71,-6.64E-05
1356.68,-1.97E-06
1357.64,1.82E-05
1358.61,-4.26E-06
1359.57,-3.03E-05
1360.53,-1.70E-06
1361.5,1.21E-04
1362.46,3.13E-04
1363.43,4.85E-04
1364.39,5.62E-04
1365.35,5.48E-04
1366.32,4.97E-04
1367.28,4.70E-04
1368.25,4.99E-04
1369.21,5.85E-04
1370.18,7.03E-04
1371.14,8.24E-04
1372.1,9.32E-04
1373.07,0.00102516
1374.03,0.00110966
1375,0.00119075
1375.96,0.00127393
1376.93,0.00136518
1377.89,0.00146557
1378.85,0.00156306
1379.82,0.00162942
1380.78,0.00163074
1381.75,0.00154993
1382.71,0.00140449
1383.68,0.00124777
1384.64,0.00115843
1385.6,0.00122333
1386.57,0.00149326
1387.53,0.00191396
1388.5,0.00232963
1389.46,0.00260895
1390.42,0.00273462
1391.39,0.00277156
1392.35,0.00281031
1393.32,0.00294209
1394.28,0.00324308
1395.25,0.00374309
1396.21,0.00439148
1397.17,0.00507349
1398.14,0.00567855
1399.1,0.00615022
