Point,Distance (µm),Br L series
649,7.35034691943128,1891.522
650,7.36169004739336,2134.669
651,7.37303317535545,1828.248
652,7.38437630331754,2317.582
653,7.39571943127962,1493.051
654,7.4070625592417,1861.694
655,7.41840568720379,1820.936
656,7.42974881516587,1700.541
657,7.44109194312796,2033.841
658,7.45243507109005,1996.82
659,7.46377819905213,1740.22
660,7.47512132701422,1402.852
661,7.4864644549763,1747.46
662,7.49780758293839,2029.47
663,7.50915071090047,1407.922
664,7.52049383886256,1457.301
665,7.53183696682464,1844.107
666,7.54318009478673,2120.097
667,7.55452322274881,1834.905
668,7.5658663507109,1681.611
669,7.57720947867298,1754.641
670,7.58855260663507,1656.056
671,7.59989573459716,1979.947
672,7.61123886255924,2100.241
673,7.62258199052132,1648.384
674,7.63392511848341,1757.131
675,7.6452682464455,1642.129
676,7.65661137440758,1674.001
677,7.66795450236966,1879.291
678,7.67929763033175,2024.495
679,7.69064075829384,1486.576
680,7.70198388625592,1962.034
681,7.71332701421801,1512.157
682,7.72467014218009,954.1251
683,7.73601327014218,1260.666
684,7.74735639810427,1674.872
685,7.75869952606635,1582.43
686,7.77004265402843,1641.148
687,7.78138578199052,1155.79
688,7.7927289099526,2025.761
689,7.80407203791469,1367.82
690,7.81541516587677,1928.653
691,7.82675829383886,1846.607
692,7.83810142180095,2095.599
693,7.84944454976303,2181.213
694,7.86078767772512,1630.8
695,7.8721308056872,1836.774
696,7.88347393364929,1692.032
697,7.89481706161137,1341.195
698,7.90616018957346,1946.897
699,7.91750331753554,1373.282
700,7.92884644549763,1606.881
701,7.94018957345971,1506.111
702,7.9515327014218,1087.578
703,7.96287582938388,1656.411
704,7.97421895734597,1839.696
705,7.98556208530806,1708.198
706,7.99690521327014,1212.643
707,8.00824834123222,1110.465
708,8.01959146919431,1298.901
709,8.0309345971564,1619.094
710,8.04227772511848,1698.45
711,8.05362085308057,1480.669
712,8.06496398104265,1315.06
713,8.07630710900474,1789.289
714,8.08765023696682,1317.202
715,8.09899336492891,1286.183
716,8.11033649289099,1784.762
717,8.12167962085308,1602.396
718,8.13302274881517,1652.057
719,8.14436587677725,1880.243
720,8.15570900473933,1159.134
721,8.16705213270142,1449.15
722,8.17839526066351,1328.078
723,8.18973838862559,1677.453
724,8.20108151658768,1643.24
725,8.21242464454976,1335.049
726,8.22376777251185,1469.771
727,8.23511090047393,1384.763
728,8.24645402843602,1636.721
729,8.2577971563981,1450.813
730,8.26914028436019,1507.567
731,8.28048341232227,1490.291
732,8.29182654028436,1116.046
733,8.30316966824644,2205.589
734,8.31451279620853,1323.911
735,8.32585592417061,1654.972
736,8.3371990521327,985.6889
737,8.34854218009479,1418.06
738,8.35988530805687,1671.914
739,8.37122843601896,1313.847
740,8.38257156398104,1546.225
741,8.39391469194313,1433.203
742,8.40525781990521,1403.628
743,8.4166009478673,1274.296
744,8.42794407582938,1278.347
745,8.43928720379147,974.117
746,8.45063033175355,978.9431
747,8.46197345971564,1833.193
748,8.47331658767772,1357.186
749,8.48465971563981,813.3712
750,8.4960028436019,1251.649
751,8.50734597156398,1263.363
752,8.51868909952606,1847.092
753,8.53003222748815,1596.466
754,8.54137535545024,902.9309
755,8.55271848341232,1338.633
756,8.5640616113744,1202.878
757,8.57540473933649,1578.491
758,8.58674786729858,1078.813
759,8.59809099526066,1170.258
760,8.60943412322275,1569.329
761,8.62077725118483,1187.677
762,8.63212037914692,1440.486
763,8.643463507109,1438.739
764,8.65480663507109,1393.584
765,8.66614976303318,1286.348
766,8.67749289099526,1235.285
767,8.68883601895734,1902.351
768,8.70017914691943,1086.083
769,8.71152227488152,1233.888
770,8.7228654028436,1037.282
771,8.73420853080569,1262.474
772,8.74555165876777,1731.742
773,8.75689478672985,934.9166
774,8.76823791469194,1271.102
775,8.77958104265403,1131.56
776,8.79092417061611,1020.048
777,8.8022672985782,1438.028
778,8.81361042654028,1191.167
779,8.82495355450237,1269.947
780,8.83629668246445,960.79
781,8.84763981042654,1264.457
782,8.85898293838862,888.5474
783,8.87032606635071,1319.871
784,8.8816691943128,1269.836
785,8.89301232227488,1419.552
786,8.90435545023696,1245.309
787,8.91569857819905,1369.309
788,8.92704170616114,1257.022
789,8.93838483412322,1286.048
790,8.94972796208531,1395.927
791,8.96107109004739,1026.234
792,8.97241421800948,1165.838
793,8.98375734597156,885.0284
794,8.99510047393364,1280.905
795,9.00644360189573,945.2007
796,9.01778672985782,643.498
797,9.02912985781991,1388.439
798,9.04047298578199,711.9409
799,9.05181611374407,756.1509
