Point,Distance (µm),Br L series
1,0,28522.89
2,0.00271981611420275,28287.99
3,0.00543963222840551,30232.5
4,0.00815944834260826,26587.97
5,0.010879264456811,30920.68
6,0.0135990805710138,29526.65
7,0.0163188966852166,26858.13
8,0.0190387127994193,27369.95
9,0.021758528913622,28142.68
10,0.0244783450278248,26539.96
11,0.0271981611420276,26853.36
12,0.0299179772562303,27207.71
13,0.0326377933704331,28587.56
14,0.0353576094846359,26893.38
15,0.0380774255988386,28132.76
16,0.0407972417130414,29511.28
17,0.0435170578272441,25885.36
18,0.0462368739414469,28996.18
19,0.0489566900556496,28423.38
20,0.0516765061698524,23962.24
21,0.0543963222840552,27147.85
22,0.0571161383982579,28306.94
23,0.0598359545124607,26538.29
24,0.0625557706266635,29013.94
25,0.0652755867408662,27265.77
26,0.067995402855069,27738.59
27,0.0707152189692717,25533.83
28,0.0734350350834745,26715.92
29,0.0761548511976772,30793.68
30,0.07887466731188,26556.19
31,0.0815944834260827,25249.6
32,0.0843142995402855,27014.79
33,0.0870341156544883,26658.19
34,0.089753931768691,27967.8
35,0.0924737478828938,28372.69
36,0.0951935639970965,28952.01
37,0.0979133801112993,28772.29
38,0.100633196225502,24253.41
39,0.103353012339705,28843.2
40,0.106072828453908,25041.66
41,0.10879264456811,25359.38
42,0.111512460682313,24738.94
43,0.114232276796516,28749.84
44,0.116952092910719,25985.37
45,0.119671909024921,26736.77
46,0.122391725139124,24357.6
47,0.125111541253327,27761.13
48,0.12783135736753,24793.19
49,0.130551173481732,26281.67
50,0.133270989595935,27750.06
51,0.135990805710138,28645.16
52,0.138710621824341,28465.07
53,0.141430437938543,27424.18
54,0.144150254052746,24762.36
55,0.146870070166949,26065.36
56,0.149589886281152,24273.31
57,0.152309702395354,27310.43
58,0.155029518509557,25234.06
59,0.15774933462376,24543.71
60,0.160469150737963,24458.47
61,0.163188966852165,27246.84
62,0.165908782966368,29120.13
63,0.168628599080571,27124.91
64,0.171348415194774,27409.93
65,0.174068231308977,24785.02
66,0.176788047423179,25801.22
67,0.179507863537382,22670
68,0.182227679651585,26611.49
69,0.184947495765788,24705.89
70,0.18766731187999,28173.62
71,0.190387127994193,26224.76
72,0.193106944108396,27479.44
73,0.195826760222599,21968.41
74,0.198546576336801,27841.49
75,0.201266392451004,23586.52
76,0.203986208565207,24796.36
77,0.20670602467941,25478.78
78,0.209425840793612,25201.82
79,0.212145656907815,24641.89
80,0.214865473022018,24105.64
81,0.217585289136221,26390.57
82,0.220305105250423,25067.64
83,0.223024921364626,25134.39
84,0.225744737478829,24810.45
85,0.228464553593032,28687.16
86,0.231184369707234,26610.18
87,0.233904185821437,23901.27
88,0.23662400193564,28956.11
89,0.239343818049843,26288.61
90,0.242063634164045,27270.51
91,0.244783450278248,25681.06
92,0.247503266392451,26484.73
93,0.250223082506654,25183.54
94,0.252942898620857,26469.36
95,0.255662714735059,26061.72
96,0.258382530849262,26508.18
97,0.261102346963465,27856.36
98,0.263822163077667,29883.31
99,0.26654197919187,25012.73
100,0.269261795306073,23705.39
101,0.271981611420276,28485.34
102,0.274701427534479,29568.42
103,0.277421243648681,24583.92
104,0.280141059762884,25529.89
105,0.282860875877087,24384.66
106,0.28558069199129,22546.51
107,0.288300508105492,27365.79
108,0.291020324219695,24890.41
109,0.293740140333898,24442.48
110,0.296459956448101,22502.69
111,0.299179772562303,27315.74
112,0.301899588676506,29173.63
113,0.304619404790709,27420.49
114,0.307339220904912,27322.05
115,0.310059037019114,23606.5
116,0.312778853133317,29359.84
117,0.31549866924752,27978.25
118,0.318218485361723,26379.29
119,0.320938301475926,24405.44
120,0.323658117590128,25312.84
121,0.326377933704331,24200.43
122,0.329097749818534,25607.42
123,0.331817565932737,25770.05
124,0.334537382046939,23780.42
125,0.337257198161142,22953.8
126,0.339977014275345,26032.55
127,0.342696830389548,20840.13
128,0.34541664650375,27984.7
129,0.348136462617953,24575.71
130,0.350856278732156,24508.7
131,0.353576094846359,26903.81
132,0.356295910960561,23751.49
133,0.359015727074764,24307.56
134,0.361735543188967,26024.16
135,0.36445535930317,25603.53
136,0.367175175417372,25300.91
137,0.369894991531575,24543.16
138,0.372614807645778,27535.93
139,0.375334623759981,23892.69
140,0.378054439874183,25114.59
141,0.380774255988386,25821.17
142,0.383494072102589,24925.28
143,0.386213888216792,23949.21
144,0.388933704330994,25881.95
145,0.391653520445197,25551.28
146,0.3943733365594,28511.92
147,0.397093152673603,25612.44
148,0.399812968787805,27276.59
149,0.402532784902008,22842.19
150,0.405252601016211,26698.67
151,0.407972417130414,26969.84
152,0.410692233244616,26046.37
153,0.413412049358819,25361.06
154,0.416131865473022,24517.85
155,0.418851681587225,24809.21
156,0.421571497701427,26270.21
157,0.42429131381563,24773.03
158,0.427011129929833,28151.21
159,0.429730946044036,23618.17
160,0.432450762158239,26008.43
161,0.435170578272441,24268.87
162,0.437890394386644,22013.45
163,0.440610210500847,24569.35
164,0.44333002661505,20971.94
165,0.446049842729252,23723.92
166,0.448769658843455,25831.89
167,0.451489474957658,26539.43
168,0.454209291071861,24342.71
169,0.456929107186063,23611.88
170,0.459648923300266,23129.03
171,0.462368739414469,24153.94
172,0.465088555528672,26328.82
173,0.467808371642874,22421.08
174,0.470528187757077,23511.2
175,0.47324800387128,23738.89
176,0.475967819985483,24199.2
177,0.478687636099685,27293.48
178,0.481407452213888,27112.54
179,0.484127268328091,27595.86
180,0.486847084442294,29678.46
181,0.489566900556496,25603.46
182,0.492286716670699,24096.76
183,0.495006532784902,25507.15
184,0.497726348899105,25110.61
185,0.500446165013308,26784.2
186,0.50316598112751,26289.52
187,0.505885797241713,24682.04
188,0.508605613355916,25349.6
189,0.511325429470119,29688.65
190,0.514045245584321,24413.93
191,0.516765061698524,27200.56
192,0.519484877812727,23574.94
193,0.52220469392693,27759.26
194,0.524924510041132,28512.59
195,0.527644326155335,26379.01
196,0.530364142269538,24717.45
