Point,Distance (µm),Br L series
1,0.0,23885.14
2,0.0113512476007688,20858.2
3,0.0227024952015339,21815.32
4,0.0340537428023027,22529.14
5,0.0454049904030715,21255.9
6,0.0567562380038402,21220.07
7,0.0681074856046054,21582.11
8,0.0794587332053742,21836.11
9,0.0908099808061429,21469.94
10,0.102161228406908,21523.6
11,0.113512476007677,21368.27
12,0.124863723608446,21769.65
13,0.136214971209214,21259.48
14,0.14756621880998,21269.78
15,0.158917466410748,22529.06
16,0.170268714011517,20714.89
17,0.181619961612282,21067.74
18,0.192971209213051,21244.14
19,0.20432245681382,21124.01
20,0.215673704414589,22860.38
21,0.227024952015354,21190.68
22,0.238376199616122,23336.25
23,0.249727447216891,22966.48
24,0.26107869481766,22111.0
25,0.272429942418425,22253.79
26,0.283781190019194,21490.94
27,0.295132437619963,20838.83
28,0.306483685220728,21663.82
29,0.317834932821497,22084.94
30,0.329186180422265,22148.39
31,0.340537428023034,23689.23
32,0.351888675623799,23040.35
33,0.363239923224568,21038.48
34,0.374591170825337,21565.48
35,0.385942418426102,21970.74
36,0.397293666026871,23833.11
37,0.40864491362764,22605.34
38,0.419996161228408,23166.45
39,0.431347408829174,21293.81
40,0.442698656429942,21794.22
41,0.454049904030711,21380.5
42,0.465401151631476,22244.8
43,0.476752399232245,22955.53
44,0.488103646833014,22752.22
45,0.499454894433783,21212.88
46,0.510806142034548,23576.16
47,0.522157389635316,22399.98
48,0.533508637236085,22800.55
49,0.544859884836854,22676.1
50,0.556211132437619,21410.88
51,0.567562380038388,23566.06
52,0.578913627639157,22012.5
53,0.590264875239922,22407.67
54,0.601616122840691,23978.78
55,0.612967370441459,22260.31
56,0.624318618042228,24224.81
57,0.635669865642993,23476.1
58,0.647021113243762,24920.23
59,0.658372360844531,23846.28
60,0.669723608445296,22973.9
61,0.681074856046065,23298.08
62,0.692426103646834,23870.21
63,0.703777351247602,25116.92
64,0.715128598848367,23795.73
65,0.726479846449136,23857.57
66,0.737831094049905,22753.9
67,0.74918234165067,24556.8
68,0.760533589251439,23723.17
69,0.771884836852208,23714.33
70,0.783236084452977,24900.63
71,0.794587332053742,24190.87
72,0.80593857965451,23080.68
73,0.817289827255279,24497.59
74,0.828641074856044,24128.97
75,0.839992322456813,24618.17
76,0.851343570057582,24466.86
77,0.862694817658351,25774.3
78,0.874046065259116,25003.6
79,0.885397312859885,25058.55
80,0.896748560460653,24603.81
81,0.908099808061418,24809.19
82,0.919451055662187,22606.94
83,0.930802303262956,23764.63
84,0.942153550863725,25170.28
85,0.95350479846449,24311.46
86,0.964856046065259,24681.07
87,0.976207293666027,23936.43
88,0.987558541266796,24219.04
89,0.998909788867561,24015.21
90,1.01026103646833,23733.54
91,1.0216122840691,24729.79
92,1.03296353166986,23330.73
93,1.04431477927063,24633.87
94,1.0556660268714,24067.33
95,1.06701727447217,23603.13
96,1.07836852207294,24974.06
97,1.0897197696737,23273.86
98,1.10107101727447,24961.88
99,1.11242226487524,23064.49
100,1.12377351247601,23033.29
101,1.13512476007678,22230.65
102,1.14647600767754,22411.04
103,1.15782725527831,23175.72
104,1.16917850287908,21776.41
105,1.18052975047985,21418.01
106,1.19188099808061,22277.81
107,1.20323224568138,23229.7
108,1.21458349328215,22337.01
109,1.22593474088292,21231.74
110,1.23728598848368,21960.32
111,1.24863723608445,22325.52
112,1.25998848368522,22352.37
113,1.27133973128599,22357.17
114,1.28269097888676,21782.91
115,1.29404222648752,21214.25
116,1.30539347408829,20574.15
117,1.31674472168906,21791.87
118,1.32809596928983,23040.59
119,1.3394472168906,20589.55
120,1.35079846449136,21710.76
121,1.36214971209213,22263.97
122,1.3735009596929,21919.92
123,1.38485220729367,21265.23
124,1.39620345489443,21881.96
125,1.4075547024952,21024.9
126,1.41890595009597,22796.24
