Point,Distance (µm),Br L series
112,1.25887677725118,23925.28
113,1.27021800947867,23015.78
114,1.28155924170616,23282.8
115,1.29290047393365,23237.57
116,1.30424170616114,23660.88
117,1.31558293838863,22111.59
118,1.32692417061611,22310.36
119,1.3382654028436,24269.16
120,1.34960663507109,22248.39
121,1.36094786729858,23222.52
122,1.37228909952606,23338.03
123,1.38363033175355,24723.03
124,1.39497156398104,22279.99
125,1.40631279620853,22082.54
126,1.41765402843602,22692.83
127,1.42899526066351,23500.99
128,1.440336492891,23355.65
129,1.45167772511848,24159.84
130,1.46301895734597,23426.11
131,1.47436018957346,23462.17
132,1.48570142180095,24922.55
133,1.49704265402844,22580.36
134,1.50838388625593,22316.72
135,1.51972511848341,23095.98
136,1.5310663507109,23970.65
137,1.54240758293839,22228.06
138,1.55374881516588,22888.86
139,1.56509004739337,22885.12
140,1.57643127962085,22597.71
141,1.58777251184834,23478.92
142,1.59911374407583,21620.91
143,1.61045497630332,24003.67
144,1.62179620853081,22391.55
145,1.63313744075829,23092.13
146,1.64447867298578,22488.29
147,1.65581990521327,22470.78
148,1.66716113744076,23709.33
149,1.67850236966825,22291.58
150,1.68984360189573,21603.02
151,1.70118483412322,21771.22
152,1.71252606635071,21939.72
153,1.7238672985782,22059.49
154,1.73520853080569,21447.53
155,1.74654976303317,23280.9
156,1.75789099526066,22632.63
157,1.76923222748815,22321.27
158,1.78057345971564,22611.35
159,1.79191469194313,22424.59
160,1.80325592417062,21735.51
161,1.81459715639811,22043.72
162,1.82593838862559,20702.58
163,1.83727962085308,21325.05
164,1.84862085308057,22846.13
165,1.85996208530806,21873.0
166,1.87130331753555,21187.45
167,1.88264454976303,21791.16
168,1.89398578199052,21184.06
169,1.90532701421801,21146.13
170,1.9166682464455,20597.09
171,1.92800947867299,20738.04
172,1.93935071090047,19824.87
173,1.95069194312796,21463.38
174,1.96203317535545,20912.16
175,1.97337440758294,21037.33
176,1.98471563981043,21750.23
177,1.99605687203791,20812.65
178,2.0073981042654,22157.2
179,2.01873933649289,20717.49
180,2.03008056872038,21735.33
181,2.04142180094787,20376.03
182,2.05276303317535,21147.29
183,2.06410426540284,21699.31
184,2.07544549763033,21690.06
185,2.08678672985782,20927.28
186,2.09812796208531,21417.77
187,2.1094691943128,21344.24
188,2.12081042654029,19998.74
189,2.13215165876777,19321.37
190,2.14349289099526,21052.92
191,2.15483412322275,19799.76
192,2.16617535545024,20743.5
193,2.17751658767772,19863.28
194,2.18885781990522,18904.67
195,2.2001990521327,19232.67
196,2.21154028436019,19341.68
197,2.22288151658768,18168.45
198,2.23422274881517,18825.51
199,2.24556398104266,18159.9
200,2.25690521327014,19373.85
201,2.26824644549763,18586.18
202,2.27958767772512,18215.88
203,2.29092890995261,18913.57
204,2.3022701421801,18557.59
205,2.31361137440758,18296.94
206,2.32495260663507,18544.7
207,2.33629383886256,18447.16
208,2.34763507109005,18194.71
209,2.35897630331754,17024.25
210,2.37031753554502,18331.09
211,2.38165876777251,18202.29
212,2.393,18805.07
213,2.40434123222749,17133.81
214,2.41568246445498,16040.13
215,2.42702369668246,18657.95
