Point,Distance (µm),Br L series
1,0.0,25431.58
2,0.0113441814595664,25262.66
3,0.0226883629191329,25432.38
4,0.0340325443786993,23757.56
5,0.0453767258382657,24339.23
6,0.0567209072978322,25210.46
7,0.0680650887573949,24737.4
8,0.0794092702169613,23968.46
9,0.0907534516765278,24303.02
10,0.102097633136094,23123.92
11,0.113441814595661,24766.15
12,0.124785996055227,22912.53
13,0.136130177514793,23150.99
14,0.14747435897436,24989.18
15,0.158818540433926,22025.38
16,0.170162721893493,25871.06
17,0.181506903353056,24559.84
18,0.192851084812622,23997.92
19,0.204195266272188,24347.41
20,0.215539447731755,22238.1
21,0.226883629191321,23470.29
22,0.238227810650888,23761.99
23,0.249571992110454,24670.96
24,0.260916173570021,23186.49
25,0.272260355029587,23775.28
26,0.283604536489153,24830.42
27,0.294948717948716,23134.46
28,0.306292899408283,23322.45
29,0.317637080867849,21025.21
30,0.328981262327416,25672.61
31,0.340325443786982,23805.22
32,0.351669625246548,22259.43
33,0.363013806706115,24189.67
34,0.374357988165681,22935.32
35,0.385702169625248,23232.32
36,0.397046351084814,23588.69
37,0.408390532544377,23887.41
38,0.419734714003943,23906.96
39,0.43107889546351,24330.76
40,0.442423076923076,24104.26
41,0.453767258382643,22679.29
42,0.465111439842209,23452.89
43,0.476455621301775,23192.82
44,0.487799802761342,24104.04
45,0.499143984220908,23796.85
46,0.510488165680475,24064.74
47,0.521832347140041,24434.67
48,0.533176528599604,22145.48
49,0.54452071005917,23234.66
50,0.555864891518737,22373.4
51,0.567209072978303,23474.47
52,0.57855325443787,23981.61
53,0.589897435897436,23205.32
54,0.601241617357002,23222.76
55,0.612585798816569,24415.44
56,0.623929980276135,23507.61
57,0.635274161735702,23222.96
58,0.646618343195265,23020.67
59,0.657962524654831,23279.39
60,0.669306706114397,22439.68
61,0.680650887573964,22334.24
62,0.69199506903353,23921.93
63,0.703339250493097,22736.8
64,0.714683431952663,23596.91
65,0.72602761341223,23476.63
66,0.737371794871796,23408.97
67,0.748715976331362,23601.74
68,0.760060157790925,24016.0
69,0.771404339250492,23275.53
70,0.782748520710058,22930.29
71,0.794092702169624,22378.31
72,0.805436883629191,23618.83
73,0.816781065088757,22459.68
74,0.828125246548324,23066.96
75,0.83946942800789,23235.46
76,0.850813609467457,22323.46
77,0.862157790927023,23033.12
78,0.873501972386586,23174.25
79,0.884846153846152,23266.87
80,0.896190335305719,23038.21
81,0.907534516765285,21562.33
82,0.918878698224852,23501.59
83,0.930222879684418,23649.23
84,0.941567061143984,23383.29
85,0.952911242603551,23264.21
