Displacement;Gc (KJ/m²)
mm;KJ/m^2
0.057;0.01155
0.07367;0.01132
0.09033;0.012
0.107;0.01112
0.1237;0.01159
0.1403;0.01001
0.157;0.009443
0.1737;0.009696
0.1903;0.01142
0.207;0.0103
0.2237;0.01036
0.2407;0.01015
0.2577;0.009812
0.2747;0.009834
0.2913;0.0107
0.308;0.0132
0.3247;0.01344
0.3417;0.01265
0.3583;0.01283
0.375;0.01285
0.3917;0.01398
0.4083;0.0133
0.425;0.01255
0.4417;0.01447
0.4583;0.01561
0.4753;0.01643
0.492;0.01656
0.5087;0.01687
0.5257;0.01683
0.5427;0.01703
0.5593;0.01693
0.576;0.01645
0.5927;0.01519
0.6093;0.01579
0.626;0.01652
0.6427;0.01722
0.6593;0.01875
0.676;0.01845
0.6927;0.01889
0.7093;0.01887
0.726;0.02025
0.7427;0.02053
0.7593;0.02125
0.776;0.02016
0.7927;0.02189
0.8093;0.02251
0.826;0.02309
0.8427;0.02406
0.8593;0.02478
0.876;0.025
0.8927;0.02535
0.9093;0.02416
0.926;0.02378
0.9427;0.02337
0.9597;0.02388
0.9763;0.0254
0.993;0.02645
1.01;0.02749
1.027;0.02676
1.044;0.02607
1.06;0.02635
1.077;0.0263
1.094;0.02605
1.11;0.02842
1.127;0.02796
1.144;0.02986
1.161;0.0301
1.177;0.03005
1.194;0.0296
1.211;0.02924
1.228;0.03112
1.244;0.03175
1.261;0.03371
1.278;0.03452
1.294;0.03474
1.311;0.0352
1.328;0.03476
1.344;0.03407
1.361;0.03481
1.378;0.03628
1.394;0.03732
1.411;0.03725
1.428;0.03729
1.445;0.03772
1.462;0.03639
1.478;0.03661
1.495;0.03753
1.512;0.0379
1.529;0.03958
1.546;0.04024
1.562;0.04119
1.579;0.04216
1.596;0.04359
1.612;0.04563
1.629;0.04727
1.646;0.04649
1.663;0.04512
1.679;0.04589
1.696;0.04682
1.713;0.04795
1.73;0.04734
1.746;0.04804
1.763;0.04954
1.78;0.04946
1.796;0.05053
1.813;0.05075
1.83;0.0522
1.846;0.05337
1.863;0.0525
1.88;0.05312
1.896;0.05463
1.913;0.05542
1.93;0.0563
1.947;0.05647
1.964;0.05737
1.98;0.05713
1.997;0.05669
2.014;0.05574
2.03;0.05499
2.047;0.05571
2.064;0.05564
2.081;0.056
2.098;0.05564
2.115;0.05684
2.132;0.05636
2.148;0.0574
2.165;0.05844
2.182;0.06102
2.198;0.06245
2.215;0.06312
2.232;0.06399
2.249;0.06481
2.265;0.06755
2.282;0.06837
2.299;0.0694
2.316;0.07097
2.332;0.07196
2.349;0.07375
2.366;0.0741
2.382;0.07377
2.399;0.07291
2.416;0.07431
2.432;0.0753
2.449;0.07612
2.466;0.07716
2.482;0.07797
2.499;0.0787
2.516;0.08147
2.532;0.08124
2.549;0.08188
2.566;0.08127
2.583;0.08137
2.6;0.0813
2.616;0.08082
2.633;0.0813
2.65;0.08178
2.666;0.08213
2.683;0.08099
2.7;0.07823
2.717;0.07803
2.733;0.07744
2.75;0.07851
2.767;0.0793
2.783;0.07998
2.8;0.07868
2.817;0.07822
2.834;0.07924
2.851;0.08102
2.868;0.08362
2.885;0.08435
2.902;0.08508
2.918;0.08647
2.935;0.08789
2.952;0.0867
2.968;0.08745
2.985;0.08656
3.002;0.08648
3.018;0.08719
3.035;0.08723
3.052;0.08754
3.069;0.08724
3.086;0.0885
3.102;0.08958
3.119;0.09053
3.136;0.09094
3.152;0.09055
3.169;0.08989
3.186;0.09132
3.202;0.0909
3.219;0.0907
3.236;0.09048
3.253;0.09051
3.269;0.09135
3.286;0.09132
3.303;0.09234
3.319;0.09346
3.336;0.09303
3.353;0.09404
3.37;0.09363
3.386;0.09517
3.403;0.09665
3.42;0.09768
3.436;0.09842
3.453;0.09919
3.47;0.09789
3.487;0.0987
3.504;0.09647
3.52;0.09317
3.537;0.09523
3.554;0.09601
3.57;0.09559
3.587;0.09449
3.604;0.09574
3.62;0.09608
3.637;0.09656
3.654;0.09653
3.671;0.0969
3.687;0.09707
3.704;0.09806
3.721;0.09751
3.737;0.09644
3.754;0.09604
3.771;0.09549
3.787;0.09484
3.804;0.09397
3.821;0.09474
3.837;0.09402
3.854;0.09472
3.871;0.09268
3.888;0.09212
3.904;0.09382
3.921;0.0939
3.938;0.09597
3.955;0.09641
3.971;0.0975
3.988;0.09895
4.005;0.1001
4.022;0.09993
4.039;0.1013
4.056;0.1018
4.073;0.1024
4.09;0.1028
4.106;0.104
4.123;0.1049
4.14;0.1066
4.157;0.1076
4.173;0.1073
4.19;0.1097
4.207;0.1109
4.223;0.112
4.24;0.1133
4.257;0.1155
4.274;0.1156
4.29;0.1151
4.307;0.1148
4.324;0.1146
4.341;0.1165
4.358;0.1164
4.375;0.1163
4.392;0.1188
4.409;0.12
4.425;0.1207
4.442;0.1202
4.459;0.1173
4.475;0.1188
4.492;0.1198
4.509;0.1217
4.525;0.1223
4.542;0.1237
4.559;0.1246
4.575;0.1246
4.592;0.1253
4.609;0.1253
4.625;0.1273
4.642;0.1276
4.659;0.1294
4.675;0.1308
4.692;0.1311
4.709;0.1317
4.726;0.1329
4.742;0.134
4.759;0.1343
4.776;0.1352
4.792;0.1345
4.809;0.1338
4.826;0.1325
4.842;0.133
4.859;0.1336
4.876;0.134
4.892;0.1351
4.909;0.1359
4.926;0.1364
4.942;0.1374
4.959;0.139
4.976;0.1385
4.993;0.1392
5.01;0.1404
5.026;0.1403
5.043;0.1403
5.06;0.1424
5.076;0.1433
5.093;0.142
5.11;0.1438
5.127;0.1427
5.143;0.1406
5.16;0.1424
5.177;0.1426
5.193;0.1425
5.21;0.1431
5.227;0.1431
5.243;0.144
5.26;0.1442
5.277;0.1449
5.293;0.1434
5.31;0.1444
5.327;0.1454
5.343;0.1459
5.36;0.1472
5.377;0.1494
5.393;0.1507
5.41;0.151
5.427;0.1528
5.443;0.1558
5.46;0.1555
5.477;0.1563
5.494;0.1572
5.51;0.1589
5.527;0.1593
5.544;0.1607
5.56;0.1612
5.577;0.1602
5.594;0.1591
5.611;0.1612
5.627;0.1615
5.644;0.1652
5.661;0.1679
5.678;0.1693
5.695;0.1701
5.711;0.1729
5.728;0.1741
5.745;0.1766
5.762;0.178
5.778;0.1817
5.795;0.1842
5.812;0.1864
5.828;0.1883
5.845;0.1916
5.862;0.1944
5.878;0.1967
5.895;0.1987
5.912;0.2011
5.928;0.204
5.945;0.2052
5.962;0.2068
5.979;0.2084
5.996;0.2117
6.012;0.2124
6.029;0.2124
6.046;0.2148
6.062;0.2173
6.079;0.2197
6.096;0.2222
6.113;0.226
6.13;0.2292
6.146;0.2321
6.163;0.2363
6.18;0.2388
6.197;0.2436
6.214;0.2466
6.231;0.2489
6.247;0.251
6.264;0.2534
6.281;0.256
6.297;0.2588
6.314;0.2628
6.331;0.2671
6.347;0.2698
6.364;0.2735
6.381;0.275
6.398;0.2775
6.414;0.2815
6.432;0.2838
6.448;0.2886
6.465;0.2919
6.482;0.2935
6.499;0.2942
6.515;0.2974
6.532;0.3005
6.549;0.305
6.565;0.3088
6.582;0.3126
6.599;0.3168
6.615;0.322
6.632;0.3252
6.649;0.3288
6.665;0.3317
6.682;0.3367
6.699;0.3401
6.715;0.3448
6.732;0.3496
6.749;0.3539
6.766;0.3566
6.783;0.3581
6.799;0.3633
6.816;0.3683
6.833;0.3738
6.849;0.3795
6.866;0.3846
6.883;0.3887
6.899;0.393
6.916;0.3971
6.933;0.4007
6.949;0.405
6.966;0.409
6.983;0.4139
6.999;0.4186
7.016;0.4227
7.033;0.4259
7.049;0.4304
7.067;0.4361
7.083;0.4411
7.1;0.444
7.117;0.4491
7.134;0.4521
7.151;0.4583
7.167;0.4636
7.184;0.4697
7.201;0.4756
7.218;0.4826
7.234;0.4899
7.251;0.4957
7.268;0.5025
7.285;0.5095
7.301;0.5178
7.318;0.5239
7.335;0.5329
7.351;0.5368
7.368;0.543
7.385;0.5508
7.401;0.5578
7.418;0.5666
7.435;0.5737
7.452;0.5784
7.468;0.5855
7.485;0.5923
7.502;0.6003
7.518;0.6087
7.535;0.6178
7.552;0.6274
7.568;0.6363
7.585;0.6461
7.602;0.6558
7.619;0.6653
7.635;0.6741
7.652;0.6844
7.669;0.6935
7.686;0.7029
7.703;0.7125
7.72;0.7229
7.736;0.7315
7.753;0.7392
7.77;0.7491
7.786;0.7598
7.803;0.7696
7.82;0.7804
7.836;0.7902
7.853;0.8017
7.87;0.8107
7.887;0.8214
7.903;0.81
7.92;0.8112
7.937;0.8204
7.953;0.8275
7.97;0.8347
7.987;0.8447
8.004;0.8547
8.02;0.8646
8.037;0.8752
8.054;0.8851
8.071;0.8959
8.088;0.9065
8.105;0.9159
8.122;0.9087
8.139;0.8739
8.155;0.8796
8.173;0.8883
8.189;0.8987
8.206;0.91
8.223;0.92
8.239;0.9296
8.256;0.9386
8.273;0.9418
8.289;0.9402
8.306;0.9481
8.323;0.9575
8.339;0.9594
8.356;0.9442
8.373;0.932
8.389;0.935
8.406;0.9435
8.423;0.9533
8.439;0.9559
8.456;0.9233
8.473;0.9297
8.49;0.9364
8.507;0.9393
8.524;0.929
8.541;0.9281
8.557;0.9234
8.574;0.9197
8.591;0.8994
8.608;0.8874
8.625;0.8954
8.641;0.9006
8.658;0.8774
8.675;0.8481
8.692;0.8428
8.709;0.8488
8.726;0.8382
8.742;0.8436
8.759;0.8332
8.776;0.8225
8.793;0.824
8.809;0.8286
8.826;0.8379
8.843;0.8444
8.86;0.8497
8.876;0.8516
8.893;0.8526
8.91;0.8505
8.926;0.8073
8.943;0.7545
8.96;0.7513
8.976;0.7551
8.993;0.7577
9.01;0.761
9.027;0.765
9.044;0.7688
9.06;0.7724
9.077;0.7732
9.094;0.7646
9.111;0.7581
9.128;0.7578
9.144;0.7569
9.161;0.7531
9.178;0.7455
9.194;0.7288
9.211;0.7207
9.228;0.7214
9.244;0.7258
9.261;0.722
9.278;0.7002
9.294;0.6947
9.311;0.692
9.328;0.6957
9.345;0.7016
9.361;0.706
9.378;0.7094
9.395;0.6998
9.412;0.6991
9.428;0.6997
9.445;0.6734
9.462;0.6571
9.478;0.6558
9.495;0.6561
9.512;0.657
9.528;0.6571
9.545;0.6592
9.562;0.6591
9.578;0.6616
9.595;0.6638
9.612;0.6665
9.628;0.6702
9.645;0.6761
9.662;0.68
9.679;0.6835
9.695;0.6863
9.712;0.6903
9.729;0.6947
9.746;0.7002
9.762;0.7053
9.779;0.7092
9.796;0.7115
9.812;0.7118
9.829;0.7165
9.846;0.7221
9.862;0.7267
9.879;0.7308
9.896;0.7309
9.913;0.7318
9.929;0.7358
9.946;0.7369
9.963;0.7287
9.979;0.7066
9.996;0.6772
10.01;0.6743
10.03;0.6775
10.05;0.68
10.06;0.6797
