Displacement;Gc (KJ/m²)
mm;KJ/m^2
5.306;0.01209
5.322;0.01278
5.339;0.01254
5.356;0.01398
5.372;0.01485
5.389;0.01446
5.406;0.01391
5.422;0.01337
5.439;0.0143
5.456;0.01331
5.472;0.01158
5.489;0.0102
5.506;0.009758
5.523;0.008904
5.539;0.008355
5.556;0.007573
5.573;0.005336
5.589;0.00466
5.606;0.003845
5.623;0.003744
5.639;0.00358
5.656;0.002238
5.673;0.001847
5.689;0.002209
5.706;0.003863
5.723;0.004725
5.739;0.006711
5.756;0.00589
5.773;0.008076
5.789;0.006511
5.806;0.00596
5.823;0.006869
5.839;0.006434
5.856;0.005102
5.873;0.005205
5.89;0.004594
5.907;0.003847
5.923;0.003565
5.94;0.003484
5.957;0.003201
5.973;0.003769
5.99;0.004603
6.007;0.004964
6.023;0.005629
6.04;0.003914
6.057;0.003453
6.073;0.003398
6.09;0.003664
6.107;0.00396
6.124;0.002507
6.141;0.003192
6.157;0.002248
6.174;0.002002
6.191;0.001092
6.208;-9.067E-4
6.224;-7.201E-4
6.241;1.709E-5
6.258;-0.002359
6.275;-0.002037
6.291;-3.684E-5
6.308;7.116E-4
6.325;-8.57E-4
6.341;6.41E-4
6.358;8.029E-4
6.375;6.392E-4
6.392;0.002327
6.408;0.00203
6.425;5.469E-4
6.442;0.001246
6.458;0.002822
6.475;0.002809
6.492;0.003072
6.509;0.004383
6.525;0.005749
6.542;0.007385
6.559;0.008066
6.575;0.008909
6.592;0.008466
6.609;0.007969
6.625;0.007752
6.642;0.008294
6.659;0.008443
6.675;0.009064
6.692;0.008828
6.709;0.01025
6.726;0.01206
6.742;0.01461
6.759;0.01545
6.776;0.01548
6.792;0.01585
6.809;0.01728
6.826;0.01901
6.842;0.02181
6.859;0.02455
6.876;0.02682
6.893;0.0273
6.909;0.02964
6.926;0.03062
6.943;0.03176
6.959;0.03151
6.976;0.03303
6.993;0.03466
7.009;0.03664
7.026;0.03924
7.043;0.04071
7.059;0.04218
7.076;0.04321
7.093;0.0445
7.109;0.04676
7.126;0.04804
7.143;0.04959
7.159;0.05025
7.176;0.05153
7.193;0.05232
7.209;0.05019
7.226;0.05134
7.243;0.05256
7.259;0.05457
7.276;0.05523
7.293;0.05701
7.31;0.05734
7.327;0.05977
7.343;0.05924
7.36;0.06008
7.377;0.06108
7.393;0.06161
7.41;0.06284
7.427;0.06004
7.443;0.05976
7.46;0.06126
7.477;0.06321
7.493;0.06483
7.51;0.06607
7.527;0.06757
7.543;0.07009
7.56;0.07063
7.577;0.07041
7.593;0.06927
7.61;0.06869
7.627;0.06909
7.643;0.06923
7.66;0.06835
7.677;0.06856
7.694;0.06965
7.711;0.06908
7.727;0.06856
7.744;0.06995
7.761;0.06688
7.778;0.06594
7.794;0.06586
7.811;0.06621
7.828;0.06589
7.845;0.06696
7.861;0.06664
7.878;0.06616
7.895;0.06581
7.911;0.06615
7.928;0.06531
7.945;0.06557
7.962;0.06673
7.978;0.06772
7.995;0.0674
8.012;0.0697
8.028;0.06919
8.045;0.06939
8.062;0.0701
8.078;0.07179
8.095;0.07207
8.112;0.07399
8.129;0.07461
8.145;0.0733
8.162;0.07161
8.179;0.07175
8.196;0.0742
8.212;0.07436
8.229;0.07674
8.246;0.07805
8.263;0.07908
8.279;0.07973
8.296;0.08126
8.313;0.08163
8.329;0.08149
8.346;0.0826
8.363;0.08323
8.38;0.08419
8.397;0.08246
8.414;0.08305
8.431;0.08278
8.448;0.0844
8.464;0.08537
8.481;0.08748
8.498;0.09024
8.514;0.09158
8.531;0.09387
8.548;0.09553
8.565;0.097
8.582;0.09783
8.598;0.0993
8.615;0.1015
8.632;0.1014
8.648;0.1042
8.665;0.1065
8.682;0.1074
8.699;0.1095
8.716;0.1113
8.732;0.1119
8.749;0.1117
8.766;0.1119
8.782;0.1131
8.799;0.115
8.816;0.1184
8.833;0.1205
8.849;0.1225
8.867;0.1245
8.883;0.1275
8.9;0.1286
8.917;0.1291
8.934;0.1302
8.95;0.1324
8.967;0.1329
8.984;0.1338
9;0.1357
9.017;0.1372
9.034;0.1388
9.05;0.142
9.067;0.1429
9.084;0.1437
9.1;0.1446
9.117;0.148
9.134;0.15
9.15;0.1529
9.167;0.1564
9.184;0.1595
9.2;0.1635
9.217;0.1658
9.234;0.1676
9.25;0.17
9.267;0.1717
9.284;0.1737
9.3;0.1753
9.317;0.1782
9.334;0.1792
9.35;0.1833
9.367;0.1859
9.384;0.1875
9.4;0.1906
9.417;0.1935
9.434;0.196
9.451;0.2001
9.467;0.2028
9.484;0.2051
9.501;0.2058
9.517;0.2067
9.534;0.2077
9.551;0.2088
