Displacement;Gc (KJ/m²)
mm;KJ/m^2
0.05433;0.2085
0.071;-0.03122
0.08767;-0.03201
0.1043;-0.03311
0.121;-0.03375
0.1377;-0.01699
0.1543;-0.003431
0.171;0.004366
0.1877;0.005637
0.2043;0.007027
0.221;0.01055
0.2377;0.01044
0.2543;0.008486
0.271;0.008119
0.2877;0.01167
0.3043;0.01123
0.3213;0.01071
0.338;0.01533
0.3547;0.01718
0.3713;0.01622
0.388;0.0157
0.4047;0.0186
0.4213;0.01653
0.438;0.01425
0.4547;0.01389
0.4713;0.0156
0.488;0.01407
0.505;0.0121
0.5217;0.0141
0.5383;0.01412
0.555;0.01275
0.5717;0.013
0.5883;0.01406
0.605;0.01422
0.6217;0.01366
0.6383;0.01373
0.655;0.01413
0.6723;0.01179
0.689;0.0124
0.7057;0.01225
0.7223;0.009329
0.739;0.01047
0.7557;0.008708
0.7723;0.007491
0.789;0.008339
0.8057;0.009895
0.8223;0.01023
0.839;0.008926
0.8557;0.007465
0.8723;0.007368
0.889;0.005826
0.9057;0.004059
0.9223;0.002357
0.939;9.825E-4
0.956;9.758E-4
0.9727;2.411E-5
0.9893;4.179E-4
1.006;5.862E-4
1.023;3.706E-4
1.04;3.366E-4
1.057;0.001021
1.074;0.00175
1.09;5.639E-4
1.107;1.255E-4
1.124;-0.00215
1.14;-0.003756
1.157;-0.005142
1.174;-0.007236
1.19;-0.01003
1.207;-0.01031
1.224;-0.01165
1.241;-0.01172
1.258;-0.01196
1.275;-0.0126
1.292;-0.01327
1.309;-0.0136
1.325;-0.01616
1.342;-0.01527
1.359;-0.01633
1.376;-0.01757
1.392;-0.01935
1.409;-0.02076
1.426;-0.02272
1.443;-0.02375
1.46;-0.02415
1.476;-0.02424
1.493;-0.02398
1.51;-0.02396
1.527;-0.02248
1.543;-0.02361
1.56;-0.02324
1.577;-0.02151
1.594;-0.01954
1.61;-0.01757
1.627;-0.01805
1.644;-0.01588
1.66;-0.01576
1.677;-0.01527
1.694;-0.01584
1.71;-0.01604
1.727;-0.01552
1.744;-0.01523
1.76;-0.01444
1.778;-0.0138
1.795;-0.01478
1.811;-0.01742
1.828;-0.01914
1.845;-0.01741
1.862;-0.01762
1.878;-0.01775
1.895;-0.01775
1.912;-0.01763
1.928;-0.01878
1.945;-0.01858
1.962;-0.01921
1.978;-0.01846
1.995;-0.01764
2.012;-0.01749
2.028;-0.01857
2.045;-0.01966
2.062;-0.01871
2.079;-0.01783
2.096;-0.01778
2.112;-0.01769
2.129;-0.01614
2.146;-0.01596
2.162;-0.01539
2.179;-0.01361
2.196;-0.01343
2.213;-0.01226
2.229;-0.01175
2.246;-0.01168
2.263;-0.01262
2.279;-0.01307
2.296;-0.01367
2.313;-0.01175
2.33;-0.009968
2.346;-0.008144
2.363;-0.007775
2.38;-0.006776
2.397;-0.005585
2.413;-0.006415
2.43;-0.006925
2.447;-0.006857
2.464;-0.007156
2.48;-0.007522
2.497;-0.00536
2.514;-0.005141
2.53;-0.004232
2.547;-0.003386
2.564;-0.003048
2.58;-0.003733
2.597;-0.003781
2.614;-0.002939
2.63;-0.001758
2.647;-3.925E-4
2.664;1.405E-4
2.681;0.001475
2.697;0.002338
2.714;0.001237
2.731;5.558E-4
2.747;-0.001931
2.764;-0.001507
2.781;-0.001343
2.798;-0.001008
2.814;-4.456E-4
2.831;-9.559E-4
2.848;-0.001332
2.865;-8.679E-5
2.882;-0.003331
2.898;-0.005079
2.915;-0.005478
2.932;-0.006292
2.949;-0.00442
2.965;-0.003168
2.982;-0.003557
2.999;-0.003195
3.015;-0.002238
3.032;-0.003542
3.049;-0.003398
3.065;-0.002275
3.082;-0.001391
3.099;1.875E-5
3.115;3.738E-4
3.132;0.001807
3.149;0.001929
3.166;8.438E-4
3.183;-0.001691
3.2;-0.002525
3.217;-0.001309
3.233;0.001557
3.25;0.00243
3.267;0.00363
3.283;0.006027
3.3;0.00771
3.317;0.009599
3.333;0.009173
3.35;0.009067
3.367;0.00973
3.383;0.01008
3.4;0.009906
3.417;0.009229
3.433;0.008328
3.45;0.00762
3.467;0.007201
3.483;0.005565
3.5;0.005349
3.517;0.006786
3.533;0.007034
3.55;0.007536
3.567;0.008817
3.583;0.008217
3.6;0.009333
3.617;0.009156
3.633;0.009864
3.65;0.008467
3.667;0.006237
3.683;0.004826
3.7;0.003382
3.717;0.003046
3.733;0.003614
3.75;0.003827
3.767;0.003841
3.783;0.003958
3.8;0.004446
3.817;0.005948
3.833;0.005508
3.85;0.006759
3.867;0.006798
3.883;0.008456
3.9;0.00949
3.917;0.01002
3.933;0.01036
3.95;0.009
3.967;0.0103
3.983;0.009933
4;0.01109
4.017;0.01198
4.034;0.01154
4.05;0.01148
4.067;0.01159
4.084;0.01255
4.1;0.01289
4.117;0.01204
4.134;0.01379
4.15;0.01441
4.167;0.01515
4.184;0.01464
4.2;0.01654
4.217;0.01733
4.234;0.0151
4.251;0.01413
4.268;0.01426
4.285;0.01286
4.301;0.01301
4.318;0.01192
4.335;0.01219
4.351;0.01164
4.368;0.01208
4.385;0.01042
4.402;0.009992
4.418;0.01072
4.435;0.01096
4.452;0.01119
4.469;0.01113
4.485;0.01185
4.502;0.01176
4.519;0.009821
4.535;0.01121
4.552;0.01098
4.569;0.01353
4.585;0.01366
4.602;0.01357
4.619;0.01472
4.636;0.01412
4.653;0.01425
4.67;0.01312
4.686;0.01356
4.703;0.01441
4.72;0.01305
4.737;0.0135
4.754;0.01464
4.771;0.01501
4.787;0.01585
4.804;0.01631
4.821;0.0168
4.837;0.01386
4.854;0.01318
4.871;0.01576
4.887;0.01474
4.904;0.01524
4.921;0.01548
4.938;0.01594
4.954;0.01702
4.971;0.01702
4.988;0.01702
5.005;0.0153
5.022;0.01516
5.039;0.01503
5.055;0.01554
5.072;0.01536
5.089;0.01612
5.105;0.01619
5.122;0.01736
5.139;0.01709
