Displacement;Gc (KJ/m²)
mm;KJ/m^2
0.058;0.1495
0.07467;-0.0035
0.09133;-4.137E-4
0.108;-8.01E-4
0.1247;-0.00101
0.1413;-8.526E-4
0.158;0.01692
0.1747;0.02582
0.1917;0.02699
0.2087;0.03176
0.2257;0.03318
0.2423;0.02915
0.259;0.02956
0.2757;0.03283
0.2927;0.03294
0.3097;0.03161
0.3267;0.03392
0.3433;0.03527
0.36;0.03338
0.3767;0.03411
0.3937;0.03455
0.4103;0.03495
0.427;0.0331
0.4437;0.03581
0.4603;0.03705
0.477;0.03767
0.4937;0.03925
0.5103;0.0407
0.527;0.04106
0.5437;0.041
0.5603;0.04279
0.577;0.04337
0.5937;0.04366
0.6103;0.04474
0.627;0.0438
0.6437;0.043
0.6607;0.03199
0.6773;0.005021
0.694;-0.005654
0.7107;-0.007035
0.7273;0.01623
0.744;0.03475
0.7607;0.03937
0.7773;0.03949
0.794;0.04004
0.8107;0.04116
0.8273;0.03884
0.844;0.03916
0.8607;0.03951
0.8777;0.03875
0.8943;0.03958
0.911;0.04011
0.9277;0.03836
0.9443;0.03851
0.961;0.03903
0.9777;0.03925
0.9943;0.03971
1.011;0.03764
1.028;0.03611
1.044;0.03626
1.061;0.03456
1.078;0.03358
1.094;0.03178
1.111;0.03053
1.128;0.02852
1.145;0.02868
1.162;0.02758
1.178;0.02493
1.195;0.02351
1.212;0.02369
1.229;0.02596
1.245;0.02685
1.262;0.02895
1.279;0.02909
1.296;0.03031
1.312;0.03008
1.329;0.03041
1.346;0.02815
1.362;0.0282
1.379;0.02645
1.396;0.02506
1.412;0.0219
1.429;0.01985
1.446;0.01712
1.462;0.01501
1.479;0.0126
1.496;0.01008
1.512;0.008196
1.529;0.006307
1.546;0.004047
1.562;9.776E-4
1.579;4.48E-4
1.596;-0.002015
1.612;-0.002813
1.629;-0.004564
1.646;-0.004554
1.662;-0.005409
1.679;-0.005441
1.696;-0.005847
1.712;-0.006211
1.729;-0.006393
1.746;-0.005722
1.762;-0.007709
1.779;-0.008612
1.796;-0.008684
1.813;-0.009623
1.83;-0.009265
1.846;-0.00944
1.863;-0.01005
1.88;-0.0107
1.897;-0.01026
1.914;-0.0115
1.931;-0.0131
1.947;-0.01194
1.964;-0.01159
1.981;-0.01137
1.997;-0.01086
2.014;-0.009224
2.031;-0.00982
2.048;-0.0101
2.065;-0.01087
2.081;-0.01018
2.098;-0.008608
2.115;-0.009048
2.132;-0.007146
2.149;-0.008129
2.166;-0.006698
2.183;-0.006958
2.199;-0.006012
2.216;-0.006002
2.233;-0.006204
2.25;-0.00599
2.266;-0.004736
2.283;-0.003462
2.3;-0.001626
2.316;-0.001022
2.333;-0.001551
2.35;-9.859E-4
2.366;-2.043E-4
2.383;-3.673E-4
2.4;-6.062E-4
2.416;3.498E-4
2.433;8.415E-4
2.45;0.001188
2.467;0.001516
2.484;0.00198
2.5;0.001041
2.517;4.847E-4
2.534;7.282E-4
2.55;0.002151
2.567;0.002876
2.584;0.004764
2.6;0.004943
2.617;0.006148
2.634;0.008453
2.65;0.009858
2.667;0.0101
2.684;0.01093
2.701;0.01159
2.717;0.01149
2.734;0.01152
2.751;0.01152
2.768;0.01053
2.785;0.01184
2.802;0.0123
2.818;0.0122
2.836;0.01022
2.852;0.009483
