Displacement;Gc (KJ/m²)
mm;KJ/m^2
0.058;0.03502
0.07467;0.005115
0.09133;0.007608
0.108;0.006629
0.1247;0.002956
0.1413;0.002097
0.158;0.002881
0.1747;0.0185
0.1913;0.01927
0.2083;0.01938
0.225;0.02965
0.2417;0.02448
0.2583;0.02307
0.275;0.02507
0.2917;0.02642
0.3083;0.02515
0.325;0.0216
0.3417;0.02196
0.3583;0.02376
0.375;0.02037
0.392;0.02085
0.4087;0.02192
0.4253;0.02225
0.442;0.02097
0.4587;0.02427
0.4757;0.02608
0.4923;0.02372
0.509;0.02375
0.5257;0.02527
0.5423;0.0253
0.5593;0.02367
0.576;0.02333
0.5927;0.02476
0.6093;0.02357
0.626;0.02158
0.6427;0.02046
0.6593;0.01741
0.676;-0.008051
0.693;-0.02916
0.71;-0.03185
0.7267;-0.03293
0.7433;-0.01265
0.76;0.01022
0.7773;0.01388
0.794;0.01637
0.8107;0.0199
0.8277;0.02772
0.8443;0.02877
0.8613;0.02724
0.878;0.0256
0.8947;0.02573
0.9117;0.0251
0.9283;0.0236
0.945;0.02466
0.962;0.02575
0.979;0.02573
0.9957;0.02281
1.012;0.02367
1.029;0.02378
1.046;0.02181
1.063;0.02052
1.08;0.02043
1.096;0.01781
1.113;0.01773
1.13;0.01619
1.146;0.0141
1.163;0.01244
1.18;0.01178
1.196;0.01078
1.213;0.00973
1.23;0.009101
1.246;0.008941
1.263;0.008472
1.28;0.008047
1.296;0.006725
1.313;0.005568
1.33;0.006184
1.346;0.0042
1.363;0.002562
1.38;1.633E-4
1.397;-0.001806
1.413;-0.005371
1.43;-0.008032
1.447;-0.008478
1.463;-0.008026
1.48;-0.007153
1.497;-0.006164
1.514;-0.005593
1.53;-0.00311
1.547;-0.002984
1.564;-0.003871
1.58;-0.004006
1.597;-0.004865
1.614;-0.005533
1.631;-0.006384
1.647;-0.00861
1.664;-0.00954
1.681;-0.01126
1.697;-0.01151
1.714;-0.01188
1.731;-0.01138
1.747;-0.01097
1.764;-0.01192
1.781;-0.01254
1.798;-0.01395
1.814;-0.01512
1.831;-0.01377
1.848;-0.01506
1.864;-0.01585
1.881;-0.01554
1.898;-0.01426
1.915;-0.01466
1.932;-0.01491
1.949;-0.0158
1.966;-0.01433
1.982;-0.01651
1.999;-0.01996
2.016;-0.02363
2.032;-0.02289
2.049;-0.02448
2.066;-0.02517
2.082;-0.02574
2.099;-0.02518
2.116;-0.0249
2.132;-0.02505
2.149;-0.02455
2.166;-0.02482
2.183;-0.02621
2.199;-0.02651
2.216;-0.0283
2.233;-0.02885
2.25;-0.02868
2.266;-0.03006
2.283;-0.03091
2.3;-0.03071
2.316;-0.03067
2.333;-0.03039
2.35;-0.03088
2.366;-0.03347
2.383;-0.03359
2.4;-0.03311
2.417;-0.03236
2.434;-0.03168
2.45;-0.03115
2.467;-0.03187
2.484;-0.03143
2.5;-0.0307
2.517;-0.02977
2.534;-0.03078
2.55;-0.03166
2.567;-0.03102
2.584;-0.03229
2.6;-0.03228
2.617;-0.03121
2.634;-0.033
2.65;-0.03415
2.667;-0.03346
2.684;-0.03353
2.701;-0.03349
2.717;-0.03425
2.734;-0.03593
2.751;-0.03616
2.767;-0.03786
2.784;-0.04002
2.801;-0.04159
2.817;-0.04177
2.834;-0.04224
2.851;-0.04151
2.868;-0.04169
2.884;-0.04392
2.901;-0.04471
2.918;-0.04345
2.935;-0.04401
2.951;-0.04214
2.968;-0.04202
2.985;-0.04161
3.001;-0.04065
3.018;-0.04028
3.035;-0.0393
3.052;-0.03825
3.069;-0.03704
3.085;-0.03656
3.102;-0.03571
3.119;-0.03639
3.136;-0.03623
3.152;-0.03486
3.169;-0.03423
3.186;-0.03554
3.202;-0.03444
3.219;-0.03403
3.236;-0.03302
3.252;-0.03235
3.269;-0.03192
3.286;-0.03383
3.303;-0.0331
3.319;-0.03307
3.336;-0.03425
3.353;-0.03473
3.37;-0.03499
3.386;-0.03465
3.403;-0.03395
3.42;-0.0312
3.436;-0.03066
3.453;-0.02912
3.47;-0.02853
3.487;-0.0285
3.503;-0.0277
3.52;-0.02762
3.537;-0.02586
3.553;-0.02467
3.57;-0.02429
3.587;-0.02527
3.603;-0.02539
3.62;-0.02579
3.637;-0.02828
3.653;-0.02989
3.67;-0.02883
3.687;-0.02911
3.703;-0.02907
3.72;-0.02924
3.737;-0.02962
3.754;-0.03034
3.77;-0.02923
3.787;-0.0287
3.804;-0.02798
3.82;-0.02645
3.837;-0.02644
3.854;-0.02707
3.87;-0.02575
3.887;-0.02552
3.904;-0.02497
3.92;-0.0265
3.937;-0.0264
3.954;-0.02938
3.97;-0.0292
3.987;-0.02758
4.004;-0.02614
4.02;-0.02619
4.037;-0.02391
4.054;-0.02168
4.07;-0.02013
4.087;-0.01907
4.104;-0.01719
4.12;-0.01556
4.137;-0.01347
4.154;-0.01263
4.17;-0.01153
4.187;-0.01065
4.204;-0.008973
4.221;-0.009916
4.238;-0.01207
4.254;-0.0126
4.271;-0.01255
4.288;-0.01221
4.304;-0.01075
4.321;-0.01087
4.338;-0.01214
4.355;-0.0117
4.372;-0.01145
4.388;-0.01009
4.405;-0.008058
4.422;-0.007177
4.438;-0.006053
4.455;-0.00535
4.472;-0.005236
4.488;-0.006064
4.505;-0.006684
4.522;-0.006816
4.539;-0.006007
4.555;-0.005254
4.572;-0.003066
4.589;-0.002173
4.605;-5.94E-4
4.622;0.001408
4.639;0.001139
4.656;0.002827
4.672;0.002603
4.689;0.003539
4.706;0.004367
4.723;0.005613
4.74;0.005619
4.756;0.005317
4.773;0.006537
4.79;0.007269
4.806;0.007632
4.823;0.009187
4.84;0.008363
4.856;0.009842
4.873;0.009323
4.89;0.0101
4.906;0.01209
4.923;0.01453
4.94;0.01577
4.957;0.01773
4.973;0.01811
4.99;0.01902
5.007;0.01875
5.024;0.01917
5.04;0.02049
5.057;0.02192
5.074;0.02245
5.09;0.02376
5.107;0.02546
5.124;0.02629
5.14;0.02559
5.157;0.02718
5.174;0.02772
5.191;0.02772
5.208;0.02837
5.225;0.02588
5.242;0.02417
5.258;0.02491
5.275;0.02489
5.292;0.02554
5.308;0.02561
5.325;0.02448
5.342;0.02515
5.358;0.025
5.375;0.02444
5.392;0.0234
5.409;0.02411
5.426;0.02572
5.442;0.0248
5.459;0.02604
5.476;0.02655
5.492;0.02702
5.509;0.0266
5.526;0.02571
5.543;0.02586
5.56;0.02604
5.577;0.02602
5.593;0.0267
5.61;0.02843
5.627;0.02887
5.643;0.03064
5.66;0.03043
5.677;0.03215
5.694;0.03181
5.71;0.03194
5.727;0.0318
5.744;0.03323
5.761;0.03259
5.777;0.0314
5.794;0.03074
5.811;0.03204
5.828;0.03283
5.844;0.0328
5.861;0.03393
5.878;0.03462
5.895;0.03656
5.911;0.03655
5.928;0.03803
5.945;0.03859
5.962;0.03824
5.979;0.03756
5.995;0.03761
6.012;0.037
6.029;0.03673
6.046;0.03811
6.062;0.03777
6.079;0.03905
6.096;0.03883
6.113;0.03878
6.129;0.03799
6.146;0.03702
6.163;0.03578
6.179;0.03513
6.196;0.03633
6.213;0.03679
6.23;0.03579
6.247;0.03689
6.263;0.03787
6.28;0.03888
6.297;0.03904
6.313;0.03956
6.33;0.03846
6.347;0.04063
6.363;0.03986
6.38;0.04057
6.397;0.03989
6.413;0.03958
6.43;0.0391
6.447;0.03815
6.463;0.03933
6.48;0.03947
6.497;0.04177
6.513;0.04465
6.53;0.04534
6.547;0.04641
6.563;0.04712
6.58;0.04742
6.597;0.04926
6.613;0.04974
6.63;0.05073
6.647;0.05152
6.663;0.05226
6.68;0.0535
6.697;0.05182
6.713;0.04902
6.73;0.04943
6.747;0.05113
6.763;0.05045
6.78;0.05107
6.797;0.05097
6.813;0.05108
6.83;0.05196
6.847;0.0529
6.863;0.05226
6.88;0.05346
6.897;0.05194
6.913;0.05214
6.93;0.05279
6.947;0.05354
6.963;0.05487
6.98;0.05612
6.997;0.05588
7.014;0.05587
7.03;0.05321
7.047;0.05449
7.064;0.05532
7.08;0.05543
7.097;0.05649
7.114;0.05863
7.13;0.05996
7.147;0.05989
7.164;0.05909
7.181;0.05886
7.197;0.05899
7.214;0.06113
7.231;0.06125
7.248;0.06275
7.265;0.06196
7.281;0.06111
7.298;0.06117
7.315;0.0619
7.331;0.06268
7.348;0.06404
7.365;0.06464
7.381;0.06719
7.398;0.06875
7.415;0.06847
7.431;0.0698
7.448;0.07175
7.465;0.07268
7.481;0.07255
7.498;0.07379
7.515;0.07428
7.531;0.07276
7.548;0.07142
7.565;0.07278
7.582;0.07311
7.599;0.07287
7.615;0.07198
7.632;0.07379
7.649;0.07267
7.666;0.07308
7.683;0.0751
7.699;0.07494
7.716;0.0753
7.733;0.07471
7.749;0.07572
7.766;0.07508
7.783;0.07726
7.8;0.07522
7.816;0.07312
7.833;0.07265
7.85;0.07289
7.867;0.0737
7.883;0.07407
7.9;0.07329
7.917;0.07474
7.933;0.07525
7.95;0.07506
7.967;0.0783
7.983;0.0797
8;0.08022
8.017;0.08021
8.033;0.08244
8.05;0.08272
8.067;0.08312
8.083;0.08451
8.1;0.08626
8.117;0.08912
8.133;0.08767
8.15;0.08763
8.167;0.08949
8.183;0.08903
8.2;0.09107
8.217;0.09273
8.233;0.09314
8.25;0.09378
8.267;0.09531
8.283;0.09694
8.3;0.09697
8.317;0.09788
8.333;0.09821
8.35;0.09815
8.367;0.09881
8.383;0.09976
8.4;0.09989
8.417;0.09658
8.433;0.09662
8.45;0.09605
8.467;0.0975
8.483;0.09811
8.5;0.09827
8.517;0.09819
8.533;0.09679
8.55;0.09693
8.567;0.09676
8.583;0.09627
8.6;0.09672
8.617;0.09419
8.633;0.0951
8.65;0.0965
8.667;0.09743
8.683;0.09839
8.7;0.09852
8.717;0.0982
8.733;0.09723
8.75;0.09598
8.767;0.09552
8.783;0.09683
8.8;0.09734
8.817;0.09792
8.833;0.09869
8.85;0.09948
8.867;0.09992
8.883;0.09837
8.9;0.09948
8.917;0.1002
8.933;0.1003
8.95;0.1006
8.967;0.1019
8.983;0.1037
9;0.1046
9.017;0.105
9.033;0.1037
9.05;0.1019
9.067;0.1013
9.083;0.1031
9.1;0.1041
9.117;0.1059
9.133;0.1067
9.15;0.108
9.167;0.1085
9.183;0.1101
9.2;0.1116
9.217;0.1119
9.234;0.1134
9.251;0.1154
9.267;0.1152
9.284;0.116
9.301;0.1163
9.318;0.1172
9.334;0.1182
9.351;0.1191
9.368;0.1192
9.385;0.12
9.401;0.1181
9.418;0.1173
9.435;0.1188
9.451;0.1198
9.468;0.1219
9.485;0.1238
9.502;0.1249
9.518;0.1271
9.535;0.1284
9.552;0.1289
9.569;0.1303
9.585;0.1314
9.602;0.1323
9.619;0.1307
9.635;0.1321
9.652;0.1328
9.669;0.1325
9.685;0.1346
9.702;0.134
9.719;0.1351
9.736;0.1368
9.752;0.1377
9.769;0.1408
9.786;0.1406
9.802;0.1395
9.819;0.1414
9.836;0.1438
9.853;0.145
9.869;0.1469
9.886;0.1486
9.903;0.1498
9.92;0.1496
9.936;0.1504
9.953;0.1519
9.97;0.1531
9.987;0.1546
10;0.1558
10.02;0.155
10.04;0.157
10.05;0.1583
10.07;0.1594
10.09;0.161
10.1;0.1629
10.12;0.1644
10.14;0.1659
10.15;0.1666
10.17;0.1683
10.19;0.1694
10.21;0.1707
10.22;0.1709
10.24;0.1737
10.26;0.1756
10.27;0.1757
10.29;0.1785
10.31;0.1797
10.32;0.1802
10.34;0.1825
10.36;0.1813
10.37;0.1808
10.39;0.1827
10.41;0.1839
10.42;0.186
10.44;0.1868
10.46;0.1901
10.47;0.1915
10.49;0.1934
10.51;0.1964
10.52;0.1993
10.54;0.2017
10.56;0.2037
10.57;0.2041
10.59;0.2049
10.61;0.2072
10.62;0.208
10.64;0.211
10.66;0.2134
10.67;0.214
10.69;0.2163
10.71;0.2178
10.72;0.2201
10.74;0.2215
10.76;0.2225
10.77;0.2221
10.79;0.2236
10.81;0.2255
10.82;0.2275
10.84;0.2308
10.86;0.2332
10.87;0.2355
10.89;0.2367
10.91;0.2392
10.92;0.2399
10.94;0.2444
10.96;0.2473
10.97;0.248
10.99;0.2512
11.01;0.253
11.02;0.2562
11.04;0.2607
11.06;0.2622
11.07;0.2648
11.09;0.2679
11.11;0.2716
11.12;0.2738
11.14;0.2755
11.16;0.2765
11.17;0.2789
11.19;0.2824
11.21;0.2859
11.22;0.2889
11.24;0.292
11.26;0.2945
11.27;0.2974
11.29;0.2978
11.31;0.298
11.33;0.3013
11.34;0.306
11.36;0.3089
11.38;0.3129
11.39;0.3164
11.41;0.3193
11.43;0.3227
11.44;0.326
11.46;0.3305
11.48;0.3352
11.49;0.3407
11.51;0.3433
11.53;0.3474
11.54;0.3527
11.56;0.3556
11.58;0.359
11.59;0.3613
11.61;0.3648
11.63;0.3696
11.64;0.3749
11.66;0.377
11.68;0.3813
11.69;0.3853
11.71;0.3861
11.73;0.2514
11.74;0.2575
11.76;0.2597
11.78;0.2623
11.79;0.2663
11.81;0.2706
11.83;0.2753
11.84;0.2772
11.86;0.2797
11.88;0.2826
11.89;0.2833
11.91;0.2871
11.93;0.2895
11.94;0.2933
11.96;0.2961
11.98;0.299
11.99;0.3028
12.01;0.3065
12.03;0.3119
12.04;0.316
12.06;0.3205
12.08;0.3237
12.09;0.3262
12.11;0.3303
12.13;0.3355
12.14;0.3398
12.16;0.3416
12.18;0.3456
12.19;0.3496
12.21;0.3538
12.23;0.356
12.24;0.3591
12.26;0.3621
12.28;0.3649
12.29;0.3651
12.31;0.3696
12.33;0.374
12.34;0.3768
12.36;0.3804
12.38;0.3845
12.4;0.3901
12.41;0.394
12.43;0.3987
12.45;0.4055
12.46;0.4093
12.48;0.4114
12.5;0.34
12.51;0.3024
12.53;0.3033
12.55;0.3066
12.56;0.3108
12.58;0.3134
12.6;0.3164
12.61;0.3205
12.63;0.3245
12.65;0.329
12.66;0.3324
12.68;0.3355
12.7;0.3374
12.71;0.3369
12.73;0.3393
12.75;0.3416
12.76;0.3459
12.78;0.3484
12.8;0.3519
12.81;0.3548
12.83;0.3579
12.85;0.362
12.87;0.3636
12.88;0.3668
12.9;0.3709
12.92;0.3748
12.93;0.3784
12.95;0.382
12.97;0.3859
12.98;0.389
13;0.3921
13.02;0.3958
13.03;0.3993
13.05;0.401
13.07;0.4044
13.08;0.4087
13.1;0.4135
13.12;0.418
13.13;0.4223
13.15;0.426
13.17;0.3829
13.18;0.3403
13.2;0.3432
13.22;0.3463
13.23;0.349
13.25;0.3524
13.27;0.3547
13.28;0.3587
13.3;0.3619
13.32;0.3641
13.33;0.3675
13.35;0.3699
13.37;0.3714
13.38;0.3732
13.4;0.3784
13.42;0.3828
13.43;0.3864
13.45;0.3912
13.47;0.3963
13.48;0.4006
13.5;0.4046
13.52;0.4091
13.53;0.4138
13.55;0.4192
13.57;0.4248
13.58;0.4297
13.6;0.4331
13.62;0.438
13.63;0.443
13.65;0.4473
13.67;0.4519
13.68;0.4582
13.7;0.4617
13.72;0.4632
13.73;0.4672
13.75;0.4743
13.77;0.478
13.78;0.3716
13.8;0.3701
13.82;0.3727
13.83;0.3765
13.85;0.3804
13.87;0.3836
13.88;0.3873
13.9;0.3921
13.92;0.3966
13.93;0.4007
13.95;0.4035
13.97;0.4072
13.98;0.4123
14;0.4161
14.02;0.4185
14.03;0.4241
14.05;0.4284
14.07;0.4313
14.08;0.4344
14.1;0.4394
14.12;0.4439
14.13;0.4479
14.15;0.4534
14.17;0.458
14.19;0.4632
14.2;0.4677
14.22;0.4725
14.24;0.4787
14.25;0.4835
14.27;0.4891
14.29;0.4923
14.3;0.4959
14.32;0.3941
14.34;0.3454
14.35;0.349
14.37;0.3513
14.39;0.3533
14.4;0.3566
14.42;0.3611
14.44;0.3644
14.45;0.3666
14.47;0.3678
14.49;0.3705
14.5;0.3749
14.52;0.3793
14.54;0.3836
14.55;0.3859
14.57;0.3901
14.59;0.3932
14.6;0.3962
14.62;0.3999
14.64;0.4032
14.65;0.4059
14.67;0.409
14.69;0.4124
14.71;0.4148
14.72;0.4178
14.74;0.4205
14.76;0.4239
14.77;0.4261
14.79;0.4311
14.81;0.4325
14.82;0.4349
14.84;0.4378
14.86;0.4413
14.87;0.4434
14.89;0.4459
14.91;0.4491
14.92;0.4518
14.94;0.455
14.96;0.4569
14.97;0.4269
14.99;0.3667
15.01;0.3688
15.02;0.3707
15.04;0.3747
15.06;0.3772
15.07;0.3803
15.09;0.3823
15.11;0.3839
15.12;0.3858
15.14;0.39
15.16;0.3926
15.17;0.3951
15.19;0.3975
15.21;0.3974
15.22;0.3994
15.24;0.4036
15.26;0.4075
15.27;0.4115
15.29;0.4158
15.31;0.4196
15.32;0.4238
15.34;0.4258
15.36;0.4318
15.37;0.4347
15.39;0.4387
15.41;0.4408
15.42;0.4423
15.44;0.4471
15.46;0.4506
15.47;0.454
15.49;0.4581
15.51;0.462
15.52;0.466
15.54;0.4672
15.56;0.4694
15.57;0.474
15.59;0.4793
15.61;0.4844
15.62;0.4896
15.64;0.4948
15.66;0.4982
15.67;0.5014
15.69;0.5067
15.71;0.5109
15.72;0.3987
15.74;0.3584
15.76;0.3607
15.78;0.3623
15.79;0.3636
15.81;0.3678
15.83;0.3704
15.84;0.3712
15.86;0.3721
15.88;0.3755
15.89;0.3799
15.91;0.385
15.93;0.3891
15.94;0.3914
15.96;0.3945
15.98;0.3982
15.99;0.4008
16.01;0.4032
16.03;0.4074
16.04;0.4092
16.06;0.4115
16.08;0.4161
16.09;0.4181
16.11;0.4215
16.13;0.4237
16.14;0.4273
16.16;0.4284
16.18;0.4289
16.19;0.4328
16.21;0.4378
16.23;0.4399
16.24;0.4445
16.26;0.4296
16.28;0.3428
16.29;0.3445
16.31;0.3477
16.33;0.3508
16.34;0.3523
16.36;0.3548
16.38;0.3572
16.39;0.358
16.41;0.3587
16.43;0.3618
16.44;0.3647
16.46;0.3684
16.48;0.3704
16.49;0.3743
16.51;0.3771
16.53;0.3797
16.54;0.3825
16.56;0.387
16.58;0.3911
16.59;0.3936
16.61;0.3964
16.63;0.3986
16.64;0.4017
16.66;0.4049
16.68;0.4082
16.69;0.4113
16.71;0.3986
16.73;0.343
16.74;0.345
16.76;0.3493
16.78;0.3502
16.79;0.3527
16.81;0.3555
16.83;0.3595
16.84;0.3613
16.86;0.3636
16.88;0.3666
16.89;0.3674
16.91;0.3692
16.93;0.3729
16.95;0.3749
16.96;0.378
16.98;0.3813
17;0.3835
17.01;0.3882
17.03;0.3922
17.05;0.3962
17.06;0.399
17.08;0.3999
17.1;0.4032
17.11;0.4063
17.13;0.4081
17.15;0.4124
17.16;0.4151
17.18;0.42
17.2;0.4243
17.21;0.4312
17.23;0.4337
17.25;0.4374
17.26;0.4432
17.28;0.4479
17.3;0.4513
17.31;0.454
17.33;0.4593
17.35;0.4647
17.36;0.4672
17.38;0.4469
17.4;0.3365
17.41;0.3391
17.43;0.3418
17.45;0.3435
17.46;0.3479
17.48;0.3503
17.5;0.3528
17.51;0.3557
17.53;0.3583
17.55;0.3619
17.57;0.365
17.58;0.3657
17.6;0.3703
17.62;0.375
17.63;0.3786
17.65;0.3828
17.67;0.3859
17.68;0.3907
17.7;0.394
17.72;0.3965
17.73;0.3989
17.75;0.4005
17.77;0.4035
17.78;0.4078
17.8;0.4124
17.82;0.4138
17.83;0.4168
17.85;0.4218
17.87;0.4259
17.88;0.4278
17.9;0.3553
17.92;0.337
17.93;0.3396
17.95;0.3423
17.97;0.3411
17.98;0.3436
18;0.3454
18.02;0.3448
18.04;0.3452
18.05;0.3471
18.07;0.3507
18.09;0.3535
18.1;0.3553
18.12;0.3578
18.14;0.3601
18.15;0.3624
18.17;0.3651
18.19;0.3672
18.2;0.3699
18.22;0.3719
18.24;0.3747
18.25;0.3787
18.27;0.384
18.29;0.3875
18.3;0.3907
18.32;0.3929
18.34;0.3979
18.35;0.4022
18.37;0.4055
18.39;0.4082
18.4;0.4109
18.42;0.4156
18.44;0.4186
18.45;0.4213
18.47;0.4262
18.49;0.431
18.5;0.4338
18.52;0.4369
18.54;0.4041
18.55;0.3162
18.57;0.321
18.59;0.3233
18.6;0.3251
18.62;0.3291
18.64;0.3324
18.65;0.3351
18.67;0.3365
18.69;0.3378
18.7;0.341
18.72;0.3449
18.74;0.3474
18.75;0.3507
18.77;0.3524
18.79;0.3555
18.8;0.3595
18.82;0.3629
18.84;0.3665
18.85;0.3709
18.87;0.3719
18.89;0.3727
18.9;0.3782
18.92;0.3819
18.94;0.3858
18.95;0.3347
18.97;0.3106
18.99;0.3132
19;0.3168
19.02;0.3184
19.04;0.3217
19.05;0.3226
19.07;0.3249
19.09;0.3271
19.1;0.3307
19.12;0.3326
19.14;0.3355
19.15;0.3368
19.17;0.3411
19.19;0.3444
19.21;0.3465
19.22;0.3466
19.24;0.3478
19.26;0.3506
19.27;0.3532
19.29;0.3254
19.31;0.2834
19.32;0.2856
19.34;0.2886
19.36;0.2913
19.37;0.2944
19.39;0.298
19.41;0.2986
19.42;0.3023
19.44;0.3046
19.46;0.307
19.47;0.308
19.49;0.312
19.51;0.3158
19.52;0.318
19.54;0.3173
19.56;0.3196
19.57;0.3236
19.59;0.3264
19.61;0.3307
19.62;0.3363
19.64;0.3398
19.66;0.3428
19.67;0.3461
19.69;0.3485
19.71;0.3528
19.72;0.3551
19.74;0.3564
19.76;0.3607
19.77;0.3661
19.79;0.3688
19.81;0.3733
19.82;0.3768
19.84;0.3791
19.86;0.3837
19.88;0.3867
19.89;0.3904
19.91;0.3949
19.93;0.3986
19.94;0.3761
19.96;0.2895
19.98;0.2915
19.99;0.2937
20.01;0.2949
20.03;0.2967
20.04;0.3002
20.06;0.3026
20.08;0.3053
20.09;0.3084
20.11;0.3119
20.13;0.3145
20.14;0.3186
20.16;0.3218
20.18;0.3248
20.19;0.3269
20.21;0.3305
20.23;0.3348
20.24;0.338
20.26;0.3413
20.28;0.3438
20.29;0.3457
20.31;0.3483
20.33;0.3497
20.34;0.3522
20.36;0.3563
20.38;0.3601
20.39;0.3652
20.41;0.3685
20.43;0.3722
20.44;0.3745
20.46;0.3785
20.48;0.3816
