Time [s]	Channel 1	Channel 2	Channel 3	Channel 4	Solar 1\t	Solar 2
1.7000000E-1	6.2766545E+1	6.1085709E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.2100000E-1	1.2132718E+1	1.1896182E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.7100000E-1	1.2129568E+1	1.1892648E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.2200000E-1	1.2119182E+1	1.1923031E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
3.7200000E-1	1.2111732E+1	1.1949349E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.2200000E-1	1.2100895E+1	1.1944015E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
4.7300000E-1	1.2170411E+1	1.1987495E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.2300000E-1	1.2665221E+1	1.2481560E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
5.7400000E-1	1.3296959E+1	1.2919761E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.2400000E-1	1.3823728E+1	1.3386119E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
6.7400000E-1	1.3436286E+1	1.2968983E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
7.2400000E-1	1.3069163E+1	1.2578179E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
7.7400000E-1	1.3195811E+1	1.2673013E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
8.2500000E-1	1.3146230E+1	1.2664752E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
8.7500000E-1	1.3119151E+1	1.2634131E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
9.2500000E-1	1.3150052E+1	1.2637026E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
9.7500000E-1	1.3178032E+1	1.2663332E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.0250000E+0	1.3132509E+1	1.2654142E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.0750000E+0	1.3148023E+1	1.2634387E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.1250000E+0	1.3203955E+1	1.2665961E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.1750000E+0	1.3202989E+1	1.2679929E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.2250000E+0	1.3174615E+1	1.2654007E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.2750000E+0	1.3252665E+1	1.2669923E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.3250000E+0	1.3303392E+1	1.2703440E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.3750000E+0	1.3274460E+1	1.2703788E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.4250000E+0	1.3300203E+1	1.2695305E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.4750000E+0	1.3369323E+1	1.2705105E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.5250000E+0	1.3404985E+1	1.2744319E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.5750000E+0	1.3378049E+1	1.2736649E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.6250000E+0	1.3394777E+1	1.2730940E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.6750000E+0	1.3466562E+1	1.2767631E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.7250000E+0	1.3487560E+1	1.2769019E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.7750000E+0	1.3560991E+1	1.2848088E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.8250000E+0	1.4131674E+1	1.3410573E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.8750000E+0	1.4926695E+1	1.4342600E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.9250000E+0	1.5826977E+1	1.5561187E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
1.9750000E+0	1.6958685E+1	1.6826621E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.0250000E+0	1.8279218E+1	1.8128179E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.0750000E+0	1.9525935E+1	1.9108288E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.1250000E+0	2.0726778E+1	2.0008039E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.1750000E+0	2.1898438E+1	2.1139190E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.2250000E+0	2.3090584E+1	2.2214497E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.2750000E+0	2.4305434E+1	2.3405142E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.3250000E+0	2.5507854E+1	2.4582191E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.3760000E+0	2.6738074E+1	2.5790552E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.4260000E+0	2.7956826E+1	2.6990787E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.4770000E+0	2.9035316E+1	2.8064341E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.5270000E+0	3.0089696E+1	2.9119510E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
2.5770000E+0	3.1481540E+1	3.0494216E+1	0.0000000E+0	0.0000000E+0	1.0000000E+2	0.0000000E+0
