Temperature (°C),Heat flow (W/g)
133.49,-0.25
133.5,-0.25
133.52,-0.25
133.54,-0.25
133.55,-0.25
133.57,-0.25
133.59,-0.25
133.6,-0.25
133.62,-0.25
133.64,-0.25
133.65,-0.25
133.67,-0.25
133.69,-0.25
133.7,-0.25
133.72,-0.25
133.74,-0.25
133.75,-0.25
133.77,-0.25
133.79,-0.25
133.8,-0.25
133.82,-0.25
133.84,-0.25
133.86,-0.25
133.87,-0.25
133.89,-0.25
133.9,-0.25
133.92,-0.25
133.94,-0.25
133.96,-0.25
133.97,-0.25
133.99,-0.25
134.01,-0.25
134.02,-0.25
134.04,-0.25
134.05,-0.25
134.07,-0.25
134.09,-0.25
134.11,-0.25
134.12,-0.25
134.14,-0.25
134.16,-0.25
134.17,-0.251
134.19,-0.251
134.21,-0.251
134.22,-0.251
134.24,-0.251
134.26,-0.251
134.27,-0.251
134.29,-0.251
134.31,-0.251
134.32,-0.251
134.34,-0.251
134.35,-0.251
134.37,-0.251
134.39,-0.251
134.41,-0.251
134.42,-0.251
134.44,-0.251
134.46,-0.251
134.47,-0.251
134.49,-0.251
134.51,-0.251
134.52,-0.251
134.54,-0.251
134.56,-0.251
134.57,-0.251
134.59,-0.251
134.61,-0.251
134.62,-0.251
134.64,-0.251
134.66,-0.251
134.67,-0.251
134.69,-0.251
134.71,-0.251
134.72,-0.251
134.74,-0.251
134.76,-0.251
134.77,-0.251
134.79,-0.251
134.81,-0.251
134.82,-0.251
134.84,-0.251
134.86,-0.251
134.87,-0.251
134.89,-0.251
134.91,-0.251
134.92,-0.251
134.94,-0.251
134.96,-0.251
134.97,-0.251
134.99,-0.251
135.01,-0.251
135.02,-0.251
135.04,-0.251
135.06,-0.251
135.07,-0.251
135.09,-0.251
135.11,-0.251
135.12,-0.251
135.14,-0.251
135.16,-0.251
135.17,-0.251
135.19,-0.251
135.21,-0.251
135.22,-0.251
135.24,-0.251
135.26,-0.251
135.27,-0.251
135.29,-0.251
135.31,-0.251
135.32,-0.251
135.34,-0.251
135.36,-0.251
135.37,-0.251
135.39,-0.251
135.41,-0.251
135.42,-0.251
135.44,-0.251
135.46,-0.251
135.47,-0.251
135.49,-0.251
135.51,-0.251
135.52,-0.251
135.54,-0.251
135.56,-0.251
135.57,-0.251
135.59,-0.251
135.61,-0.251
135.62,-0.251
135.64,-0.251
135.66,-0.251
135.67,-0.251
135.69,-0.251
135.71,-0.251
135.72,-0.251
135.74,-0.251
135.76,-0.251
135.77,-0.251
135.79,-0.251
135.81,-0.251
135.82,-0.251
135.84,-0.251
135.86,-0.251
135.87,-0.251
135.89,-0.251
135.91,-0.251
135.92,-0.251
135.94,-0.251
135.96,-0.251
135.97,-0.251
135.99,-0.251
136.01,-0.251
136.02,-0.251
136.04,-0.251
136.06,-0.251
136.07,-0.251
136.09,-0.251
136.11,-0.251
136.12,-0.251
136.14,-0.251
136.16,-0.251
136.17,-0.251
136.19,-0.251
136.21,-0.252
136.22,-0.252
136.24,-0.252
136.26,-0.252
136.27,-0.252
136.29,-0.252
136.31,-0.252
136.32,-0.252
136.34,-0.252
136.36,-0.252
136.38,-0.252
136.39,-0.252
136.41,-0.252
136.42,-0.252
136.44,-0.252
136.46,-0.252
136.47,-0.252
136.49,-0.252
136.51,-0.252
136.52,-0.252
136.54,-0.252
136.56,-0.252
136.57,-0.252
136.59,-0.252
136.61,-0.252
136.62,-0.252
136.64,-0.252
136.66,-0.252
136.67,-0.252
136.69,-0.252
136.71,-0.252
136.72,-0.252
136.74,-0.252
136.76,-0.252
136.77,-0.252
136.79,-0.252
136.81,-0.252
136.82,-0.252
136.84,-0.252
136.86,-0.252
136.87,-0.252
136.89,-0.252
136.91,-0.252
136.92,-0.252
136.94,-0.252
136.96,-0.252
136.98,-0.252
136.99,-0.252
137.01,-0.252
137.02,-0.252
137.04,-0.252
137.06,-0.252
137.07,-0.252
137.09,-0.252
137.11,-0.252
137.12,-0.252
137.14,-0.252
137.16,-0.252
137.17,-0.252
137.19,-0.252
137.21,-0.252
137.22,-0.252
137.24,-0.252
137.26,-0.252
137.27,-0.252
137.29,-0.252
137.31,-0.252
137.32,-0.252
137.34,-0.252
137.36,-0.252
137.37,-0.252
137.39,-0.252
137.41,-0.252
137.42,-0.252
137.44,-0.252
137.46,-0.252
137.47,-0.252
137.49,-0.252
137.51,-0.252
137.53,-0.252
137.54,-0.252
137.56,-0.252
137.57,-0.252
137.59,-0.252
137.61,-0.252
137.63,-0.252
137.64,-0.252
137.66,-0.252
137.67,-0.252
137.69,-0.252
137.71,-0.252
137.73,-0.252
137.74,-0.252
137.76,-0.252
137.78,-0.252
137.79,-0.252
137.81,-0.252
137.82,-0.252
137.84,-0.252
137.86,-0.252
137.87,-0.252
137.89,-0.252
137.91,-0.252
137.93,-0.252
137.94,-0.252
137.96,-0.252
137.97,-0.252
137.99,-0.252
138.01,-0.252
138.03,-0.252
138.04,-0.252
138.06,-0.252
138.07,-0.252
138.09,-0.252
138.11,-0.252
138.13,-0.252
138.14,-0.252
138.16,-0.252
138.17,-0.252
138.19,-0.252
138.21,-0.252
138.23,-0.252
138.24,-0.252
138.26,-0.252
138.28,-0.252
138.29,-0.252
138.31,-0.252
138.33,-0.252
138.34,-0.252
138.36,-0.252
138.38,-0.252
138.39,-0.252
138.41,-0.252
138.43,-0.252
138.44,-0.253
138.46,-0.253
138.48,-0.253
138.49,-0.253
138.51,-0.253
138.53,-0.253
138.54,-0.253
138.56,-0.253
138.58,-0.253
138.59,-0.253
138.61,-0.253
138.63,-0.253
138.64,-0.253
138.66,-0.253
138.68,-0.253
138.69,-0.253
138.71,-0.253
138.73,-0.253
138.74,-0.253
138.76,-0.253
138.78,-0.253
138.79,-0.253
138.81,-0.253
138.83,-0.253
138.84,-0.253
138.86,-0.253
138.88,-0.253
138.89,-0.253
138.91,-0.253
138.93,-0.253
138.94,-0.253
138.96,-0.253
138.98,-0.253
138.99,-0.253
139.01,-0.253
139.03,-0.253
139.04,-0.253
139.06,-0.253
139.08,-0.253
139.09,-0.253
139.11,-0.253
139.13,-0.253
139.14,-0.253
139.16,-0.253
139.18,-0.253
139.19,-0.253
139.21,-0.253
139.23,-0.253
139.24,-0.253
139.26,-0.253
139.28,-0.253
139.29,-0.253
139.31,-0.253
139.33,-0.253
139.34,-0.253
139.36,-0.253
139.38,-0.253
139.39,-0.253
139.41,-0.253
139.43,-0.253
139.44,-0.253
139.46,-0.253
139.48,-0.253
139.49,-0.253
139.51,-0.253
139.53,-0.253
139.54,-0.253
139.56,-0.253
139.58,-0.253
139.59,-0.253
139.61,-0.253
139.63,-0.253
139.64,-0.253
139.66,-0.253
139.68,-0.253
139.69,-0.253
139.71,-0.253
139.73,-0.253
139.74,-0.253
139.76,-0.253
139.78,-0.253
139.79,-0.253
139.81,-0.253
139.83,-0.253
139.84,-0.253
139.86,-0.253
139.88,-0.253
139.89,-0.253
139.91,-0.253
139.93,-0.253
139.94,-0.253
139.96,-0.253
139.98,-0.253
139.99,-0.253
140.01,-0.253
140.03,-0.253
140.04,-0.253
140.06,-0.253
140.08,-0.253
140.09,-0.253
140.11,-0.253
140.13,-0.253
140.14,-0.253
140.16,-0.253
140.18,-0.253
140.19,-0.253
140.21,-0.253
140.23,-0.253
140.24,-0.253
140.26,-0.253
140.27,-0.253
140.29,-0.253
140.31,-0.253
140.33,-0.253
140.34,-0.253
140.36,-0.253
140.38,-0.253
140.39,-0.253
140.41,-0.253
140.43,-0.253
140.44,-0.253
140.46,-0.253
140.48,-0.253
140.49,-0.253
140.51,-0.253
140.53,-0.253
140.54,-0.253
140.56,-0.253
140.58,-0.253
140.59,-0.253
140.61,-0.253
140.62,-0.253
140.64,-0.253
140.66,-0.253
140.68,-0.254
140.69,-0.254
140.71,-0.254
140.73,-0.254
140.74,-0.254
140.76,-0.254
140.78,-0.254
140.79,-0.254
140.81,-0.254
140.83,-0.254
140.84,-0.254
140.86,-0.254
140.88,-0.254
140.89,-0.254
140.91,-0.254
140.93,-0.254
140.94,-0.254
140.96,-0.254
140.98,-0.254
140.99,-0.254
141.01,-0.254
141.03,-0.254
141.05,-0.254
141.06,-0.254
141.08,-0.254
141.09,-0.254
141.11,-0.254
141.13,-0.254
141.14,-0.254
141.16,-0.254
141.18,-0.254
141.19,-0.254
141.21,-0.254
141.23,-0.254
141.24,-0.254
141.26,-0.254
141.28,-0.254
141.29,-0.254
141.31,-0.254
141.33,-0.254
141.34,-0.254
141.36,-0.254
141.38,-0.254
141.39,-0.254
141.41,-0.254
141.43,-0.254
141.44,-0.254
141.46,-0.254
141.48,-0.254
141.49,-0.254
141.51,-0.254
141.53,-0.254
141.54,-0.254
141.56,-0.254
141.58,-0.254
141.59,-0.254
141.61,-0.254
141.63,-0.254
141.64,-0.254
141.66,-0.254
141.68,-0.254
141.69,-0.254
141.71,-0.254
141.73,-0.254
141.74,-0.254
141.76,-0.254
141.78,-0.254
141.79,-0.254
141.81,-0.254
141.83,-0.254
141.84,-0.254
141.86,-0.254
141.88,-0.254
141.89,-0.254
141.91,-0.254
141.93,-0.254
141.94,-0.254
141.96,-0.254
141.98,-0.254
141.99,-0.254
142.01,-0.254
142.03,-0.254
142.04,-0.254
142.06,-0.254
142.08,-0.254
142.09,-0.254
142.11,-0.254
142.13,-0.254
142.14,-0.254
142.16,-0.254
142.18,-0.254
142.19,-0.254
142.21,-0.254
142.23,-0.254
142.25,-0.254
142.26,-0.254
142.28,-0.254
142.3,-0.254
142.31,-0.254
142.33,-0.254
142.34,-0.254
142.36,-0.254
142.38,-0.254
142.39,-0.254
142.41,-0.254
142.43,-0.254
142.44,-0.254
142.46,-0.254
142.48,-0.254
142.5,-0.254
142.51,-0.254
142.53,-0.254
142.54,-0.254
142.56,-0.254
142.58,-0.254
142.59,-0.254
142.61,-0.254
142.63,-0.254
142.64,-0.254
142.66,-0.254
142.68,-0.255
142.7,-0.255
142.71,-0.255
142.73,-0.255
142.74,-0.255
142.76,-0.255
142.78,-0.255
142.79,-0.255
142.81,-0.255
142.83,-0.255
142.85,-0.255
142.86,-0.255
142.88,-0.255
142.89,-0.255
142.91,-0.255
142.93,-0.255
142.94,-0.255
142.96,-0.255
142.98,-0.255
142.99,-0.255
143.01,-0.255
143.03,-0.255
143.04,-0.255
143.06,-0.255
143.08,-0.255
143.09,-0.255
143.11,-0.255
143.13,-0.255
143.15,-0.255
143.16,-0.255
143.18,-0.255
143.2,-0.255
143.21,-0.255
143.23,-0.255
143.25,-0.255
143.26,-0.255
143.28,-0.255
143.3,-0.255
143.31,-0.255
143.33,-0.255
143.34,-0.255
143.36,-0.255
143.38,-0.255
143.4,-0.255
143.41,-0.255
143.43,-0.255
143.45,-0.255
143.46,-0.255
143.48,-0.255
143.5,-0.255
143.51,-0.255
143.53,-0.255
143.55,-0.255
143.56,-0.255
143.58,-0.255
143.6,-0.255
143.61,-0.255
143.63,-0.255
143.65,-0.255
143.66,-0.255
143.68,-0.255
143.7,-0.255
143.71,-0.255
143.73,-0.255
143.74,-0.255
143.76,-0.255
143.78,-0.255
143.79,-0.255
143.81,-0.255
143.83,-0.255
143.85,-0.255
143.86,-0.255
143.88,-0.255
143.9,-0.255
143.91,-0.255
143.93,-0.255
143.95,-0.255
143.96,-0.255
143.98,-0.255
144.0,-0.255
144.01,-0.255
144.03,-0.255
144.05,-0.255
144.06,-0.255
144.08,-0.255
144.1,-0.255
144.11,-0.255
144.13,-0.255
144.15,-0.255
144.16,-0.255
144.18,-0.255
144.2,-0.255
144.21,-0.255
144.23,-0.255
144.25,-0.255
144.26,-0.255
144.28,-0.255
144.3,-0.255
144.31,-0.255
144.33,-0.255
144.35,-0.255
144.36,-0.255
144.38,-0.255
144.4,-0.255
144.41,-0.255
144.43,-0.255
144.45,-0.255
144.46,-0.255
144.48,-0.255
144.5,-0.255
144.51,-0.255
144.53,-0.255
144.55,-0.255
144.56,-0.255
144.58,-0.255
144.6,-0.255
144.61,-0.255
144.63,-0.255
144.65,-0.255
144.66,-0.255
144.68,-0.255
144.7,-0.255
144.71,-0.255
144.73,-0.256
144.75,-0.256
144.76,-0.256
144.78,-0.256
144.8,-0.256
144.81,-0.256
144.83,-0.256
144.85,-0.256
144.86,-0.256
144.88,-0.256
144.9,-0.256
144.91,-0.256
144.93,-0.256
144.95,-0.256
144.96,-0.256
144.98,-0.256
145.0,-0.256
145.01,-0.256
145.03,-0.256
145.05,-0.256
145.06,-0.256
145.08,-0.256
145.1,-0.256
145.11,-0.256
145.13,-0.256
145.15,-0.256
145.16,-0.256
145.18,-0.256
145.2,-0.256
145.21,-0.256
145.23,-0.256
145.25,-0.256
145.26,-0.256
145.28,-0.256
145.3,-0.256
145.31,-0.256
145.33,-0.256
145.35,-0.256
145.36,-0.256
145.38,-0.256
145.4,-0.256
145.41,-0.256
145.43,-0.256
145.45,-0.256
145.46,-0.256
145.48,-0.256
145.5,-0.256
145.51,-0.256
145.53,-0.256
145.55,-0.256
145.56,-0.256
145.58,-0.256
145.6,-0.256
145.61,-0.256
145.63,-0.256
145.65,-0.256
145.66,-0.256
145.68,-0.256
145.7,-0.256
145.71,-0.256
145.73,-0.256
145.75,-0.256
145.76,-0.256
145.78,-0.256
145.8,-0.256
145.81,-0.256
145.83,-0.256
145.85,-0.256
145.86,-0.256
145.88,-0.256
145.9,-0.256
145.91,-0.256
145.93,-0.256
145.95,-0.256
145.96,-0.256
145.98,-0.256
146.0,-0.256
146.01,-0.256
146.03,-0.256
146.05,-0.256
146.06,-0.256
146.08,-0.256
146.1,-0.256
146.11,-0.256
146.13,-0.256
146.15,-0.256
146.16,-0.256
146.18,-0.256
146.2,-0.256
146.21,-0.256
146.23,-0.256
146.25,-0.256
146.26,-0.256
146.28,-0.256
146.3,-0.256
146.31,-0.256
146.33,-0.256
146.35,-0.256
146.36,-0.256
146.38,-0.256
146.4,-0.256
146.41,-0.256
146.43,-0.256
146.45,-0.256
146.46,-0.256
146.48,-0.256
146.5,-0.256
146.51,-0.256
146.53,-0.256
146.55,-0.256
146.56,-0.256
146.58,-0.256
146.6,-0.256
146.61,-0.256
146.63,-0.256
146.65,-0.256
146.66,-0.256
146.68,-0.256
146.7,-0.256
146.71,-0.256
146.73,-0.256
146.75,-0.256
146.76,-0.256
146.78,-0.256
146.8,-0.257
146.81,-0.257
146.83,-0.257
146.85,-0.257
146.86,-0.257
146.88,-0.257
146.9,-0.257
146.91,-0.257
146.93,-0.257
146.95,-0.257
146.96,-0.257
146.98,-0.257
147.0,-0.257
147.01,-0.257
147.03,-0.257
147.05,-0.257
147.06,-0.257
147.08,-0.257
147.1,-0.257
147.11,-0.257
147.13,-0.257
147.15,-0.257
147.16,-0.257
147.18,-0.257
147.2,-0.257
147.21,-0.257
147.23,-0.257
147.25,-0.257
147.26,-0.257
147.28,-0.257
147.3,-0.257
147.31,-0.257
147.33,-0.257
147.35,-0.257
147.36,-0.257
147.38,-0.257
147.4,-0.257
147.41,-0.257
147.43,-0.257
147.45,-0.257
147.46,-0.257
147.48,-0.257
147.5,-0.257
147.51,-0.257
147.53,-0.257
147.55,-0.257
147.56,-0.257
147.58,-0.257
147.6,-0.257
147.61,-0.257
147.63,-0.257
147.65,-0.257
147.66,-0.257
147.68,-0.257
147.7,-0.257
147.71,-0.257
147.73,-0.257
147.75,-0.257
147.76,-0.257
147.78,-0.257
147.8,-0.257
147.81,-0.257
147.83,-0.257
147.85,-0.257
147.86,-0.257
147.88,-0.257
147.9,-0.257
147.91,-0.257
147.93,-0.257
147.95,-0.257
147.96,-0.257
147.98,-0.257
148.0,-0.257
148.01,-0.257
148.03,-0.257
148.05,-0.257
148.06,-0.257
148.08,-0.257
148.1,-0.257
148.11,-0.257
148.13,-0.257
148.15,-0.257
148.16,-0.257
148.18,-0.257
148.2,-0.257
148.21,-0.257
148.23,-0.257
148.25,-0.257
148.26,-0.257
148.28,-0.257
148.3,-0.257
148.31,-0.257
148.33,-0.257
148.35,-0.257
148.36,-0.257
148.38,-0.257
148.4,-0.257
148.41,-0.257
148.43,-0.257
148.45,-0.258
148.46,-0.258
148.48,-0.258
148.5,-0.258
148.51,-0.258
148.53,-0.258
148.55,-0.258
148.56,-0.258
148.58,-0.258
148.6,-0.258
148.61,-0.258
148.63,-0.258
148.65,-0.258
148.66,-0.258
148.68,-0.258
148.7,-0.258
148.71,-0.258
148.73,-0.258
148.75,-0.258
148.76,-0.258
148.78,-0.258
148.8,-0.258
148.81,-0.258
148.83,-0.258
148.85,-0.258
148.86,-0.258
148.88,-0.258
148.9,-0.258
148.91,-0.258
148.93,-0.258
148.95,-0.258
148.96,-0.258
148.98,-0.258
149.0,-0.258
149.01,-0.258
149.03,-0.258
149.05,-0.258
149.06,-0.258
149.08,-0.258
149.1,-0.258
149.11,-0.258
149.13,-0.258
149.15,-0.258
149.16,-0.258
149.18,-0.258
149.2,-0.258
149.21,-0.258
149.23,-0.258
149.25,-0.258
149.26,-0.258
149.28,-0.258
149.3,-0.258
149.31,-0.258
149.33,-0.258
149.35,-0.258
149.36,-0.258
149.38,-0.258
149.4,-0.258
149.41,-0.258
149.43,-0.258
149.45,-0.258
149.46,-0.258
149.48,-0.258
149.5,-0.258
149.51,-0.258
149.53,-0.258
149.55,-0.258
149.56,-0.258
149.58,-0.258
149.6,-0.258
149.61,-0.258
149.63,-0.258
149.65,-0.258
149.66,-0.258
149.68,-0.258
149.7,-0.258
149.71,-0.258
149.73,-0.258
149.75,-0.258
149.76,-0.259
149.78,-0.259
149.8,-0.259
149.81,-0.259
149.83,-0.259
149.85,-0.259
149.86,-0.259
149.88,-0.259
149.9,-0.259
149.91,-0.259
149.93,-0.259
149.95,-0.259
149.97,-0.259
149.98,-0.259
150.0,-0.259
150.01,-0.259
150.03,-0.259
150.05,-0.259
150.06,-0.259
150.08,-0.259
150.1,-0.259
150.11,-0.259
150.13,-0.259
150.15,-0.259
150.16,-0.259
150.18,-0.259
150.2,-0.259
150.21,-0.259
150.23,-0.259
150.25,-0.259
150.26,-0.259
150.28,-0.259
150.3,-0.259
150.31,-0.259
150.33,-0.259
150.35,-0.259
150.36,-0.259
150.38,-0.259
150.4,-0.259
150.41,-0.259
150.43,-0.259
150.45,-0.259
150.46,-0.259
150.48,-0.259
150.5,-0.259
150.51,-0.259
150.53,-0.259
150.55,-0.259
150.56,-0.259
150.58,-0.259
150.6,-0.259
150.61,-0.259
150.63,-0.259
150.65,-0.259
150.66,-0.259
150.68,-0.259
150.7,-0.259
150.71,-0.259
150.73,-0.259
150.75,-0.259
150.76,-0.259
150.78,-0.259
150.8,-0.259
150.81,-0.259
150.83,-0.259
150.85,-0.259
150.86,-0.259
150.88,-0.259
150.9,-0.259
150.91,-0.259
150.93,-0.259
150.95,-0.259
150.96,-0.26
150.98,-0.26
151.0,-0.26
151.01,-0.26
151.03,-0.26
151.05,-0.26
151.06,-0.26
151.08,-0.26
151.1,-0.26
151.12,-0.26
151.13,-0.26
151.15,-0.26
151.16,-0.26
151.18,-0.26
151.2,-0.26
151.21,-0.26
151.23,-0.26
151.25,-0.26
151.26,-0.26
151.28,-0.26
151.3,-0.26
151.31,-0.26
151.33,-0.26
151.35,-0.26
151.36,-0.26
151.38,-0.26
151.4,-0.26
151.41,-0.26
151.43,-0.26
151.45,-0.26
151.46,-0.26
151.48,-0.26
151.5,-0.26
151.51,-0.26
151.53,-0.26
151.55,-0.26
151.56,-0.26
151.58,-0.26
151.6,-0.26
151.61,-0.26
151.63,-0.26
151.65,-0.26
151.66,-0.26
151.68,-0.26
151.7,-0.26
151.71,-0.26
151.73,-0.26
151.75,-0.26
151.76,-0.26
151.78,-0.26
151.8,-0.26
151.81,-0.26
151.83,-0.26
151.85,-0.26
151.86,-0.26
151.88,-0.26
151.9,-0.26
151.91,-0.26
151.93,-0.26
151.95,-0.26
151.96,-0.26
151.98,-0.26
152.0,-0.26
152.02,-0.26
152.03,-0.26
152.05,-0.26
152.06,-0.26
152.08,-0.26
152.1,-0.261
152.11,-0.261
152.13,-0.261
152.15,-0.261
152.16,-0.261
152.18,-0.261
152.2,-0.261
152.21,-0.261
152.23,-0.261
152.25,-0.261
152.26,-0.261
152.28,-0.261
152.3,-0.261
152.31,-0.261
152.33,-0.261
152.35,-0.261
152.36,-0.261
152.38,-0.261
152.4,-0.261
152.41,-0.261
152.43,-0.261
152.45,-0.261
152.46,-0.261
152.48,-0.261
152.5,-0.261
152.51,-0.261
152.53,-0.261
152.55,-0.261
152.56,-0.261
152.58,-0.261
152.6,-0.261
152.61,-0.261
152.63,-0.261
152.65,-0.261
152.66,-0.261
152.68,-0.261
152.7,-0.261
152.71,-0.261
152.73,-0.261
152.75,-0.261
152.76,-0.261
152.78,-0.261
152.8,-0.261
152.81,-0.261
152.83,-0.261
152.85,-0.261
152.86,-0.261
152.88,-0.261
152.9,-0.261
152.92,-0.261
152.93,-0.261
152.95,-0.261
152.96,-0.261
152.98,-0.261
153.0,-0.261
153.01,-0.261
153.03,-0.261
153.05,-0.261
153.06,-0.261
153.08,-0.262
153.1,-0.262
153.11,-0.262
153.13,-0.262
153.15,-0.262
153.16,-0.262
153.18,-0.262
153.2,-0.262
153.21,-0.262
153.23,-0.262
153.25,-0.262
153.26,-0.262
153.28,-0.262
153.3,-0.262
153.31,-0.262
153.33,-0.262
153.35,-0.262
153.36,-0.262
153.38,-0.262
153.4,-0.262
153.41,-0.262
153.43,-0.262
153.45,-0.262
153.46,-0.262
153.48,-0.262
153.5,-0.262
153.51,-0.262
153.53,-0.262
153.55,-0.262
153.56,-0.262
153.58,-0.262
153.6,-0.262
153.61,-0.262
153.63,-0.262
153.65,-0.262
153.66,-0.262
153.68,-0.262
153.7,-0.262
153.71,-0.262
153.73,-0.262
153.75,-0.262
153.76,-0.262
153.78,-0.262
153.8,-0.262
153.81,-0.262
153.83,-0.262
153.85,-0.262
153.86,-0.262
153.88,-0.262
153.9,-0.263
153.91,-0.263
153.93,-0.263
153.95,-0.263
153.96,-0.263
153.98,-0.263
154.0,-0.263
154.01,-0.263
154.03,-0.263
154.05,-0.263
154.06,-0.263
154.08,-0.263
154.1,-0.263
154.11,-0.263
154.13,-0.263
154.15,-0.263
154.16,-0.263
154.18,-0.263
154.2,-0.263
154.21,-0.263
154.23,-0.263
154.25,-0.263
154.26,-0.263
154.28,-0.263
154.3,-0.263
154.31,-0.263
154.33,-0.263
154.35,-0.263
154.36,-0.263
154.38,-0.263
154.4,-0.263
154.41,-0.263
154.43,-0.263
154.45,-0.263
154.46,-0.263
154.48,-0.263
154.5,-0.263
154.51,-0.263
154.53,-0.263
154.55,-0.263
154.56,-0.263
154.58,-0.263
154.6,-0.264
154.61,-0.264
154.63,-0.264
154.65,-0.264
154.66,-0.264
154.68,-0.264
154.7,-0.264
154.71,-0.264
154.73,-0.264
154.75,-0.264
154.76,-0.264
154.78,-0.264
154.8,-0.264
154.81,-0.264
154.83,-0.264
154.85,-0.264
154.87,-0.264
154.88,-0.264
154.9,-0.264
154.92,-0.264
154.93,-0.264
154.95,-0.264
154.96,-0.264
154.98,-0.264
155.0,-0.264
155.01,-0.264
155.03,-0.264
155.05,-0.264
155.06,-0.264
155.08,-0.264
155.1,-0.264
155.11,-0.264
155.13,-0.264
155.15,-0.264
155.16,-0.264
155.18,-0.264
155.2,-0.264
155.21,-0.265
155.23,-0.265
155.25,-0.265
155.26,-0.265
155.28,-0.265
155.3,-0.265
155.31,-0.265
155.33,-0.265
155.35,-0.265
155.36,-0.265
155.38,-0.265
155.4,-0.265
155.41,-0.265
155.43,-0.265
155.45,-0.265
155.46,-0.265
155.48,-0.265
155.5,-0.265
155.51,-0.265
155.53,-0.265
155.55,-0.265
155.56,-0.265
155.58,-0.265
155.6,-0.265
155.61,-0.265
155.63,-0.265
155.65,-0.265
155.66,-0.265
155.68,-0.265
155.7,-0.265
155.71,-0.265
155.73,-0.265
155.75,-0.265
155.76,-0.266
155.78,-0.266
155.8,-0.266
155.81,-0.266
155.83,-0.266
155.85,-0.266
155.86,-0.266
155.88,-0.266
155.9,-0.266
155.91,-0.266
155.93,-0.266
155.95,-0.266
155.96,-0.266
155.98,-0.266
156.0,-0.266
156.02,-0.266
156.03,-0.266
156.05,-0.266
156.06,-0.266
156.08,-0.266
156.1,-0.266
156.11,-0.266
156.13,-0.266
156.15,-0.266
156.16,-0.266
156.18,-0.266
156.2,-0.266
156.21,-0.266
156.23,-0.266
156.25,-0.266
156.26,-0.266
156.28,-0.267
156.3,-0.267
156.31,-0.267
156.33,-0.267
156.35,-0.267
156.36,-0.267
156.38,-0.267
156.4,-0.267
156.41,-0.267
156.43,-0.267
156.45,-0.267
156.46,-0.267
156.48,-0.267
156.5,-0.267
156.51,-0.267
156.53,-0.267
156.55,-0.267
156.56,-0.267
156.58,-0.267
156.6,-0.267
156.61,-0.267
156.63,-0.267
156.65,-0.267
156.66,-0.267
156.68,-0.267
156.7,-0.267
156.71,-0.268
156.73,-0.268
156.75,-0.268
156.76,-0.268
156.78,-0.268
156.8,-0.268
156.81,-0.268
156.83,-0.268
156.85,-0.268
156.86,-0.268
156.88,-0.268
156.9,-0.268
156.91,-0.268
156.93,-0.268
156.95,-0.268
156.96,-0.268
156.98,-0.268
157.0,-0.268
157.01,-0.268
157.03,-0.269
157.05,-0.269
157.06,-0.269
157.08,-0.269
157.1,-0.269
157.11,-0.269
157.13,-0.269
157.15,-0.269
157.16,-0.269
157.18,-0.269
157.2,-0.269
157.21,-0.269
157.23,-0.269
157.25,-0.269
157.26,-0.269
157.28,-0.269
157.3,-0.269
157.31,-0.269
157.33,-0.269
157.35,-0.27
157.36,-0.27
157.38,-0.27
157.4,-0.27
157.41,-0.27
157.43,-0.27
157.45,-0.27
157.46,-0.27
157.48,-0.27
157.5,-0.27
157.51,-0.27
157.53,-0.27
157.55,-0.27
157.56,-0.27
157.58,-0.27
157.6,-0.27
157.61,-0.271
157.63,-0.271
157.65,-0.271
157.66,-0.271
157.68,-0.271
157.7,-0.271
157.71,-0.271
157.73,-0.271
157.75,-0.271
157.76,-0.271
157.78,-0.271
157.8,-0.271
157.81,-0.271
157.83,-0.271
157.85,-0.272
157.86,-0.272
157.88,-0.272
157.9,-0.272
157.91,-0.272
157.93,-0.272
157.95,-0.272
157.96,-0.272
157.98,-0.272
158.0,-0.272
158.01,-0.273
158.03,-0.273
158.05,-0.273
158.06,-0.273
158.08,-0.273
158.1,-0.273
158.11,-0.273
158.13,-0.273
158.15,-0.273
158.16,-0.273
158.18,-0.273
158.2,-0.273
158.21,-0.274
158.23,-0.274
158.25,-0.274
158.26,-0.274
158.28,-0.274
158.3,-0.274
158.31,-0.274
158.33,-0.274
158.35,-0.274
158.36,-0.275
158.38,-0.275
158.4,-0.275
158.41,-0.275
158.43,-0.275
158.45,-0.275
158.46,-0.275
158.48,-0.275
158.5,-0.275
158.51,-0.276
158.53,-0.276
158.55,-0.276
158.56,-0.276
158.58,-0.276
158.6,-0.276
158.61,-0.276
158.63,-0.277
158.65,-0.277
158.66,-0.277
158.68,-0.277
158.7,-0.277
158.71,-0.277
158.73,-0.277
158.75,-0.278
158.76,-0.278
158.78,-0.278
158.8,-0.278
158.81,-0.278
158.83,-0.278
158.85,-0.278
158.86,-0.279
158.88,-0.279
158.9,-0.279
158.91,-0.279
158.93,-0.279
158.95,-0.279
158.96,-0.279
158.98,-0.279
159.0,-0.279
159.01,-0.28
159.03,-0.28
159.05,-0.28
159.06,-0.28
159.08,-0.28
159.1,-0.28
159.11,-0.281
159.13,-0.281
159.14,-0.281
159.16,-0.281
159.18,-0.281
159.2,-0.281
159.21,-0.281
159.23,-0.282
159.25,-0.282
159.26,-0.282
159.28,-0.282
159.29,-0.283
159.31,-0.283
159.33,-0.283
159.34,-0.283
159.36,-0.283
