Temperaturee (°C),Heat flow (W/g)
4.6,70.09,-0.14685997
4.6,70.1,-0.146868637
4.6,70.12,-0.146877579
4.6,70.14,-0.146885666
4.6,70.15,-0.146895355
4.6,70.17,-0.146905273
4.6,70.19,-0.146914429
4.61,70.2,-0.146923325
4.61,70.22,-0.146929718
4.61,70.24,-0.146936112
4.61,70.25,-0.1469431
4.61,70.27,-0.146949738
4.61,70.29,-0.14695578
4.62,70.3,-0.146962402
4.62,70.32,-0.146969421
4.62,70.34,-0.146976959
4.62,70.35,-0.14698465
4.62,70.37,-0.14699321
4.63,70.39,-0.147002441
4.63,70.4,-0.14701088
4.63,70.42,-0.147018784
4.63,70.44,-0.147028046
4.63,70.45,-0.147037293
4.63,70.47,-0.147045471
4.64,70.49,-0.147053619
4.64,70.5,-0.147062119
4.64,70.52,-0.147069885
4.64,70.54,-0.14707811
4.64,70.55,-0.147087875
4.64,70.57,-0.147096756
4.65,70.59,-0.147106094
4.65,70.6,-0.147115006
4.65,70.62,-0.147123047
4.65,70.64,-0.147131943
4.65,70.65,-0.14713913
4.65,70.67,-0.147145096
4.65,70.69,-0.147152832
4.66,70.7,-0.147160294
4.66,70.72,-0.147167725
4.66,70.74,-0.147175171
4.66,70.75,-0.147182388
4.66,70.77,-0.147191086
4.66,70.79,-0.147200928
4.67,70.8,-0.147210449
4.67,70.82,-0.147221405
4.67,70.84,-0.147231979
4.67,70.85,-0.147241928
4.67,70.87,-0.147251083
4.68,70.89,-0.147259598
4.68,70.9,-0.147268082
4.68,70.92,-0.147277344
4.68,70.94,-0.147286026
4.68,70.95,-0.147294449
4.68,70.97,-0.147303207
4.69,70.99,-0.147312195
4.69,71,-0.147321396
4.69,71.02,-0.147330368
4.69,71.04,-0.147339615
4.69,71.05,-0.147349213
4.69,71.07,-0.147359253
4.7,71.09,-0.147368713
4.7,71.1,-0.147378067
4.7,71.12,-0.147387177
4.7,71.14,-0.147397446
4.7,71.15,-0.147407394
4.7,71.17,-0.14741684
4.7,71.19,-0.14742598
4.71,71.2,-0.147434555
4.71,71.22,-0.147443146
4.71,71.24,-0.14745224
4.71,71.25,-0.14746135
4.71,71.27,-0.147469406
4.71,71.29,-0.147476914
4.72,71.3,-0.14748468
4.72,71.32,-0.147492203
4.72,71.34,-0.147501633
4.72,71.35,-0.147511032
4.72,71.37,-0.147519852
4.73,71.39,-0.147528702
4.73,71.4,-0.147537125
4.73,71.42,-0.147545654
4.73,71.44,-0.147555527
4.73,71.45,-0.14756604
4.73,71.47,-0.147576157
4.74,71.49,-0.147585892
4.74,71.5,-0.147594864
4.74,71.52,-0.147603775
4.74,71.54,-0.147613892
4.74,71.55,-0.147622742
4.74,71.57,-0.147631012
4.75,71.59,-0.147638626
4.75,71.6,-0.147646118
4.75,71.62,-0.147654221
4.75,71.64,-0.147662903
4.75,71.65,-0.147671997
4.75,71.67,-0.147681656
4.75,71.69,-0.147691177
4.76,71.7,-0.147701416
4.76,71.72,-0.147711426
4.76,71.74,-0.147721039
4.76,71.75,-0.147729752
4.76,71.77,-0.147739044
4.76,71.79,-0.147748016
4.77,71.8,-0.147757172
4.77,71.82,-0.14776619
4.77,71.84,-0.147774719
4.77,71.85,-0.147783905
4.77,71.87,-0.147793304
4.78,71.89,-0.147801712
4.78,71.9,-0.147810898
4.78,71.92,-0.147820404
4.78,71.94,-0.147830368
4.78,71.95,-0.147839249
4.78,71.97,-0.147848404
4.79,71.99,-0.147856201
4.79,72,-0.14786351
4.79,72.02,-0.147871689
4.79,72.04,-0.147879288
4.79,72.05,-0.147887085
4.79,72.07,-0.147893402
4.8,72.09,-0.147900269
4.8,72.1,-0.147907684
4.8,72.12,-0.147914475
4.8,72.14,-0.147922119
4.8,72.15,-0.147929672
4.8,72.17,-0.147937271
4.8,72.18,-0.147946121
4.81,72.2,-0.147956055
4.81,72.22,-0.147965591
4.81,72.24,-0.147975266
4.81,72.25,-0.147985214
4.81,72.27,-0.147994995
4.81,72.29,-0.148004822
4.82,72.3,-0.148013733
4.82,72.32,-0.148022339
4.82,72.34,-0.148030655
4.82,72.35,-0.148039063
4.82,72.37,-0.148047592
4.83,72.39,-0.148056061
4.83,72.4,-0.14806369
4.83,72.42,-0.148071106
4.83,72.44,-0.148079086
4.83,72.45,-0.148086319
4.83,72.47,-0.148093277
4.84,72.49,-0.148100205
4.84,72.5,-0.148106964
4.84,72.52,-0.148112854
4.84,72.54,-0.1481194
4.84,72.55,-0.148128006
4.84,72.57,-0.148136368
4.85,72.59,-0.148144058
4.85,72.6,-0.148151505
4.85,72.62,-0.148158966
4.85,72.64,-0.148166199
4.85,72.65,-0.148172989
4.85,72.67,-0.148179871
4.85,72.69,-0.148188461
4.86,72.7,-0.148196747
4.86,72.72,-0.148204804
4.86,72.74,-0.148213059
4.86,72.75,-0.148221115
4.86,72.77,-0.148228745
4.86,72.79,-0.148235153
4.87,72.8,-0.14824205
4.87,72.82,-0.148248169
4.87,72.84,-0.148255173
4.87,72.85,-0.148261932
4.87,72.87,-0.148269913
4.88,72.89,-0.148278809
4.88,72.9,-0.148288773
4.88,72.92,-0.148297989
4.88,72.94,-0.148307175
4.88,72.95,-0.148316025
4.88,72.97,-0.148325851
4.89,72.99,-0.148334198
4.89,73,-0.14834169
4.89,73.02,-0.148349411
4.89,73.04,-0.148357208
4.89,73.05,-0.148365189
4.89,73.07,-0.148372986
4.9,73.09,-0.148381683
4.9,73.1,-0.148389099
4.9,73.12,-0.148396454
4.9,73.14,-0.148404114
4.9,73.15,-0.148412781
4.9,73.17,-0.148420914
4.9,73.19,-0.148429489
4.91,73.2,-0.148437347
4.91,73.22,-0.148446014
4.91,73.24,-0.148454758
4.91,73.25,-0.148464462
4.91,73.27,-0.148475159
4.91,73.29,-0.148485077
4.92,73.3,-0.148494843
4.92,73.32,-0.148504334
4.92,73.34,-0.148512909
4.92,73.35,-0.148522141
4.92,73.37,-0.148531357
4.93,73.39,-0.148539566
4.93,73.4,-0.148547745
4.93,73.42,-0.148556397
4.93,73.44,-0.148565414
4.93,73.45,-0.148574982
4.93,73.47,-0.148582611
4.94,73.49,-0.148591049
4.94,73.5,-0.148598694
4.94,73.52,-0.148605133
4.94,73.54,-0.148613281
4.94,73.55,-0.148622299
4.94,73.57,-0.148632629
4.95,73.59,-0.148642227
4.95,73.6,-0.148651093
4.95,73.62,-0.148662216
4.95,73.64,-0.148672897
4.95,73.65,-0.14868309
4.95,73.67,-0.148692719
4.95,73.69,-0.148701386
4.96,73.7,-0.148710007
4.96,73.72,-0.148719009
4.96,73.74,-0.148728302
4.96,73.75,-0.148736893
4.96,73.77,-0.14874437
4.96,73.79,-0.148752091
4.97,73.8,-0.14876062
4.97,73.82,-0.148768494
4.97,73.84,-0.148776627
4.97,73.85,-0.148784927
4.97,73.87,-0.148794312
4.98,73.89,-0.148804092
4.98,73.9,-0.148813538
4.98,73.92,-0.148823303
4.98,73.94,-0.148833725
4.98,73.95,-0.148843735
4.98,73.97,-0.148852615
4.99,73.99,-0.148861801
4.99,74,-0.148870422
4.99,74.02,-0.14887999
4.99,74.04,-0.148890183
4.99,74.05,-0.148900116
4.99,74.07,-0.148910507
5,74.09,-0.148920303
5,74.1,-0.148929794
5,74.12,-0.148940079
5,74.14,-0.148949066
5,74.15,-0.148958511
5,74.17,-0.148968033
5,74.19,-0.148977158
5.01,74.2,-0.148987
5.01,74.22,-0.148996414
5.01,74.24,-0.149004807
5.01,74.25,-0.149012405
5.01,74.27,-0.149020096
5.01,74.29,-0.149027817
5.02,74.3,-0.149036209
5.02,74.32,-0.149043716
5.02,74.34,-0.149051514
5.02,74.35,-0.149059982
5.02,74.37,-0.149068771
5.03,74.39,-0.149077896
5.03,74.4,-0.149087982
5.03,74.42,-0.149096726
5.03,74.44,-0.149105225
5.03,74.45,-0.149114471
5.03,74.47,-0.149123337
5.04,74.49,-0.14913266
5.04,74.5,-0.149142288
5.04,74.52,-0.149152618
5.04,74.54,-0.149160904
5.04,74.55,-0.14916983
5.04,74.57,-0.149178986
5.05,74.59,-0.149187515
5.05,74.6,-0.149196899
5.05,74.62,-0.149206207
5.05,74.64,-0.149215866
5.05,74.65,-0.149225891
5.05,74.67,-0.149235397
5.05,74.69,-0.149243835
5.06,74.7,-0.149252228
5.06,74.72,-0.149258713
5.06,74.74,-0.149265106
5.06,74.75,-0.149271301
5.06,74.77,-0.149279144
5.06,74.79,-0.149287705
5.07,74.8,-0.149297012
5.07,74.82,-0.149306488
5.07,74.84,-0.149315704
5.07,74.85,-0.149324478
5.07,74.87,-0.149333344
5.08,74.89,-0.149342529
5.08,74.9,-0.149351822
5.08,74.92,-0.14936058
5.08,74.94,-0.149370606
5.08,74.95,-0.149380051
5.08,74.97,-0.149388611
5.09,74.99,-0.149396713
5.09,75,-0.149403992
5.09,75.02,-0.14941243
5.09,75.04,-0.149420746
5.09,75.05,-0.149429016
5.09,75.07,-0.149437347
5.1,75.09,-0.149446259
5.1,75.1,-0.1494552
5.1,75.12,-0.149464539
5.1,75.14,-0.14947432
5.1,75.15,-0.149483078
5.1,75.17,-0.149490509
5.1,75.19,-0.149497681
5.11,75.2,-0.149505081
5.11,75.22,-0.14951268
5.11,75.24,-0.149520386
5.11,75.26,-0.149527649
5.11,75.27,-0.149535645
5.11,75.29,-0.149544251
5.12,75.31,-0.149552719
5.12,75.32,-0.149560806
5.12,75.34,-0.149568497
5.12,75.35,-0.149575607
5.12,75.37,-0.149581543
5.13,75.39,-0.149588928
5.13,75.4,-0.149597549
5.13,75.42,-0.149606232
5.13,75.44,-0.149614044
5.13,75.45,-0.149622528
5.13,75.47,-0.149630966
5.14,75.49,-0.149640579
5.14,75.5,-0.149651215
5.14,75.52,-0.149661316
5.14,75.54,-0.149671112
5.14,75.55,-0.149681381
5.14,75.57,-0.14969046
5.15,75.59,-0.14970015
5.15,75.6,-0.149708756
5.15,75.62,-0.149717423
5.15,75.64,-0.149725922
5.15,75.65,-0.149734528
5.15,75.67,-0.149741425
5.15,75.69,-0.149749497
5.16,75.7,-0.149757553
5.16,75.72,-0.149764786
5.16,75.74,-0.1497715
5.16,75.75,-0.149778488
5.16,75.77,-0.149786774
5.16,75.79,-0.149794739
5.17,75.8,-0.149803116
5.17,75.82,-0.149812271
5.17,75.84,-0.149821869
5.17,75.85,-0.149831863
5.17,75.87,-0.149841354
5.18,75.89,-0.149851135
5.18,75.9,-0.149859421
5.18,75.92,-0.149867691
5.18,75.94,-0.149875153
5.18,75.95,-0.149883011
5.18,75.97,-0.149889572
5.19,75.99,-0.149896774
5.19,76,-0.149904785
5.19,76.02,-0.149913162
5.19,76.04,-0.149921326
5.19,76.05,-0.149930557
5.19,76.07,-0.149939713
5.2,76.09,-0.149948914
5.2,76.1,-0.149958511
5.2,76.12,-0.14996875
5.2,76.14,-0.149979202
5.2,76.15,-0.149989319
5.2,76.17,-0.149998642
5.2,76.19,-0.15000705
5.21,76.2,-0.150016174
5.21,76.22,-0.150024445
5.21,76.24,-0.150033188
5.21,76.25,-0.150041031
5.21,76.27,-0.150047348
5.21,76.29,-0.150054581
5.22,76.3,-0.150061356
5.22,76.32,-0.150068008
5.22,76.34,-0.150075226
5.22,76.35,-0.150083008
5.22,76.37,-0.150091065
5.23,76.39,-0.150098908
5.23,76.4,-0.150106186
5.23,76.42,-0.150114655
5.23,76.44,-0.150123947
5.23,76.45,-0.150132446
5.23,76.47,-0.150141556
5.24,76.49,-0.150151047
5.24,76.5,-0.150160706
5.24,76.52,-0.150169434
5.24,76.54,-0.150177033
5.24,76.55,-0.150184311
5.24,76.57,-0.150190384
5.25,76.59,-0.150197128
5.25,76.61,-0.15020459
5.25,76.62,-0.15021283
5.25,76.64,-0.150220566
5.25,76.65,-0.150228821
5.25,76.67,-0.150236359
5.25,76.69,-0.150244568
5.26,76.7,-0.150252869
5.26,76.72,-0.150260391
5.26,76.74,-0.15026741
5.26,76.75,-0.150274429
5.26,76.77,-0.15028273
5.26,76.79,-0.15029158
5.27,76.8,-0.150300293
5.27,76.82,-0.150309494
5.27,76.84,-0.150319351
5.27,76.85,-0.150329468
5.27,76.87,-0.150339066
5.28,76.89,-0.150347946
5.28,76.9,-0.150354874
5.28,76.92,-0.150361771
5.28,76.94,-0.15036882
5.28,76.95,-0.150374603
5.28,76.97,-0.150381531
5.29,76.99,-0.150389282
5.29,77,-0.150398026
5.29,77.02,-0.150407272
5.29,77.04,-0.150416824
5.29,77.05,-0.150426483
5.29,77.07,-0.150435226
5.3,77.09,-0.150444168
5.3,77.1,-0.15045314
5.3,77.12,-0.150461945
5.3,77.14,-0.150469666
5.3,77.15,-0.150478165
5.3,77.17,-0.150487152
5.3,77.19,-0.150495361
5.31,77.2,-0.15050354
5.31,77.22,-0.15051265
5.31,77.24,-0.150520828
5.31,77.25,-0.150527435
5.31,77.27,-0.150534058
5.31,77.29,-0.150540619
5.32,77.3,-0.150546066
5.32,77.32,-0.150552185
5.32,77.34,-0.150560272
5.32,77.35,-0.150569428
5.32,77.37,-0.150578583
5.33,77.39,-0.150588364
5.33,77.4,-0.15059906
5.33,77.42,-0.150610458
5.33,77.44,-0.15062056
5.33,77.45,-0.150630356
5.33,77.47,-0.150640427
5.34,77.49,-0.15064888
5.34,77.5,-0.150655655
5.34,77.52,-0.150662109
5.34,77.54,-0.150668503
5.34,77.55,-0.150675064
5.34,77.57,-0.150681229
5.35,77.59,-0.150688553
5.35,77.6,-0.150696137
5.35,77.62,-0.150704681
5.35,77.64,-0.150713898
5.35,77.65,-0.150724945
5.35,77.67,-0.150736435
5.35,77.69,-0.150747849
5.36,77.7,-0.150757401
5.36,77.72,-0.150766739
5.36,77.74,-0.15077388
5.36,77.75,-0.150782059
5.36,77.77,-0.150790192
5.36,77.79,-0.150797379
5.37,77.8,-0.150803803
5.37,77.82,-0.150810608
5.37,77.84,-0.150818359
5.37,77.85,-0.15082695
5.37,77.87,-0.150835983
5.38,77.89,-0.150844574
5.38,77.9,-0.150853287
5.38,77.92,-0.15086174
5.38,77.94,-0.150870773
5.38,77.95,-0.150879547
5.38,77.97,-0.150888016
5.39,77.99,-0.15089505
5.39,78,-0.150902206
5.39,78.02,-0.150909607
5.39,78.04,-0.150917511
5.39,78.05,-0.150924774
5.39,78.07,-0.150932282
5.4,78.09,-0.150939072
5.4,78.1,-0.150944885
5.4,78.12,-0.150950745
5.4,78.14,-0.15095755
5.4,78.15,-0.150963669
5.4,78.17,-0.150969254
5.4,78.19,-0.150975617
5.41,78.2,-0.150982346
5.41,78.22,-0.150989594
5.41,78.24,-0.150998505
5.41,78.25,-0.151008118
5.41,78.27,-0.151017349
5.41,78.29,-0.151025681
5.42,78.3,-0.1510336
5.42,78.32,-0.151041214
5.42,78.34,-0.151049484
5.42,78.35,-0.151056915
5.42,78.37,-0.15106424
5.43,78.39,-0.151070709
5.43,78.4,-0.151077438
5.43,78.42,-0.151084259
5.43,78.44,-0.151090653
5.43,78.45,-0.151098206
5.43,78.47,-0.151107971
5.44,78.49,-0.151117035
5.44,78.5,-0.151126007
5.44,78.52,-0.151135574
5.44,78.54,-0.151145065
5.44,78.55,-0.15115361
5.44,78.57,-0.151161545
5.45,78.59,-0.151168716
5.45,78.6,-0.151175476
5.45,78.62,-0.151182816
5.45,78.64,-0.151190292
5.45,78.65,-0.15119809
5.45,78.67,-0.151206375
5.45,78.69,-0.151214432
5.46,78.7,-0.15122226
5.46,78.72,-0.151228989
5.46,78.74,-0.151236221
5.46,78.75,-0.151243897
5.46,78.77,-0.151252319
5.46,78.79,-0.151260468
5.47,78.8,-0.151268814
5.47,78.82,-0.151278
5.47,78.84,-0.151287659
5.47,78.85,-0.151297134
5.47,78.87,-0.151305634
5.48,78.89,-0.151313782
5.48,78.9,-0.151320831
5.48,78.92,-0.151328018
5.48,78.94,-0.151334976
5.48,78.95,-0.1513414
5.48,78.97,-0.151348694
5.49,78.99,-0.151355301
5.49,79,-0.151362473
5.49,79.02,-0.15137085
5.49,79.04,-0.151378143
5.49,79.05,-0.151386444
5.49,79.07,-0.151395203
5.5,79.09,-0.151404526
5.5,79.1,-0.151414383
5.5,79.12,-0.151423584
5.5,79.14,-0.151431763
5.5,79.15,-0.151439453
5.5,79.17,-0.151446381
5.5,79.19,-0.151454208
5.51,79.2,-0.151461609
5.51,79.22,-0.151469299
5.51,79.24,-0.151478439
5.51,79.25,-0.151486481
5.51,79.27,-0.151495026
5.51,79.29,-0.15150354
5.52,79.3,-0.151511795
5.52,79.32,-0.151518753
5.52,79.34,-0.151525879
5.52,79.35,-0.15153392
5.52,79.37,-0.151542587
5.53,79.39,-0.151551376
5.53,79.4,-0.15156073
5.53,79.42,-0.151569382
5.53,79.44,-0.151578857
5.53,79.45,-0.151588776
5.53,79.47,-0.151598648
5.54,79.49,-0.151608734
5.54,79.5,-0.151618195
5.54,79.52,-0.151626724
5.54,79.54,-0.151635681
5.54,79.55,-0.151644913
5.54,79.57,-0.151653732
5.55,79.59,-0.1516633
5.55,79.6,-0.151672531
5.55,79.62,-0.151681976
5.55,79.64,-0.151690384
5.55,79.65,-0.151699692
5.55,79.67,-0.151708359
5.55,79.69,-0.151717163
5.56,79.7,-0.151725021
5.56,79.72,-0.151733429
5.56,79.74,-0.151741562
5.56,79.75,-0.151749939
5.56,79.77,-0.151759476
5.56,79.79,-0.151769333
5.57,79.8,-0.151779465
5.57,79.82,-0.151789291
5.57,79.84,-0.151799057
5.57,79.85,-0.151807709
5.57,79.87,-0.151816513
5.58,79.89,-0.151825562
5.58,79.9,-0.151834305
5.58,79.92,-0.151841614
5.58,79.94,-0.151849731
5.58,79.95,-0.151859329
5.58,79.97,-0.151869309
5.59,79.99,-0.151879395
5.59,80,-0.151889343
5.59,80.02,-0.151900253
5.59,80.04,-0.151910934
5.59,80.05,-0.151921753
5.59,80.07,-0.151930481
5.6,80.09,-0.151938599
5.6,80.1,-0.151946259
5.6,80.12,-0.151954025
5.6,80.14,-0.151962769
5.6,80.15,-0.151971375
5.6,80.17,-0.15198027
5.6,80.19,-0.151988953
5.61,80.2,-0.151997513
5.61,80.22,-0.15200705
5.61,80.24,-0.152017761
5.61,80.25,-0.152027451
5.61,80.27,-0.152036804
5.61,80.29,-0.152046204
5.62,80.3,-0.152056259
5.62,80.32,-0.152067215
5.62,80.34,-0.152077393
5.62,80.35,-0.152087982
5.62,80.37,-0.152097961
5.63,80.39,-0.152109192
5.63,80.4,-0.152120102
5.63,80.42,-0.152131317
5.63,80.44,-0.152141998
5.63,80.45,-0.152152451
5.63,80.47,-0.152162811
5.64,80.49,-0.152173691
5.64,80.5,-0.152184708
5.64,80.52,-0.152195694
5.64,80.54,-0.152205322
5.64,80.55,-0.152213471
5.64,80.57,-0.152222626
5.65,80.59,-0.152231506
5.65,80.6,-0.152241058
5.65,80.62,-0.152250519
5.65,80.64,-0.152260651
5.65,80.66,-0.152270599
5.65,80.67,-0.152280441
5.65,80.69,-0.152289719
5.66,80.7,-0.1523004
5.66,80.72,-0.152311585
5.66,80.74,-0.152320801
5.66,80.75,-0.152329498
5.66,80.77,-0.152339249
5.66,80.79,-0.152348572
5.67,80.8,-0.152358246
5.67,80.82,-0.152367889
5.67,80.84,-0.15237706
5.67,80.85,-0.152386261
5.67,80.87,-0.152395004
5.68,80.89,-0.152405045
5.68,80.9,-0.152415817
5.68,80.92,-0.152425873
5.68,80.94,-0.152435837
5.68,80.95,-0.152445694
5.68,80.97,-0.15245636
5.69,80.99,-0.152466187
5.69,81,-0.152476654
5.69,81.02,-0.152486496
5.69,81.04,-0.152496918
5.69,81.05,-0.152506928
5.69,81.07,-0.152517716
5.7,81.09,-0.152528381
5.7,81.1,-0.15253862
5.7,81.12,-0.152547638
5.7,81.14,-0.152555634
5.7,81.15,-0.152562958
5.7,81.17,-0.152568832
5.7,81.19,-0.15257486
5.71,81.2,-0.152580383
5.71,81.22,-0.152586456
5.71,81.24,-0.152593338
5.71,81.25,-0.152601044
5.71,81.27,-0.15260936
5.71,81.29,-0.152619568
5.72,81.3,-0.152630264
5.72,81.32,-0.152641571
5.72,81.34,-0.1526521
5.72,81.35,-0.152662262
5.72,81.37,-0.15267218
5.73,81.39,-0.152681732
5.73,81.4,-0.152689575
5.73,81.42,-0.152697693
5.73,81.44,-0.152705856
5.73,81.45,-0.152712967
5.73,81.47,-0.152719452
5.74,81.49,-0.152727554
5.74,81.5,-0.152734573
5.74,81.52,-0.152742737
5.74,81.54,-0.152751816
5.74,81.55,-0.152761353
5.74,81.57,-0.152770493
5.75,81.59,-0.152779099
5.75,81.6,-0.152788147
5.75,81.62,-0.152797592
5.75,81.64,-0.15280719
5.75,81.65,-0.152816879
5.75,81.67,-0.152826263
5.75,81.69,-0.152835358
5.76,81.7,-0.152844009
5.76,81.72,-0.152852814
5.76,81.74,-0.152862076
5.76,81.75,-0.152871231
5.76,81.77,-0.152879089
5.76,81.79,-0.152887116
5.77,81.8,-0.152895157
5.77,81.82,-0.152903671
5.77,81.84,-0.152912506
5.77,81.85,-0.152921188
5.77,81.87,-0.152930206
5.78,81.89,-0.152938568
5.78,81.9,-0.152947617
5.78,81.92,-0.152958145
5.78,81.94,-0.152969269
5.78,81.95,-0.152980133
5.78,81.97,-0.152989853
5.79,81.99,-0.152999329
5.79,82,-0.153009644
5.79,82.02,-0.153019424
5.79,82.04,-0.153029282
5.79,82.05,-0.153038162
5.79,82.07,-0.153046646
5.8,82.09,-0.15305484
5.8,82.1,-0.153064209
5.8,82.12,-0.153074326
5.8,82.14,-0.15308461
5.8,82.15,-0.153093872
5.8,82.17,-0.153102783
5.8,82.19,-0.153111862
5.81,82.2,-0.153121674
5.81,82.22,-0.153131485
5.81,82.24,-0.153141419
5.81,82.25,-0.153150436
5.81,82.27,-0.153159393
5.81,82.29,-0.153169785
5.82,82.3,-0.153180008
5.82,82.32,-0.153189774
5.82,82.34,-0.153199234
5.82,82.35,-0.15320784
5.82,82.37,-0.153216812
5.83,82.39,-0.153225098
5.83,82.4,-0.153234146
5.83,82.42,-0.153243881
5.83,82.44,-0.153253311
5.83,82.45,-0.153263886
5.83,82.47,-0.153275162
5.84,82.49,-0.153285538
5.84,82.5,-0.153295837
5.84,82.52,-0.153307419
5.84,82.54,-0.153317535
5.84,82.55,-0.153327103
5.84,82.57,-0.15333519
5.85,82.59,-0.153343185
5.85,82.6,-0.153350174
5.85,82.62,-0.15335672
5.85,82.64,-0.153364288
5.85,82.65,-0.153372742
5.85,82.67,-0.153382065
5.85,82.69,-0.153390915
5.86,82.7,-0.153400055
5.86,82.72,-0.1534086
5.86,82.74,-0.153417358
5.86,82.75,-0.153426071
5.86,82.77,-0.153434845
5.86,82.79,-0.153442795
5.87,82.8,-0.153450897
5.87,82.82,-0.153460403
5.87,82.84,-0.153469864
5.87,82.85,-0.153479416
5.87,82.87,-0.153488403
5.88,82.89,-0.15349794
5.88,82.9,-0.153507034
5.88,82.92,-0.153515366
5.88,82.94,-0.153524414
5.88,82.95,-0.153532791
5.88,82.97,-0.153540848
5.89,82.99,-0.153549332
5.89,83,-0.153557724
5.89,83.02,-0.153566177
5.89,83.04,-0.153574616
5.89,83.05,-0.153583054
5.89,83.07,-0.15359169
5.9,83.09,-0.153600082
5.9,83.1,-0.153608948
5.9,83.12,-0.153617767
5.9,83.14,-0.153626099
5.9,83.15,-0.153635391
5.9,83.17,-0.15364444
5.9,83.19,-0.153653671
5.91,83.2,-0.15366391
5.91,83.22,-0.153674957
5.91,83.24,-0.153686264
5.91,83.25,-0.153698456
5.91,83.27,-0.153709198
5.91,83.29,-0.153719223
5.92,83.3,-0.153729431
5.92,83.32,-0.153739197
5.92,83.34,-0.153748901
5.92,83.35,-0.153757126
5.92,83.37,-0.153764648
5.93,83.39,-0.153772492
5.93,83.4,-0.153781387
5.93,83.42,-0.153791306
5.93,83.44,-0.153800781
5.93,83.45,-0.153809738
5.93,83.47,-0.153818787
5.94,83.49,-0.153827515
5.94,83.5,-0.153837311
5.94,83.52,-0.153846863
5.94,83.54,-0.153855774
5.94,83.55,-0.153864395
5.94,83.57,-0.153873612
5.95,83.59,-0.153883453
5.95,83.6,-0.153893738
5.95,83.62,-0.1539039
5.95,83.64,-0.153914475
5.95,83.65,-0.153924332
5.95,83.67,-0.153932816
5.95,83.69,-0.153941589
5.96,83.7,-0.153951004
5.96,83.72,-0.153959503
5.96,83.74,-0.153968521
5.96,83.75,-0.153977081
5.96,83.77,-0.153986328
5.96,83.79,-0.153994888
5.97,83.8,-0.154003708
5.97,83.82,-0.154012695
5.97,83.84,-0.154022354
5.97,83.85,-0.154032013
5.97,83.87,-0.154041443
5.98,83.89,-0.154051727
5.98,83.9,-0.154061676
5.98,83.92,-0.154070847
5.98,83.94,-0.154078674
5.98,83.95,-0.154087006
5.98,83.97,-0.154094681
5.99,83.99,-0.154102127
5.99,84,-0.15410878
5.99,84.02,-0.154115265
5.99,84.04,-0.154121124
5.99,84.05,-0.154128128
5.99,84.07,-0.154135529
6,84.09,-0.154143875
6,84.1,-0.154152313
6,84.12,-0.154161331
6,84.14,-0.154170364
6,84.15,-0.154179657
6,84.17,-0.154189438
6,84.19,-0.154199234
6.01,84.2,-0.154209381
6.01,84.22,-0.154219879
6.01,84.24,-0.154230469
6.01,84.25,-0.154241486
6.01,84.27,-0.154252091
6.01,84.29,-0.154262528
6.02,84.3,-0.154273819
6.02,84.32,-0.154283203
6.02,84.34,-0.154292648
6.02,84.35,-0.154301498
6.02,84.37,-0.154311386
6.03,84.39,-0.154320557
6.03,84.4,-0.15432959
6.03,84.42,-0.154338471
6.03,84.44,-0.154347275
6.03,84.45,-0.154355911
6.03,84.47,-0.154364121
6.04,84.49,-0.154373093
6.04,84.5,-0.154382172
6.04,84.52,-0.154390884
6.04,84.54,-0.154399887
6.04,84.55,-0.154410111
6.04,84.57,-0.154419861
6.05,84.59,-0.154429215
6.05,84.6,-0.154439713
6.05,84.62,-0.154450211
6.05,84.64,-0.154460556
6.05,84.65,-0.154471252
6.05,84.67,-0.154481033
6.05,84.69,-0.154490875
6.06,84.7,-0.154501129
6.06,84.72,-0.15451265
6.06,84.74,-0.154524506
6.06,84.75,-0.154535034
6.06,84.77,-0.154544403
6.06,84.79,-0.154553436
6.07,84.8,-0.154561722
6.07,84.82,-0.154570023
6.07,84.84,-0.154578262
6.07,84.85,-0.154587036
6.07,84.87,-0.154595276
6.08,84.89,-0.154602676
6.08,84.9,-0.154611801
6.08,84.92,-0.154620499
6.08,84.94,-0.154630035
6.08,84.95,-0.15463945
6.08,84.97,-0.154648682
6.09,84.99,-0.154658875
6.09,85,-0.154669754
6.09,85.02,-0.154680817
6.09,85.04,-0.154691834
6.09,85.05,-0.15470343
6.09,85.07,-0.154714768
6.1,85.09,-0.154726105
6.1,85.1,-0.154736023
6.1,85.12,-0.154745071
6.1,85.14,-0.154754379
6.1,85.15,-0.154764938
6.1,85.17,-0.154775894
6.1,85.19,-0.154785309
6.11,85.2,-0.154794968
6.11,85.22,-0.154804306
6.11,85.24,-0.154814468
6.11,85.25,-0.154824585
6.11,85.27,-0.154834366
6.11,85.29,-0.154842926
6.12,85.3,-0.154850922
6.12,85.32,-0.154859634
6.12,85.34,-0.154868561
6.12,85.35,-0.154877762
6.12,85.37,-0.154887024
6.13,85.39,-0.154896622
6.13,85.4,-0.154906296
6.13,85.42,-0.154917053
6.13,85.44,-0.154927963
6.13,85.45,-0.154938767
6.13,85.47,-0.154949326
6.14,85.49,-0.154960205
6.14,85.5,-0.154970261
6.14,85.52,-0.154981171
6.14,85.54,-0.154990753
6.14,85.55,-0.155000366
6.14,85.57,-0.155009934
6.15,85.59,-0.15501918
6.15,85.6,-0.155028458
6.15,85.62,-0.155037766
6.15,85.64,-0.155047165
6.15,85.65,-0.155057587
