Temperaturee (°C),Heat flow (W/g)
0.35,27.83,-0.099995224
0.36,27.85,-0.100241646
0.36,27.86,-0.100547226
0.36,27.88,-0.100860054
0.36,27.89,-0.101343773
0.36,27.91,-0.101653694
0.36,27.92,-0.102006149
0.37,27.94,-0.102378609
0.37,27.96,-0.102547104
0.37,27.97,-0.102844132
0.37,27.99,-0.103073471
0.37,28,-0.103261055
0.38,28.02,-0.103390564
0.38,28.04,-0.103603119
0.38,28.05,-0.103933937
0.38,28.07,-0.104191315
0.38,28.08,-0.104477158
0.38,28.1,-0.10473774
0.39,28.12,-0.104991829
0.39,28.13,-0.105221252
0.39,28.15,-0.105386047
0.39,28.16,-0.105525116
0.39,28.18,-0.105656334
0.39,28.19,-0.105881661
0.4,28.21,-0.10620462
0.4,28.23,-0.106452393
0.4,28.24,-0.106695931
0.4,28.26,-0.10696225
0.4,28.28,-0.107168434
0.4,28.29,-0.107353844
0.4,28.31,-0.107542557
0.41,28.32,-0.10776635
0.41,28.34,-0.10795137
0.41,28.36,-0.108182388
0.41,28.37,-0.108351753
0.41,28.39,-0.108559052
0.41,28.4,-0.108756004
0.42,28.42,-0.10886541
0.42,28.43,-0.108996285
0.42,28.45,-0.109173142
0.42,28.47,-0.109318466
0.42,28.48,-0.109432983
0.43,28.5,-0.109531998
0.43,28.52,-0.109784233
0.43,28.53,-0.110040016
0.43,28.55,-0.110326859
0.43,28.56,-0.110528153
0.43,28.58,-0.110719658
0.44,28.6,-0.110835602
0.44,28.61,-0.110905739
0.44,28.63,-0.111002472
0.44,28.64,-0.111129547
0.44,28.66,-0.111245995
0.44,28.68,-0.111330116
0.45,28.69,-0.111446693
0.45,28.71,-0.111589172
0.45,28.73,-0.111717888
0.45,28.74,-0.111883499
0.45,28.76,-0.112112015
0.45,28.77,-0.112328949
0.45,28.79,-0.112545357
0.46,28.81,-0.112702332
0.46,28.82,-0.112854126
0.46,28.84,-0.112972099
0.46,28.85,-0.113097351
0.46,28.87,-0.113179054
0.46,28.89,-0.113287033
0.47,28.9,-0.113371208
0.47,28.92,-0.113461044
0.47,28.93,-0.113566147
0.47,28.95,-0.113697922
0.47,28.97,-0.113849503
0.48,28.98,-0.114017677
0.48,29,-0.114178413
0.48,29.02,-0.114310364
0.48,29.03,-0.114437721
0.48,29.05,-0.114574333
0.48,29.06,-0.114704224
0.49,29.08,-0.114837822
0.49,29.1,-0.114955895
0.49,29.11,-0.115050713
0.49,29.13,-0.115133781
0.49,29.15,-0.115200203
0.49,29.16,-0.115256409
0.5,29.18,-0.115296051
0.5,29.19,-0.115341835
0.5,29.21,-0.11539566
0.5,29.23,-0.115460648
0.5,29.24,-0.115534882
0.5,29.26,-0.115620674
0.5,29.28,-0.115724068
0.51,29.29,-0.115840805
0.51,29.31,-0.115976662
0.51,29.32,-0.116118073
0.51,29.34,-0.116262947
0.51,29.36,-0.116391327
0.51,29.37,-0.116522308
0.52,29.39,-0.116612824
0.52,29.4,-0.116690414
0.52,29.42,-0.116771629
0.52,29.44,-0.116845215
0.52,29.45,-0.116909531
0.53,29.47,-0.116973236
0.53,29.49,-0.117029709
0.53,29.5,-0.117083862
0.53,29.52,-0.117126503
0.53,29.54,-0.117189819
0.53,29.55,-0.117252174
0.53,29.57,-0.117321014
0.54,29.58,-0.117421196
0.54,29.6,-0.117517929
0.54,29.62,-0.117624428
0.54,29.63,-0.117711777
0.54,29.65,-0.117799019
0.55,29.66,-0.11790361
0.55,29.68,-0.117978058
0.55,29.7,-0.118038155
0.55,29.71,-0.118093559
0.55,29.73,-0.118159401
0.55,29.75,-0.118229523
0.55,29.76,-0.118320015
0.56,29.78,-0.118398155
0.56,29.8,-0.118465828
0.56,29.81,-0.118533119
0.56,29.83,-0.118589783
0.56,29.84,-0.118639839
0.57,29.86,-0.118690559
0.57,29.88,-0.118732079
0.57,29.89,-0.118766823
0.57,29.91,-0.118811554
0.57,29.93,-0.118859078
0.57,29.94,-0.118935959
0.58,29.96,-0.119016762
0.58,29.98,-0.119092697
0.58,29.99,-0.119168991
0.58,30.01,-0.119246956
0.58,30.02,-0.119308586
0.58,30.04,-0.119366356
0.58,30.06,-0.119420609
0.59,30.07,-0.119466629
0.59,30.09,-0.119509293
0.59,30.11,-0.119538765
0.59,30.12,-0.119581596
0.59,30.14,-0.119629852
0.6,30.15,-0.119667641
0.6,30.17,-0.119707733
0.6,30.19,-0.119758713
0.6,30.2,-0.119819168
0.6,30.22,-0.119872269
0.6,30.24,-0.119923828
0.6,30.25,-0.119998673
0.61,30.27,-0.12006675
0.61,30.29,-0.12012146
0.61,30.3,-0.120187439
0.61,30.32,-0.12023127
0.61,30.34,-0.120253166
0.62,30.35,-0.120279335
0.62,30.37,-0.120303543
0.62,30.38,-0.120327972
0.62,30.4,-0.120360107
0.62,30.42,-0.120385788
0.62,30.43,-0.120422318
0.63,30.45,-0.120464188
0.63,30.47,-0.120515266
0.63,30.48,-0.120563858
0.63,30.5,-0.120600754
0.63,30.51,-0.12062793
0.63,30.53,-0.120663681
0.63,30.55,-0.120703377
0.64,30.56,-0.120756172
0.64,30.58,-0.120814293
0.64,30.6,-0.12086454
0.64,30.61,-0.120909668
0.64,30.63,-0.120947159
0.65,30.65,-0.120985794
0.65,30.66,-0.121017975
0.65,30.68,-0.121047676
0.65,30.69,-0.121067764
0.65,30.71,-0.121090653
0.65,30.73,-0.121111458
0.65,30.74,-0.121126129
0.66,30.76,-0.121142105
0.66,30.78,-0.121159973
0.66,30.79,-0.121174675
0.66,30.81,-0.121190636
0.66,30.83,-0.121208504
0.67,30.84,-0.121229813
0.67,30.86,-0.121245461
0.67,30.87,-0.121268982
0.67,30.89,-0.121297516
0.67,30.91,-0.12131958
0.67,30.92,-0.121334229
0.68,30.94,-0.121347557
0.68,30.96,-0.121360565
0.68,30.97,-0.121374748
0.68,30.99,-0.121388809
0.68,31.01,-0.121404327
0.68,31.02,-0.121424171
0.68,31.04,-0.12144194
0.69,31.05,-0.121467751
0.69,31.07,-0.121495354
0.69,31.09,-0.121513329
0.69,31.1,-0.12152877
0.69,31.12,-0.121543282
